,TotAD,WonAD,LostAD
466,-,-,-
467,-,-,-
468,-,-,-
469,-,-,-
470,1.4,0.2,1.2
471,-,-,-
472,1,0.4,0.6
473,0.6,0.2,0.4
474,3.5,1.3,2.3
475,0.5,-,0.5
476,0.7,0.3,0.3
477,-,-,-
478,-,-,-
479,-,-,-
480,-,-,-
481,-,-,-
482,0.5,-,0.5
483,-,-,-
484,-,-,-
485,1,-,1
486,-,-,-
