,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
199,Tim Breithaupt,2,122,-,1,-,-,0.5,86.4,2,-,6.59
200,Luca Philipp,5,450,-,-,-,-,-,59.9,-,-,6.58
201,Arthur Chaves,21(2),1919,-,-,8,-,0.4,82.3,2.8,1,6.58
202,Josip Juranovic,12(3),1071,-,-,4,-,0.3,71.1,0.3,-,6.58
203,Kiliann Sildillia,8(11),792,2,-,2,-,0.4,78.2,1.1,2,6.58
204,Tom Krauß,11(1),910,-,-,1,-,0.8,81.3,0.6,-,6.58
205,Ameen Al Dakhil,6(1),436,-,-,-,1,0.1,92.3,1.3,-,6.57
206,Kevin Kampl,16(8),1430,1,-,4,-,0.3,91.1,0.1,-,6.57
207,Oladapo Afolayan,15(14),1491,3,1,3,-,1.2,76.4,0.6,-,6.57
208,Amos Pieper,13(7),1237,-,-,1,-,0.2,83.6,1.7,-,6.57
209,Mads Roerslev,2(3),254,-,-,-,-,-,84.3,0.2,-,6.57
210,Phillip Tietz,18(13),1545,6,2,4,-,1.4,62.3,2.3,1,6.57
211,Can Uzun,6(12),624,4,1,1,-,1.4,82.9,0.2,1,6.56
212,Alexander Prass,18(4),1526,-,1,1,-,0.5,75.6,0.8,1,6.56
213,Kristijan Jakic,24(4),2040,-,-,2,-,0.5,82.5,1.3,1,6.56
214,Nicolai Remberg,24(6),2189,-,1,8,-,0.7,78.6,2.8,1,6.56
215,Philipp Treu,30,2646,-,2,2,-,0.6,82.4,0.6,1,6.56
216,Valentin Gendrey,14(8),1416,1,1,1,-,0.5,76,1.2,-,6.56
217,Finn Porath,20(9),1929,2,2,3,-,1,71.5,0.9,-,6.55
218,Bazoumana Touré,5(5),427,-,3,1,-,1.5,71.7,1.1,-,6.55
219,Benedikt Gimber,29,2454,-,-,9,-,0.4,83.2,2.1,-,6.55
220,Adrian Beck,15(14),1383,2,1,1,-,1.1,81.9,0.9,-,6.55
221,Julián Malatini,5(5),453,1,1,1,-,0.3,86.9,1,-,6.55
222,Nathan Tella,15(9),1245,2,3,1,-,1,82.2,0.5,-,6.55
223,Philipp Sander,14(10),1251,1,-,2,-,0.6,81.6,1.3,-,6.54
224,Joe Scally,29,2429,-,-,6,-,0.2,84.6,0.8,1,6.54
225,Kevin Vogt,14(2),1226,1,-,5,-,0.1,87.5,0.8,-,6.54
226,Pavel Kaderábek,15(6),1306,1,-,6,-,0.5,73.7,2.2,-,6.54
227,Lukas Klostermann,18(8),1655,-,-,4,-,0.1,89.7,0.7,-,6.53
228,Issa Kaboré,3(6),307,-,1,-,-,0.8,85,0.7,-,6.53
229,Amadou Haidara,15(12),1256,-,1,7,-,0.6,81.3,1.1,-,6.53
230,Manuel Neuer,20,1800,-,-,-,-,-,85.3,0.3,-,6.52
231,Emiliano Buendía,2(7),195,2,-,-,-,0.8,80.3,0.3,1,6.52
232,Salih Özcan,3(7),379,-,-,-,-,0.4,78.3,1.5,-,6.52
233,Maximilian Wittek,29(1),2401,-,-,7,-,1.3,72.4,0.7,-,6.52
234,Kevin Akpoguma,21(8),2035,-,-,3,-,0.1,88.4,1.5,1,6.52
235,Giorgos Masouras,9(2),774,2,-,-,-,1.9,75.9,1.5,1,6.52
236,Lukás Hrádecky,27,2430,-,-,1,-,-,72.9,-,1,6.52
237,Christoph Baumgartner,17(12),1515,2,1,5,-,1.3,70.3,1.4,-,6.51
238,Benedikt Pichler,7(10),768,1,2,1,-,1.1,65.8,2.5,-,6.51
239,Tom Rothe,16(7),1430,2,2,4,1,0.9,69.6,1.5,1,6.51
240,Thomas Müller,9(18),1012,1,4,3,-,0.9,79.2,0.6,-,6.51
241,Nathan Ngoumou,9(10),828,2,1,-,-,1.3,77.8,0.5,1,6.51
242,Christian Günter,27,2294,2,2,-,-,0.8,78.4,0.3,-,6.50
243,El Chadaille Bitshiabu,11(8),949,-,-,2,1,0.3,84.7,1,-,6.50
244,Sebastiaan Bornauw,8(6),783,2,1,2,-,0.6,82,2.5,-,6.50
245,Anthony Jung,20(7),1893,-,-,1,-,-,89.7,1.3,-,6.49
246,Sacha Boey,5(6),510,-,1,1,-,0.2,94.1,0.5,-,6.49
247,Tymoteusz Puchacz,5(5),396,-,1,-,-,0.4,80,0.4,-,6.49
248,Amine Adli,5(12),622,2,-,2,-,1.1,81.9,1.1,-,6.49
249,Jonas Urbig,7,630,-,-,-,-,-,78.5,0.3,-,6.49
250,Erhan Masovic,10(5),907,1,1,2,-,0.5,83.5,1.5,-,6.48
251,Ramon Hendriks,9(14),1052,-,1,3,-,0.2,86.6,1.2,-,6.47
252,Niklas Dorsch,17(3),1224,2,2,5,1,0.4,85.3,0.4,-,6.47
253,Wooyeong Jeong,17(6),1272,3,2,2,-,1.1,79.6,0.7,-,6.47
254,Nicolas Höfler,7(12),783,-,-,3,-,0.2,87.1,1.5,-,6.47
255,Omar Traoré,27,2359,-,1,5,-,0.5,72.5,0.5,-,6.47
256,Mahmoud Dahoud,3(6),362,1,1,2,-,0.8,86.8,0.1,-,6.47
257,Lars Ritzka,10(9),781,1,-,1,-,0.4,73,0.2,-,6.46
258,Tim Siersleben,11(2),915,-,-,4,-,0.3,80.9,1.2,-,6.46
259,Gregor Kobel,29,2610,-,-,1,-,-,77.8,0.2,1,6.46
260,Marvin Friedrich,9(13),980,-,1,-,-,0.3,88.5,1.5,1,6.46
261,Lutsharel Geertruida,16(6),1464,1,-,3,-,0.4,88.9,0.5,-,6.46
262,Robin Gosens,1,90,-,-,1,-,1,58.1,7,-,6.46
263,Kilian Fischer,27(3),2174,1,-,6,-,0.2,80.8,0.7,-,6.46
264,El Bilal Touré,3(9),351,2,1,-,-,1.2,79.8,1.6,1,6.46
265,Fabian Rieder,8(13),867,1,3,1,-,1,75.6,0.2,-,6.46
266,Max Geschwill,13(5),1239,1,2,2,-,0.5,77.9,0.8,1,6.45
267,Lasse Rosenboom,18(5),1498,1,2,3,-,0.3,63.8,1.2,-,6.45
268,Lennard Maloney,10(1),765,-,-,1,-,0.3,72.1,1.5,-,6.45
269,Alexander Meyer,2,180,-,-,-,-,-,63.7,-,-,6.45
270,Patrick Osterhage,25(3),2095,1,-,4,1,0.7,85.4,1,-,6.45
271,Armin Gigovic,21(7),1709,5,1,4,-,0.8,79.7,0.5,-,6.45
272,Alexander Nübel,31,2790,-,1,-,-,-,73.4,0.1,-,6.44
273,Josha Vagnoman,18(5),1705,1,1,4,-,0.6,81.7,0.9,-,6.44
274,Gerrit Holtmann,12(9),1083,1,1,2,-,1.1,78.9,0.4,-,6.44
275,Bence Dárdai,15(4),1208,1,1,-,-,0.6,81.8,0.6,-,6.44
276,Carlo Boukhalfa,16(6),1397,2,-,-,-,0.9,70.7,1.1,1,6.43
277,Donyell Malen,6(8),611,3,-,1,-,1.4,75.4,0.1,-,6.43
278,João Palhinha,6(9),658,-,-,2,1,0.7,93,1.3,-,6.43
279,Henri Koudossou,4(15),667,-,-,1,-,0.1,82.1,0.4,-,6.43
280,Junior Dina Ebimbe,3(4),291,-,1,-,-,1.1,66.7,1.3,-,6.43
281,Jakub Kaminski,10(10),989,-,2,2,-,0.7,75.4,0.3,-,6.43
282,Derrick Köhn,14(10),1317,2,2,2,-,0.5,83.8,0.4,-,6.43
283,Michael Zetterer,31,2790,-,-,2,-,-,75.7,0.3,3,6.43
284,Eren Dinkçi,13(10),1198,-,3,1,-,0.6,78,0.3,-,6.43
285,Noahkai Banks,2(6),275,-,-,2,-,0.1,94.4,1,-,6.43
286,Maxim Leitsch,6(8),670,1,-,2,-,0.4,79.5,1.4,-,6.43
287,Lucas Tousart,6(8),532,-,1,2,-,0.6,66.2,1.4,-,6.43
288,Anrie Chase,7(5),729,-,-,1,-,0.4,92,1.4,-,6.43
289,Martin Terrier,7(8),584,2,1,1,-,1.1,84.2,0.7,-,6.43
290,Maarten Vandevoordt,3(2),338,-,-,-,-,-,76.9,0.2,-,6.43
291,Finn Jeltsch,7(2),648,-,-,2,-,0.2,92.5,0.9,-,6.43
292,Lovro Majer,2(4),164,2,-,1,-,0.5,68.8,0.3,-,6.42
293,Jacob Bruun Larsen,3(9),393,2,2,-,-,1.2,81.3,0.4,-,6.42
294,Niels Nkounkou,4(7),374,-,-,1,-,0.4,72.7,0.2,-,6.42
295,Lukas Ullrich,21(2),1657,1,2,4,-,0.3,76.3,0.5,-,6.42
296,Haris Tabakovic,6(14),779,2,1,-,-,1.4,65.6,2.1,-,6.42
297,Elvis Rexhbeçaj,22(2),1765,1,1,8,-,1.1,77.2,0.5,-,6.42
298,Andreas Hanche-Olsen,9(10),1009,1,1,1,1,0.4,81.4,1.8,-,6.42
299,Jordan Siebatcheu,10(8),909,-,1,2,-,1.3,69.3,2.4,-,6.42
300,Elias Saad,10(8),903,3,2,1,-,1.4,79.9,0.4,1,6.41
301,Felix Passlack,27(1),2090,1,4,4,-,0.7,71.9,0.3,-,6.41
