,TotPs,AccLB,InAccLB,AccSP,InAccSP,TotKPs,LKPs,SKPs,TotAss,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss
22,26.5,7.5,13.5,5.5,-,-,-,-,-,-,-,-,-,-,-
23,63,3.3,2,49.6,8.1,0.7,0.1,0.6,0.1,-,-,-,-,-,0.1
24,33.7,2.2,2.8,26.8,1.9,0.2,-,0.2,-,-,-,-,-,-,-
25,46.3,5.7,9.3,30.8,0.6,-,-,-,-,-,-,-,-,-,-
26,34.9,1,0.8,27.4,5.7,1,0.2,0.8,0.2,0.1,-,-,-,-,0.1
27,52.5,0.6,0.8,45.3,5.7,0.8,0.1,0.8,0.1,-,-,-,-,-,0.1
28,17.7,0.6,0.7,12.7,3.8,1.9,0.3,1.6,0.3,0.1,-,-,-,-,0.2
29,63.6,3.5,4,51.5,4.6,0.5,0.1,0.4,-,-,-,-,-,-,-
30,97.2,1.8,1.3,88.1,5.9,1.4,0.2,1.2,0.1,-,-,-,-,-,0.1
31,20.8,0.8,0.3,13.6,6.1,1.1,0.1,1.1,0.1,-,-,-,-,-,0.1
32,28.7,0.5,0.3,24.2,3.8,1.3,0.3,1.1,0.1,0.1,-,-,-,-,-
33,37,1,0.5,30.6,5,1.6,0.1,1.5,0.3,-,-,0.1,-,-,0.2
34,46.7,1.5,1.8,38,5.5,0.5,0.2,0.3,0.2,-,-,0.1,-,-,0.1
35,63.7,2.7,3.8,52.2,5.2,0.5,0.2,0.3,-,-,-,-,-,-,-
36,17,0.3,0.3,12.2,4.2,0.9,-,0.9,0.2,-,-,-,-,-,0.1
37,39.1,0.9,0.9,32.1,5.1,1.6,0.1,1.5,0.2,-,-,-,-,-,0.2
38,65.3,5.5,4.5,52,3.3,0.6,0.2,0.4,-,-,-,-,-,-,-
39,46.1,2.6,1.3,37.6,4.6,1.6,0.7,0.9,0.2,0.1,0.1,-,-,-,-
40,31.8,5.8,10.4,15.3,0.4,-,-,-,-,-,-,-,-,-,-
41,45.2,4.1,1.1,35.9,4.1,0.5,0.2,0.4,-,-,-,-,-,-,-
42,21.4,0.9,0.7,15.7,4,1.1,0.3,0.8,0.1,-,-,-,-,-,-
43,20.9,0.3,0.1,17,3.4,1.1,-,1.1,0.1,-,-,-,-,-,0.1
44,38.7,1.4,0.9,31.3,5.1,0.8,-,0.7,0.1,-,-,0.1,-,-,-
45,48.7,1.3,1.8,39.3,6.3,1.1,0.2,0.9,0.1,0.1,-,0.1,-,-,-
46,80.6,5.2,0.9,70.5,4,0.8,0.1,0.7,-,-,-,-,-,-,-
47,47.3,1.2,0.7,41.8,3.6,0.6,-,0.6,0.1,-,-,-,-,-,0.1
48,42.9,3,2.7,31.2,6.1,0.9,0.1,0.8,0.1,-,-,0.1,-,-,-
49,26.4,0.8,0.3,23.1,2.3,1.3,-,1.3,0.3,0.2,-,0.1,-,-,0.1
50,12.5,-,0.1,10.1,2.3,0.7,-,0.7,0.1,-,-,-,-,-,0.1
51,67,3.2,3.1,57.3,3.5,0.2,0.1,0.1,-,-,-,-,-,-,-
52,29.8,0.7,1.1,21.8,6.1,2.6,0.6,2,0.1,0.1,-,-,-,-,-
53,47.9,2.5,3.9,38.8,2.8,-,-,-,-,-,-,-,-,-,-
54,48.1,1.1,1.2,41.5,4.4,0.2,-,0.2,-,-,-,-,-,-,-
55,30.5,8,14.8,7.7,0.1,0.1,0.1,-,0.1,-,-,-,0.1,-,-
56,36,3,6.3,25.7,1,-,-,-,-,-,-,-,-,-,-
57,54.1,2.2,1.3,45.7,5,1.1,0.3,0.9,0.1,-,-,-,-,-,-
58,55.6,1.3,2.8,46.8,4.7,0.3,0.1,0.3,-,-,-,-,-,-,-
59,35.9,1.1,0.6,28.5,5.7,1.5,0.1,1.3,0.1,-,-,-,-,-,0.1
60,49.5,2.1,4.5,39,3.9,0.2,-,0.2,-,-,-,-,-,-,-
61,56.7,1.7,2.8,49.3,2.9,0.2,0.1,0.1,-,-,-,-,-,-,-
62,41.6,1.9,1.8,32,5.8,0.9,0.2,0.7,0.1,-,-,-,-,-,0.1
63,32.2,0.5,0.5,27.7,3.5,0.7,-,0.7,0.1,-,-,-,-,-,0.1
64,21.8,5,8.6,8.2,-,-,-,-,-,-,-,-,-,-,-
65,82.7,4.2,1.9,74.2,2.3,0.4,-,0.4,-,-,-,-,-,-,-
66,51.3,2.3,3.3,42,3.6,0.3,-,0.3,0.1,-,-,-,-,-,0.1
67,27.6,4.7,5.7,16.7,0.5,-,-,-,-,-,-,-,-,-,-
68,35.5,2.2,2.3,27,4,0.8,0.3,0.5,-,-,-,-,-,-,-
69,66.1,2.8,2.6,57,3.8,-,-,-,-,-,-,-,-,-,-
70,26.1,0.6,1,21.1,3.4,0.7,0.1,0.6,-,-,-,-,-,-,-
71,53.8,2.4,0.7,46.7,3.9,1.2,0.1,1.1,0.1,-,-,-,-,-,0.1
72,33.9,2.2,1.5,24.7,5.5,1.3,0.2,1.1,-,-,-,-,-,-,-
73,37.4,1.1,2.8,29.1,4.4,0.7,0.2,0.4,-,-,-,-,-,-,-
74,35.1,0.4,0.1,32.4,2.1,0.1,-,0.1,-,-,-,-,-,-,-
75,41.1,2.4,2,34.2,2.5,0.2,-,0.2,-,-,-,-,-,-,-
76,69.4,1.4,1.6,64.4,2,0.1,-,0.1,-,-,-,-,-,-,-
77,23.2,4.4,7.4,11.3,0.2,-,-,-,-,-,-,-,-,-,-
78,25,5.7,9.1,10.1,0.1,-,-,-,-,-,-,-,-,-,-
79,25.6,0.3,0.4,20.9,4,1.5,0.1,1.3,0.2,0.1,-,-,-,-,0.1
80,34.5,1.1,1.1,27.4,4.9,1.3,0.3,1,0.2,0.1,-,-,-,-,0.1
81,40,1.9,0.5,33,4.6,0.5,0.2,0.4,0.1,-,-,-,-,-,0.1
82,40.2,2.2,1.5,31.8,4.7,0.8,-,0.8,-,-,-,-,-,-,-
83,26.8,3.8,7,15.8,0.2,-,-,-,-,-,-,-,-,-,-
84,78.4,4,3,67.6,3.9,0.3,-,0.2,-,-,-,-,-,-,-
85,40.8,1.7,1.4,33.9,3.9,0.5,0.1,0.5,0.1,-,-,-,-,-,0.1
86,41.5,1.5,1.9,34.4,3.7,0.5,-,0.5,-,-,-,-,-,-,-
87,21.1,0.4,1,16.4,3.3,0.8,0.2,0.6,0.1,0.1,-,-,-,-,-
88,17.4,0.5,0.5,12.2,4.3,0.8,-,0.8,0.1,-,-,-,-,-,-
89,16,1.7,0.7,10.7,3,0.3,-,0.3,-,-,-,-,-,-,-
