,TotPs,AccLB,InAccLB,AccSP,InAccSP,TotKPs,LKPs,SKPs,TotAss,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss
274,27.4,1.8,1.4,20.7,3.5,0.9,0.3,0.6,-,-,-,-,-,-,-
275,8.9,0.3,0.4,6.6,1.6,0.6,-,0.6,0.1,-,-,-,-,-,0.1
276,12.9,0.3,0.6,9,3,0.7,-,0.6,0.1,-,-,-,-,-,0.1
277,30,3.6,6.1,20.2,0.2,-,-,-,-,-,-,-,-,-,-
278,16.1,0.1,0.3,13.6,2.1,0.7,-,0.7,0.1,-,-,-,-,-,0.1
279,54,2,1.3,47.6,3,-,-,-,-,-,-,-,-,-,-
280,26.9,5.1,10.1,11.5,0.2,0.1,0.1,-,-,-,-,-,-,-,-
281,29.5,1.4,0.5,24.3,3.3,0.7,0.1,0.6,-,-,-,-,-,-,-
282,25.8,4.5,10.8,10.5,-,-,-,-,-,-,-,-,-,-,-
283,33,0.9,0.5,28.7,2.9,0.8,-,0.8,-,-,-,-,-,-,-
284,27.3,1.9,1.7,21.4,2.3,0.1,-,0.1,-,-,-,-,-,-,-
285,42.7,1.8,1.2,36.5,3.2,0.9,0.2,0.8,0.1,-,-,-,-,-,0.1
286,24.8,4.6,12.8,7.2,0.2,-,-,-,-,-,-,-,-,-,-
287,11,0.1,-,8.7,2.1,0.8,-,0.8,0.1,-,-,-,-,-,0.1
288,13.8,0.6,0.8,11.2,1.3,0.8,0.1,0.7,0.1,-,-,-,-,-,0.1
289,12.8,0.1,0.2,9.5,3.1,0.5,0.2,0.4,0.1,0.1,-,-,-,-,-
290,31.3,0.6,2,25,3.8,0.6,0.1,0.5,0.1,-,-,-,-,-,-
291,43.9,2.4,1.2,36.7,3.6,0.5,0.1,0.4,-,-,-,-,-,-,-
