,TotPs,AccLB,InAccLB,AccSP,InAccSP,TotKPs,LKPs,SKPs,TotAss,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss
93,65,3.6,1.8,56.1,3.5,0.4,-,0.4,-,-,-,-,-,-,-
94,62.1,3,2,53.6,3.4,1,0.2,0.8,0.1,-,-,0.1,-,-,-
95,47.4,1.9,0.4,40.1,5,1,0.1,0.9,0.1,-,-,-,-,-,0.1
96,38,1.2,1.5,30.6,4.8,0.9,0.1,0.7,0.1,-,-,-,-,-,0.1
97,17.4,0.7,0.5,11.1,5.1,0.8,0.1,0.8,0.1,-,-,-,-,-,0.1
98,31.6,1.8,2.5,23.4,4,1.1,0.9,0.3,0.3,0.3,-,-,-,-,-
99,59.7,3.2,3.8,48.6,4.1,0.3,0.1,0.2,-,-,-,-,-,-,-
100,35.2,1,0.9,29.1,4.2,0.4,-,0.3,-,-,-,-,-,-,-
101,51,1.3,1.2,46.2,2.3,-,-,-,-,-,-,-,-,-,-
102,51.9,0.8,0.8,48.6,1.7,0.3,-,0.2,-,-,-,-,-,-,-
103,45.6,1.9,2.7,37.2,3.9,0.1,-,0.1,-,-,-,-,-,-,-
104,53,3.3,1.9,45.1,2.8,1,0.4,0.6,0.1,0.1,0.1,-,-,-,-
105,48.3,3.6,4.1,38.3,2.4,0.4,0.2,0.2,0.1,-,-,-,-,-,0.1
106,53.4,2.4,3,44.5,3.5,0.4,0.1,0.3,-,-,-,-,-,-,-
107,23.3,1,1.3,16.5,4.5,0.8,0.3,0.5,-,-,-,-,-,-,-
108,29.9,0.6,1.1,25.2,3,0.9,0.3,0.6,0.1,0.1,-,-,-,-,-
109,43.9,2.3,2.7,35.1,3.8,0.2,-,0.1,0.1,-,-,-,-,-,0.1
110,58.2,3.5,3.5,48.8,2.4,0.2,0.1,0.1,-,-,-,-,-,-,-
111,54,1,1.5,46.5,4.9,0.7,-,0.7,0.1,-,-,-,-,-,0.1
112,35.5,4.9,4.6,25.7,0.2,-,-,-,-,-,-,-,-,-,-
113,51.3,2.6,5.4,39.7,3.6,0.2,0.1,0.1,0.1,-,-,-,-,-,0.1
114,40,6.3,7.3,26,0.3,0.3,0.3,-,-,-,-,-,-,-,-
115,28.3,1.9,2.1,20.7,3.6,0.5,0.1,0.4,0.1,-,-,0.1,-,-,-
116,66.2,2.1,2.8,58.8,2.5,0.2,-,0.2,-,-,-,-,-,-,-
117,51.3,4.2,4.3,38.8,4,0.4,0.1,0.3,-,-,-,-,-,-,-
118,54.5,2.6,2.5,47,2.4,0.1,-,0.1,-,-,-,-,-,-,-
119,35,4,1,26,4,-,-,-,-,-,-,-,-,-,-
120,50.5,1.5,2,42.3,4.6,0.1,-,0.1,-,-,-,-,-,-,-
