,TotTkl,DribPast,AttTkl,Intercpt,Fouled,Fouls,COF,Clr,BlkSh,BlkCr,BlkPs,TotSav,OOBSav,SYBSav,PASav
341,0.5,0.2,0.7,0.3,0.5,1,-,3.6,1,0.1,0.5,-,-,-,-
342,1.1,0.1,1.3,1.1,0.5,0.6,-,2.7,0.3,0.1,0.3,-,-,-,-
343,-,-,-,-,0.2,-,-,0.8,-,-,-,1.8,0.1,1,0.7
344,0.5,0.1,0.6,-,0.2,0.4,0.1,-,-,-,0.3,-,-,-,-
345,0.5,0.6,1.2,0.4,0.7,0.4,-,0.5,0.1,0.2,0.3,-,-,-,-
346,1.1,0.2,1.2,0.7,1.1,0.5,-,1.1,0.1,-,0.5,-,-,-,-
347,0.3,0.1,0.4,0.3,1,1,-,1.1,0.6,0.1,0.1,-,-,-,-
348,0.4,0.1,0.5,-,1,1.3,-,0.7,-,0.2,0.3,-,-,-,-
349,-,0.1,0.1,-,0.2,-,-,1.2,-,-,-,2.8,0.2,1.5,1.2
350,1.5,0.3,1.8,0.7,0.4,0.9,-,0.6,0.1,-,0.4,-,-,-,-
351,0.9,0.2,1.1,0.6,0.4,0.9,0.1,0.8,0.2,0.2,0.6,-,-,-,-
352,0.9,0.3,1.2,0.4,0.9,1,0.2,0.2,-,0.2,0.6,-,-,-,-
353,1,0.3,1.3,0.5,0.8,0.9,0.1,0.9,0.1,0.4,0.5,-,-,-,-
354,0.7,0.4,1.1,0.4,1,0.5,-,0.9,0.1,-,0.1,-,-,-,-
355,0.8,0.3,1.1,0.9,1.3,1.5,0.1,3.3,0.5,0.1,0.2,-,-,-,-
356,1.1,0.4,1.5,0.4,1.1,0.5,-,0.4,0.2,0.4,0.2,-,-,-,-
357,1.8,0.6,2.4,0.9,0.4,0.6,-,0.8,0.3,-,0.6,-,-,-,-
358,1.6,0.2,1.8,0.5,0.4,1.4,-,0.9,0.4,0.1,0.5,-,-,-,-
359,0.8,0.2,0.9,0.1,0.4,0.8,-,0.3,0.1,-,0.2,-,-,-,-
360,-,-,-,0.1,0.5,0.4,-,0.2,0.1,-,0.1,-,-,-,-
361,1.4,0.4,1.8,0.4,0.3,0.8,0.3,1.7,0.3,0.3,0.3,-,-,-,-
362,1.4,0.7,2.2,0.4,0.7,1.4,-,0.8,0.2,0.1,0.5,-,-,-,-
363,0.7,0.2,0.9,0.1,0.8,0.7,0.1,0.6,0.1,-,0.1,-,-,-,-
364,-,0.1,0.1,-,0.1,-,-,0.8,-,-,-,2.3,0.1,1.2,1
365,1.1,0.6,1.6,0.5,0.7,1.4,-,0.4,0.1,0.1,0.3,-,-,-,-
366,0.5,0.2,0.7,0.2,0.2,0.4,-,0.2,0.1,0.1,0.4,-,-,-,-
367,1.4,0.3,1.7,0.7,0.3,1,-,1.9,0.3,0.2,0.5,-,-,-,-
368,1.3,0.5,1.8,0.7,1.2,0.9,-,0.9,0.2,-,0.3,-,-,-,-
369,0.3,0.2,0.6,0.1,1.3,1.1,0.1,0.2,-,-,0.3,-,-,-,-
370,0.7,0.3,1,0.5,0.7,0.8,-,3.6,0.5,0.1,0.2,-,-,-,-
371,0.7,0.4,1.1,0.1,0.4,0.9,-,0.6,-,-,0.2,-,-,-,-
372,0.8,0.1,0.9,0.1,0.6,1.4,0.4,0.5,0.1,-,0.4,-,-,-,-
373,0.4,0.4,0.8,0.2,0.4,0.6,0.2,0.3,-,-,0.3,-,-,-,-
374,1.2,0.5,1.7,0.4,0.8,0.9,-,0.9,0.2,0.2,0.2,-,-,-,-
375,0.9,0.3,1.1,0.7,0.7,0.9,-,0.3,-,-,0.4,-,-,-,-
376,0.9,0.3,1.2,0.6,1.1,0.6,-,0.4,0.1,0.3,0.5,-,-,-,-
377,0.9,0.4,1.3,0.4,0.5,0.6,-,0.5,0.1,0.1,0.4,-,-,-,-
378,1.1,0.1,1.2,0.9,1,1.3,0.1,2.9,0.3,0.1,0.3,-,-,-,-
379,1.1,0.7,1.8,0.2,0.7,0.7,-,1.9,0.2,-,0.5,-,-,-,-
380,1.6,0.8,2.4,2,1.3,1.1,-,2,0.5,-,1.3,-,-,-,-
381,1.1,0.4,1.5,0.4,0.2,0.8,0.1,1.2,0.2,0.2,0.6,-,-,-,-
382,1.3,0.2,1.4,0.8,0.2,1,-,1.6,0.6,0.1,0.3,-,-,-,-
383,0.4,0.3,0.7,-,0.7,0.4,-,0.3,-,0.1,0.1,-,-,-,-
384,1.3,0.4,1.7,0.5,0.5,0.8,0.1,1.6,0.2,0.2,0.5,-,-,-,-
385,0.8,0.8,1.7,1.1,0.4,0.8,0.2,2.9,0.2,-,0.5,-,-,-,-
386,0.8,0.7,1.4,0.4,0.2,0.3,0.2,1.4,0.1,0.1,0.6,-,-,-,-
387,0.6,0.2,0.8,-,0.5,0.9,0.1,0.3,-,-,0.2,-,-,-,-
388,1.4,0.8,2.2,0.4,0.5,1.4,-,1.1,0.2,-,0.3,-,-,-,-
389,1.5,0.4,1.9,0.6,1.5,1.3,0.1,1.4,0.5,0.1,0.8,-,-,-,-
390,2.1,0.8,2.9,1.1,1,0.8,-,2.9,0.5,0.1,0.6,-,-,-,-
391,1.3,1,2.3,0.5,1.1,0.9,-,1,0.3,0.2,0.8,-,-,-,-
392,1.5,0.6,2.1,0.5,0.3,1.4,-,1.9,0.3,0.3,0.4,-,-,-,-
393,0.8,0.2,1,0.3,0.5,0.5,-,0.5,0.2,0.1,0.1,-,-,-,-
394,1.1,0.5,1.7,0.6,0.6,0.7,-,1.3,0.1,0.2,0.4,-,-,-,-
395,2,0.8,2.8,0.7,1.3,1.5,-,1,0.3,0.1,0.9,-,-,-,-
396,1,0.2,1.2,0.3,0.6,1.3,-,0.3,-,-,0.3,-,-,-,-
397,1,-,1,0.5,0.5,0.8,-,7,1,0.3,0.3,-,-,-,-
398,1,0.4,1.5,0.2,0.6,1.2,-,1.1,-,-,0.4,-,-,-,-
399,1,0.7,1.8,0.5,0.4,1.1,-,1.2,0.4,0.1,0.4,-,-,-,-
400,1.2,0.4,1.6,0.4,0.6,1,-,1.1,0.2,0.1,0.6,-,-,-,-
401,0.8,0.4,1.3,0.8,0.1,0.9,-,1.7,0.3,0.1,0.1,-,-,-,-
402,0.8,0.4,1.2,0.3,0.3,0.4,0.1,1.2,0.1,0.1,0.2,-,-,-,-
403,0.3,0.5,0.9,0.1,1.9,1.7,0.3,0.1,-,0.1,0.2,-,-,-,-
404,0.6,0.1,0.7,0.1,0.3,0.8,0.1,0.2,-,-,0.5,-,-,-,-
405,-,-,-,-,-,-,-,0.3,-,-,0.1,2.4,0.1,1.7,0.6
406,1.7,0.6,2.3,0.7,0.7,1,-,1.1,0.1,0.1,0.5,-,-,-,-
407,2,-,2,-,-,1,-,-,-,-,-,-,-,-,-
408,1,0.4,1.4,0.3,-,1.1,-,3,0.4,0.7,0.4,-,-,-,-
409,0.8,0.2,1,0.3,0.4,0.8,-,0.9,0.2,-,0.3,-,-,-,-
410,0.3,0.3,0.5,0.3,0.5,0.5,-,1,0.3,-,-,-,-,-,-
411,1.2,0.9,2.1,0.5,0.6,2.3,0.1,1.2,0.2,-,0.4,-,-,-,-
412,0.2,0.1,0.3,0.3,0.7,0.4,-,0.3,0.1,-,0.1,-,-,-,-
413,-,0.1,0.1,0.1,1.2,0.6,-,-,-,-,-,-,-,-,-
414,0.5,0.5,1,-,0.7,0.4,0.1,0.2,-,-,0.1,-,-,-,-
415,1.2,-,1.2,1,0.6,0.5,-,4.3,0.5,-,0.4,-,-,-,-
416,0.6,0.3,0.9,0.7,0.5,0.5,0.1,0.3,-,-,0.4,-,-,-,-
417,0.2,0.1,0.3,0.2,0.5,0.5,0.1,0.1,-,-,0.1,-,-,-,-
418,0.4,0.2,0.7,0.2,0.6,0.2,-,0.3,-,-,0.1,-,-,-,-
419,1.3,0.3,1.6,0.6,0.1,0.7,-,0.7,0.3,-,-,-,-,-,-
420,0.8,0.4,1.2,0.5,0.8,0.9,0.1,0.8,-,0.1,0.1,-,-,-,-
421,-,-,-,-,-,-,-,0.5,-,-,-,2,-,0.5,1.5
422,0.3,-,0.3,0.3,0.3,0.7,-,0.7,-,-,-,-,-,-,-
423,1.8,0.3,2.1,0.3,1.8,1.6,0.1,0.3,0.3,0.1,0.5,-,-,-,-
424,2,-,2,0.3,-,1,-,2.3,0.3,-,1,-,-,-,-
425,0.7,-,0.7,0.7,0.7,-,-,-,-,-,0.3,-,-,-,-
426,0.6,-,0.6,0.1,0.9,0.9,-,0.3,-,-,0.3,-,-,-,-
427,1.4,0.6,2,0.5,0.3,1.5,-,0.3,0.1,-,0.4,-,-,-,-
428,0.9,0.5,1.4,0.3,0.8,0.6,-,0.3,0.1,-,0.6,-,-,-,-
429,0.4,0.1,0.6,0.3,0.1,0.3,-,0.1,-,0.1,0.1,-,-,-,-
430,0.8,-,0.8,-,0.3,0.5,-,0.3,-,-,-,-,-,-,-
431,1.7,0.8,2.5,0.9,1,1.9,-,0.9,0.4,0.1,1.3,-,-,-,-
432,1.4,0.6,2,0.3,0.9,1.1,0.2,1.1,-,0.2,0.9,-,-,-,-
433,1.8,0.4,2.1,0.8,0.4,1.3,-,2.6,0.2,-,0.4,-,-,-,-
434,1.3,0.7,2,0.7,0.2,1.2,-,1.2,-,-,-,-,-,-,-
435,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-
436,1.8,1,2.8,-,1,1.8,0.3,0.3,0.3,-,-,-,-,-,-
437,0.2,0.3,0.4,0.3,1.3,0.7,0.1,0.4,-,-,-,-,-,-,-
438,0.9,0.1,1,0.3,0.6,0.3,-,0.2,0.2,-,0.1,-,-,-,-
439,0.6,0.1,0.7,0.8,0.5,1.3,0.1,1.2,0.5,0.3,0.8,-,-,-,-
440,0.3,0.1,0.4,0.1,0.6,0.3,-,-,-,-,0.3,-,-,-,-
441,0.6,0.2,0.8,0.2,1.2,0.5,0.1,0.1,-,-,0.4,-,-,-,-
442,0.2,-,0.2,0.4,0.4,0.2,-,1.4,0.2,-,0.4,-,-,-,-
443,1.3,0.2,1.4,0.5,0.5,0.8,-,0.7,0.1,0.1,0.7,-,-,-,-
444,0.8,0.4,1.2,0.3,0.5,0.5,-,1.9,0.2,0.1,0.1,-,-,-,-
445,-,0.1,0.1,-,0.1,-,-,0.9,-,-,-,2.5,0.1,1.2,1.3
446,0.9,0.4,1.3,0.6,0.3,0.7,-,0.4,0.1,-,0.6,-,-,-,-
447,-,0.3,0.3,-,0.7,0.3,0.2,0.2,-,-,0.5,-,-,-,-
448,1,0.3,1.4,0.3,0.7,0.5,-,1.6,0.1,0.4,0.6,-,-,-,-
449,0.4,-,0.4,-,0.6,0.8,0.2,0.4,-,-,0.3,-,-,-,-
