,TotTkl,DribPast,AttTkl,Intercpt,Fouled,Fouls,COF,Clr,BlkSh,BlkCr,BlkPs,TotSav,OOBSav,SYBSav,PASav
105,2.5,1,3.5,0.5,0.9,1.2,-,1.3,0.5,0.1,1,-,-,-,-
106,1,-,1,1,-,-,-,7,-,-,-,-,-,-,-
107,2.5,1,3.5,2,1.2,1.2,-,2.5,0.3,0.3,0.7,-,-,-,-
108,1.5,0.5,2,1.1,0.5,0.6,-,4.7,0.4,0.1,0.4,-,-,-,-
109,2,0.8,2.8,0.9,0.5,1.9,-,1.2,0.1,0.2,1,-,-,-,-
110,1.5,0.3,1.8,0.7,0.4,1.7,-,6.7,0.6,0.1,0.6,-,-,-,-
111,0.5,0.2,0.6,-,1.7,1.5,0.6,0.7,0.1,-,0.2,-,-,-,-
112,1.3,0.6,1.9,0.9,0.5,1.4,-,4.6,0.9,0.1,0.2,-,-,-,-
113,0.9,0.8,1.7,0.7,1.1,0.5,0.3,0.9,-,0.4,0.9,-,-,-,-
114,0.1,0.1,0.2,-,0.2,-,-,0.7,-,-,-,3,0.1,1.9,1
115,0.8,0.3,1.1,0.6,-,1.6,-,5.1,0.7,0.1,0.3,-,-,-,-
116,2.3,1.2,3.5,1.3,1.2,1.3,-,3.4,0.2,0.2,1.1,-,-,-,-
117,0.8,1,1.8,0.5,1.2,0.9,0.1,0.2,-,0.1,0.7,-,-,-,-
118,1.4,0.3,1.8,1.1,0.5,1.1,-,6.5,0.6,0.2,0.4,-,-,-,-
119,0.9,0.4,1.3,0.2,1.2,0.5,0.2,0.3,-,-,0.6,-,-,-,-
120,1.5,0.6,2.1,1.1,0.8,1.3,-,4.5,0.5,-,0.6,-,-,-,-
121,1.4,0.5,1.9,0.9,0.6,0.4,0.1,1.8,0.2,0.6,0.7,-,-,-,-
122,1.1,0.7,1.8,0.4,1,0.6,0.1,0.5,-,0.1,0.5,-,-,-,-
123,1.3,0.7,2,0.6,1.2,1,0.2,1,0.2,0.1,0.3,-,-,-,-
124,1.3,0.4,1.7,0.2,1.3,0.8,0.1,0.2,0.1,0.3,0.6,-,-,-,-
125,1.4,0.6,2,0.4,1.6,0.9,0.2,0.3,-,0.1,1,-,-,-,-
126,0.9,0.6,1.4,0.6,1.4,0.8,0.2,0.7,-,0.1,0.6,-,-,-,-
127,0.1,-,0.1,-,0.1,-,-,1.2,-,-,-,1.4,0.1,1.1,0.2
128,1.1,0.2,1.3,0.8,0.3,0.3,0.1,2.6,0.7,0.1,0.6,-,-,-,-
129,1,0.9,1.9,0.6,1.8,0.8,0.2,0.2,0.1,-,0.8,-,-,-,-
130,0.5,0.4,0.9,0.3,1.2,0.6,0.2,0.1,-,0.1,0.6,-,-,-,-
131,1.8,0.8,2.6,0.6,1.1,0.9,0.1,1,0.1,0.1,0.5,-,-,-,-
132,1,0.8,1.8,0.7,1.1,0.9,-,1.1,-,-,0.2,-,-,-,-
133,0.3,-,0.3,0.3,-,0.3,-,-,0.3,-,-,-,-,-,-
