,TotTkl,DribPast,AttTkl,Intercpt,Fouled,Fouls,COF,Clr,BlkSh,BlkCr,BlkPs,TotSav,OOBSav,SYBSav,PASav
195,2.3,0.5,2.8,1.2,1.2,1.4,-,1.5,0.3,0.1,0.4,-,-,-,-
196,0.6,0.3,0.8,-,1,0.7,-,0.1,-,0.1,0.2,-,-,-,-
197,0.1,-,0.1,-,0.1,-,-,0.8,-,-,-,2.8,0.1,2.1,0.6
198,1.9,1.4,3.3,0.9,1.2,0.6,-,1.3,0.1,-,0.5,-,-,-,-
199,0.6,0.5,1.1,0.8,0.7,0.5,-,1.2,0.3,0.1,0.5,-,-,-,-
200,1,0.3,1.3,1,-,0.9,-,5,0.6,-,0.3,-,-,-,-
201,-,0.1,0.1,-,-,-,-,0.6,-,-,-,2.2,-,1.7,0.5
202,0.1,-,0.1,-,0.2,-,-,0.6,-,-,-,2.5,0.1,1.6,0.8
203,0.5,-,0.5,-,-,-,-,-,-,-,-,-,-,-,-
204,1.6,0.3,1.9,0.5,0.3,0.6,0.1,0.9,0.1,0.2,0.2,-,-,-,-
205,0.8,0.5,1.3,0.4,0.7,0.5,-,0.6,-,-,0.4,-,-,-,-
206,1.2,0.7,1.9,0.6,0.6,1.3,0.2,0.9,0.1,0.3,0.4,-,-,-,-
207,0.5,0.5,1,-,0.2,0.3,0.3,0.2,0.1,-,0.3,-,-,-,-
208,1.9,0.4,2.4,0.8,0.3,1,-,1.2,0.3,-,0.7,-,-,-,-
209,2.5,1.1,3.6,0.8,0.5,1.4,-,3.8,0.4,-,0.6,-,-,-,-
210,0.7,0.5,1.3,1.3,0.2,0.5,0.1,2.5,0.8,-,0.3,-,-,-,-
211,0.8,0.2,1,1.1,0.9,1.3,0.1,1.1,0.2,0.2,0.3,-,-,-,-
212,1.8,1.6,3.4,0.4,1.2,1.2,0.1,0.4,0.2,0.1,1,-,-,-,-
213,3,1.8,4.8,0.8,1.2,2.1,-,1,0.1,-,1.1,-,-,-,-
214,1.4,0.8,2.2,0.4,1.6,1.2,0.3,0.4,0.1,-,0.6,-,-,-,-
215,1.1,0.1,1.3,0.8,1.5,0.2,-,2.9,0.3,0.3,0.3,-,-,-,-
216,0.5,0.1,0.6,0.1,0.7,1.2,0.5,0.7,-,-,0.2,-,-,-,-
217,0.7,0.7,1.5,0.5,0.8,0.5,0.1,0.1,-,0.1,1,-,-,-,-
218,0.9,0.5,1.5,0.8,0.6,0.9,-,3,0.5,0.1,0.3,-,-,-,-
219,2.8,1.4,4.2,1,1.2,1.5,-,0.6,0.1,0.1,1,-,-,-,-
220,1.4,0.6,1.9,0.8,1.3,0.9,-,1.6,0.6,0.2,0.4,-,-,-,-
221,0.8,1,1.7,0.3,0.8,0.8,-,0.4,0.1,-,0.4,-,-,-,-
222,0.4,0.2,0.6,0.3,1,1.2,1.2,0.8,0.1,-,0.2,-,-,-,-
223,2.5,1.1,3.7,0.9,0.5,1,-,1.4,0.4,-,0.8,-,-,-,-
224,-,-,-,-,0.3,-,-,0.3,-,-,-,2.5,0.3,1.3,0.9
225,0.1,0.1,0.2,-,-,-,-,1.2,-,-,-,2.8,0.5,1.6,0.8
226,2.2,1.1,3.3,0.7,1.2,1,-,2,0.3,0.1,0.5,-,-,-,-
227,0.6,0.1,0.8,0.9,0.3,0.5,-,2.3,0.6,-,0.1,-,-,-,-
228,-,0.1,0.1,-,0.2,-,-,1.1,-,-,-,3.7,0.2,2.4,1.1
229,1.8,0.8,2.6,0.7,1,1,0.1,1.8,0.4,0.4,0.9,-,-,-,-
230,1,0.6,1.6,1.3,1.3,1.1,-,2,0.6,0.1,0.6,-,-,-,-
231,1.3,0.6,1.8,0.7,0.2,0.3,0.1,1.3,0.1,0.4,0.2,-,-,-,-
232,0.3,-,0.3,-,-,-,-,1,-,-,-,1.7,-,0.7,1
233,1.8,0.9,2.8,0.6,0.8,1.1,0.1,0.7,0.2,-,0.5,-,-,-,-
234,1.2,0.3,1.5,0.7,1,0.8,-,2.2,0.2,-,0.2,-,-,-,-
235,1.1,0.4,1.5,1.4,0.5,0.6,0.1,3.7,0.5,0.1,0.2,-,-,-,-
236,2,0.7,2.6,0.7,0.5,0.8,-,1.8,0.3,0.1,0.9,-,-,-,-
237,-,0.1,0.1,-,0.1,-,-,0.7,-,-,-,2.8,0.2,1.6,1
238,0.6,0.3,0.9,0.2,0.6,0.8,0.5,0.4,0.1,0.1,0.5,-,-,-,-
239,2.1,0.8,2.9,0.6,1.8,1.6,0.2,1,0.1,0.1,0.8,-,-,-,-
240,1.2,0.3,1.5,0.2,0.8,0.6,-,0.2,0.3,0.1,0.3,-,-,-,-
241,1.4,0.6,2,0.8,0.3,0.2,-,2.1,0.7,0.1,0.3,-,-,-,-
242,0.3,-,0.3,0.2,1,0.4,0.1,0.5,0.1,-,0.2,-,-,-,-
243,0.9,1.1,2,1,0.3,0.7,0.1,2.1,0.5,0.3,0.1,-,-,-,-
244,-,-,-,0.1,0.1,0.1,-,1.2,-,-,-,3.2,0.2,2,1
245,1,0.6,1.6,0.3,0.4,0.6,0.1,0.5,0.1,-,0.6,-,-,-,-
