,TotTkl,DribPast,AttTkl,Intercpt,Fouled,Fouls,COF,Clr,BlkSh,BlkCr,BlkPs,TotSav,OOBSav,SYBSav,PASav
246,1.9,0.7,2.5,0.8,0.6,0.9,-,1.9,0.1,0.3,0.3,-,-,-,-
247,1.4,0.4,1.8,0.7,0.9,0.9,0.1,0.5,0.2,-,0.5,-,-,-,-
248,2,0.2,2.2,0.3,0.7,0.3,-,0.5,0.2,-,0.2,-,-,-,-
249,1.4,0.4,1.8,0.9,0.8,0.5,0.1,5.5,1,-,0.4,-,-,-,-
250,0.6,0.2,0.8,0.1,0.6,0.6,0.8,0.7,0.1,-,0.1,-,-,-,-
251,1,-,1,0.5,1,0.5,-,-,-,-,0.5,-,-,-,-
252,2.4,0.9,3.2,1,1.1,1.2,-,0.9,0.3,-,1.2,-,-,-,-
253,0.8,0.3,1.1,0.6,0.2,0.5,-,0.3,0.2,-,0.4,-,-,-,-
254,0.6,0.1,0.7,0.8,0.6,0.7,-,2.6,0.1,-,0.2,-,-,-,-
255,1.6,0.7,2.3,1.4,1.1,0.6,0.1,3.3,0.4,0.8,0.9,-,-,-,-
256,1.5,0.6,2.1,0.8,1,0.8,0.1,2.2,0.3,0.2,0.5,-,-,-,-
257,0.4,0.1,0.5,-,0.7,0.4,0.1,0.8,0.1,-,-,-,-,-,-
258,3,1.4,4.5,1.4,0.6,0.6,0.1,2.3,0.5,0.3,0.8,-,-,-,-
259,0.7,0.5,1.2,0.2,0.1,1,-,0.3,-,0.2,0.5,-,-,-,-
260,1.7,1.6,3.3,1,0.4,0.8,-,2.5,0.3,0.3,0.4,-,-,-,-
261,-,-,-,-,0.1,-,-,1.2,-,-,-,3.6,0.6,2.2,0.9
262,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-
263,-,0.1,0.1,-,-,-,-,1,-,-,-,3.9,0.4,2.4,1
264,0.7,0.4,1.1,0.1,0.6,1,0.4,0.4,-,-,0.2,-,-,-,-
265,0.7,0.3,1,0.3,1.4,0.5,0.1,0.2,-,-,0.2,-,-,-,-
266,1.2,0.5,1.7,0.9,0.5,0.8,-,1.5,0.3,0.2,0.8,-,-,-,-
267,0.1,-,0.1,-,-,-,-,1,-,-,-,2.8,0.2,1.7,1
