,TotTkl,DribPast,AttTkl,Intercpt,Fouled,Fouls,COF,Clr,BlkSh,BlkCr,BlkPs,TotSav,OOBSav,SYBSav,PASav
176,0.9,0.5,1.5,0.5,0.4,0.1,-,1.6,0.4,0.1,0.4,-,-,-,-
177,0.4,0.3,0.7,0.1,2.5,0.4,0.4,0.5,-,-,0.4,-,-,-,-
178,1,0.8,1.7,0.4,1.3,0.8,0.1,0.2,-,-,1,-,-,-,-
179,2.1,-,2.1,0.7,0.7,1.6,0.1,1.1,0.1,-,0.6,-,-,-,-
180,1.4,0.6,2,0.8,0.2,0.7,0.1,0.9,0.3,-,0.9,-,-,-,-
181,1.5,0.9,2.4,0.8,0.6,0.8,0.1,1.6,0.2,0.2,0.7,-,-,-,-
182,0.8,0.5,1.3,1.2,0.6,0.6,0.1,3.5,0.6,0.2,0.3,-,-,-,-
183,1.2,1.1,2.3,0.9,0.6,0.4,-,1.5,0.1,0.3,0.8,-,-,-,-
184,1.6,1,2.6,0.3,0.4,1.3,-,0.7,-,0.2,0.8,-,-,-,-
185,1.2,0.5,1.7,0.2,0.3,0.4,0.1,0.4,-,-,0.3,-,-,-,-
186,0.9,-,0.9,0.2,0.2,0.2,0.1,0.7,-,-,0.3,-,-,-,-
187,1.3,0.8,2.1,0.1,1.4,1.2,0.4,0.3,-,0.1,1,-,-,-,-
188,1.3,0.9,2.2,1.1,0.7,0.8,-,1.4,0.2,-,0.9,-,-,-,-
189,1.7,0.8,2.5,1.1,0.1,0.8,-,2.1,0.3,0.2,1,-,-,-,-
190,0.9,0.8,1.7,0.8,0.4,0.6,0.1,1.5,0.2,0.2,0.7,-,-,-,-
191,1.5,0.8,2.4,1.4,0.6,1.2,-,3.1,0.3,-,0.4,-,-,-,-
192,2,0.8,2.7,0.7,0.5,0.9,-,3.8,0.5,0.1,0.8,-,-,-,-
193,2,2,4,-,-,1,-,1,1,-,1,-,-,-,-
194,1.9,0.7,2.6,0.9,1.3,1.1,-,1.4,0.2,-,1.2,-,-,-,-
195,0.4,0.1,0.6,0.2,0.8,1.5,0.2,0.7,0.1,-,0.4,-,-,-,-
196,0.4,0.5,0.9,0.2,0.2,0.2,0.1,0.5,0.1,0.1,0.6,-,-,-,-
197,1.3,0.2,1.5,0.6,0.9,1,-,2.8,0.5,0.2,0.5,-,-,-,-
198,1.1,0.3,1.4,1,0.7,0.5,-,1.7,0.3,-,0.4,-,-,-,-
199,0.5,2,2.5,1,1.5,1,-,-,-,-,0.5,-,-,-,-
200,0.2,-,0.2,-,-,-,-,0.8,-,-,-,3.6,0.4,2.8,0.4
201,1.9,1,2.9,1.2,0.7,1.5,-,4.7,0.8,0.2,1.1,-,-,-,-
202,1.3,0.9,2.1,0.5,0.3,0.5,0.1,1.9,0.4,0.4,0.4,-,-,-,-
203,0.9,0.3,1.2,0.6,0.5,0.5,0.1,1.8,0.3,0.2,0.6,-,-,-,-
204,2.3,1.3,3.7,0.5,1.2,0.8,-,0.9,0.2,0.1,1.7,-,-,-,-
205,0.9,-,0.9,1.3,0.7,0.6,-,4,1.1,0.3,0.6,-,-,-,-
206,1.1,0.3,1.4,1,0.3,0.8,-,0.9,0.3,-,0.8,-,-,-,-
207,0.6,0.4,1,0.3,1.3,0.7,0.3,0.5,-,0.1,0.5,-,-,-,-
208,1.2,0.5,1.7,1.1,0.6,0.4,-,3.6,0.8,0.2,0.4,-,-,-,-
209,2,0.6,2.6,0.8,0.6,0.2,-,2.6,0.4,0.2,-,-,-,-,-
210,0.4,0.1,0.5,0.2,0.4,1.1,0.5,0.8,-,-,0.2,-,-,-,-
211,0.6,0.2,0.8,0.1,0.8,0.4,-,0.2,-,-,0.5,-,-,-,-
212,1.9,1.5,3.4,0.4,1.1,0.8,-,2.1,0.3,-,1.2,-,-,-,-
213,1.5,0.6,2.1,1,0.9,0.8,0.1,1.6,0.3,0.1,1.1,-,-,-,-
214,1.3,0.6,1.9,0.8,1.4,1.2,0.1,2.6,0.6,0.2,0.8,-,-,-,-
215,1.9,0.9,2.8,0.6,1.1,0.7,0.1,2.3,0.3,0.3,1.3,-,-,-,-
216,1.4,0.3,1.7,0.7,1.2,0.5,0.1,2.2,0.2,0.2,0.6,-,-,-,-
217,1.5,0.9,2.4,0.7,1.2,1,-,1.9,0.3,0.2,0.6,-,-,-,-
218,1,0.5,1.5,0.3,0.3,1.2,0.4,-,-,0.1,0.2,-,-,-,-
219,2.3,0.8,3.1,1,1.6,1.9,-,4.1,0.7,0.2,1.1,-,-,-,-
220,1.2,0.8,1.9,0.2,0.3,0.6,0.1,0.6,0.1,-,0.9,-,-,-,-
221,1.1,0.6,1.7,0.7,0.5,0.9,-,1.6,0.3,0.1,0.5,-,-,-,-
222,0.6,0.3,0.9,0.2,1.3,0.8,0.4,0.3,-,-,0.5,-,-,-,-
223,1.3,0.5,1.8,0.8,0.3,0.7,-,1.7,0.3,-,0.4,-,-,-,-
224,1.4,0.6,2,0.5,1.6,0.8,-,2.6,0.4,0.1,0.8,-,-,-,-
225,0.6,0.3,0.9,0.6,0.4,0.5,-,4.4,0.5,0.1,0.4,-,-,-,-
226,1,0.7,1.8,0.9,0.3,0.9,0.1,2,0.1,0.1,0.4,-,-,-,-
227,1,0.3,1.2,0.9,0.3,0.5,-,4.5,0.6,0.2,0.5,-,-,-,-
228,0.9,0.2,1.1,0.2,0.9,0.4,0.1,0.8,0.2,-,0.7,-,-,-,-
229,1,0.6,1.6,0.7,0.3,0.8,-,1.9,0.4,-,1,-,-,-,-
230,0.1,-,0.1,-,0.1,-,-,0.6,-,-,-,1.1,-,0.8,0.3
231,0.6,0.3,0.9,-,0.4,0.6,-,-,-,-,0.4,-,-,-,-
232,1.1,0.5,1.6,1.1,0.7,1.1,-,1,-,-,0.7,-,-,-,-
233,1.8,0.4,2.2,0.9,1.1,1,-,2.3,0.3,0.3,1.4,-,-,-,-
234,1.7,0.4,2.2,0.9,0.8,0.8,-,3.4,1.2,0.2,0.9,-,-,-,-
235,1.1,0.5,1.6,0.3,0.5,0.8,1,0.1,0.1,-,0.6,-,-,-,-
236,-,-,-,-,-,-,-,0.3,-,-,-,2.9,0.3,1.4,1.1
237,1.5,0.8,2.3,0.4,1,1.4,0.1,0.7,0.3,0.1,1.2,-,-,-,-
238,0.3,0.1,0.4,0.1,0.9,0.8,0.8,0.6,0.1,-,0.1,-,-,-,-
239,1.7,0.8,2.6,0.6,0.5,1,-,1.7,0.1,0.3,1.3,-,-,-,-
240,0.3,0.4,0.7,0.1,0.3,0.5,0.1,0.4,-,-,0.3,-,-,-,-
241,0.9,0.3,1.2,0.2,0.6,0.4,0.4,0.7,0.1,0.2,0.3,-,-,-,-
242,0.9,0.5,1.3,0.3,0.1,0.5,0.2,1.5,0.4,0.2,0.5,-,-,-,-
243,1.2,0.5,1.6,0.6,0.1,0.4,-,4.1,0.6,0.2,0.5,-,-,-,-
244,0.6,0.3,0.9,0.9,0.1,0.9,-,2.5,0.9,-,0.1,-,-,-,-
245,1.3,0.4,1.7,0.9,0.6,0.3,0.1,2.7,0.5,0.1,0.3,-,-,-,-
246,1.5,0.3,1.7,0.2,0.5,0.5,-,0.9,-,0.2,0.4,-,-,-,-
247,0.9,0.2,1.1,0.3,0.7,0.2,0.1,1.1,0.1,-,0.3,-,-,-,-
