,TotTkl,DribPast,AttTkl,Intercpt,Fouled,Fouls,COF,Clr,BlkSh,BlkCr,BlkPs,TotSav,OOBSav,SYBSav,PASav
221,0.1,-,0.1,-,0.3,0.1,-,0.9,-,-,-,2.9,0.4,1.7,0.7
222,1.7,0.3,2.1,1.2,0.4,1.6,-,3.2,0.4,0.2,0.7,-,-,-,-
223,2.5,0.6,3.1,1.1,0.8,0.7,0.1,1.7,0.2,-,0.7,-,-,-,-
224,1.3,0.5,1.7,0.6,1.5,1,0.2,1.4,0.2,-,0.4,-,-,-,-
225,-,0.1,0.1,-,0.1,-,-,0.7,-,-,-,2.9,0.1,1.7,1.1
226,1.4,0.7,2,0.7,0.8,1.2,0.1,0.7,0.1,0.2,0.6,-,-,-,-
227,1.8,0.8,2.6,1,0.6,1.2,-,2.7,0.2,-,0.7,-,-,-,-
228,1.3,0.3,1.6,0.9,0.4,0.4,-,0.9,0.2,0.1,0.4,-,-,-,-
229,1.6,0.5,2.2,0.7,0.8,0.9,-,1,-,-,0.6,-,-,-,-
230,1.3,1.1,2.4,0.3,0.6,0.6,-,0.4,0.1,-,0.5,-,-,-,-
231,2.4,1.4,3.9,0.7,1.4,1.8,-,0.8,0.1,0.1,1.1,-,-,-,-
232,0.5,0.2,0.7,0.2,0.9,0.1,0.3,0.1,-,0.1,0.7,-,-,-,-
233,0.8,0.5,1.3,0.4,0.4,0.3,0.1,0.9,0.1,0.1,0.2,-,-,-,-
234,0.9,0.7,1.6,0.3,0.5,0.8,0.3,0.3,-,-,0.3,-,-,-,-
235,1.4,0.2,1.5,1.1,0.5,0.9,-,2.7,0.4,-,0.5,-,-,-,-
236,1.4,0.4,1.8,0.6,1,1,0.2,0.9,0.1,0.1,0.6,-,-,-,-
237,0.1,-,0.1,-,0.1,-,-,1.2,-,-,-,2.4,0.1,1.7,0.6
238,0.7,0.5,1.2,0.2,0.5,0.5,0.5,0.2,-,-,0.5,-,-,-,-
239,1.2,0.7,1.9,1.1,0.4,0.8,0.1,2.4,0.2,-,0.5,-,-,-,-
240,0.4,0.2,0.6,-,0.7,0.7,0.2,0.5,-,-,0.1,-,-,-,-
241,0.8,0.7,1.5,0.3,1,1.4,0.5,0.3,-,-,0.6,-,-,-,-
242,1.5,0.4,1.9,0.4,0.4,0.6,-,2.2,0.3,0.2,0.4,-,-,-,-
243,0.6,0.3,0.9,0.4,1.1,1.1,0.2,0.9,0.1,-,0.3,-,-,-,-
244,0.4,0.8,1.3,0.3,0.8,0.9,0.2,0.4,0.3,0.1,1,-,-,-,-
245,0.3,0.3,0.6,0.2,0.1,0.9,0.1,0.4,-,-,0.1,-,-,-,-
246,1.5,0.7,2.1,0.5,0.2,0.5,-,1.1,0.3,-,0.4,-,-,-,-
247,0.3,0.1,0.3,0.1,0.5,1.1,1.1,0.3,0.1,-,0.1,-,-,-,-
248,1.4,0.5,1.9,0.7,0.3,1,-,4.4,0.7,0.1,0.6,-,-,-,-
249,2.2,0.8,3,1.1,0.5,1.2,-,4.4,0.5,-,0.5,-,-,-,-
250,1.1,0.7,1.8,1.1,2.1,0.9,-,3.1,0.1,0.6,0.5,-,-,-,-
251,0.1,-,0.1,0.1,0.3,0.5,0.4,0.5,-,-,0.2,-,-,-,-
252,2,0.4,2.4,0.6,0.7,1.2,-,2.1,0.2,0.1,0.6,-,-,-,-
253,1.2,0.2,1.5,0.2,0.8,0.8,-,0.4,0.2,0.1,0.3,-,-,-,-
254,0.4,0.3,0.8,0.3,0.7,0.4,0.1,0.1,0.1,0.1,0.5,-,-,-,-
255,2.2,0.6,2.8,0.5,0.4,0.7,-,0.5,0.1,-,0.3,-,-,-,-
256,0.5,0.3,0.8,0.1,0.6,0.9,0.2,0.3,-,-,0.4,-,-,-,-
257,0.4,0.4,0.8,-,0.1,0.1,0.1,-,-,-,0.3,-,-,-,-
