,BlkSh,BlkCr,BlkPs
491,0.3,-,0.6
492,0.4,0.2,0.2
493,-,-,0.3
494,0.1,-,0.1
495,0.4,0.2,0.1
496,-,0.2,0.1
497,-,-,0.4
498,0.5,-,0.7
499,-,-,-
500,0.2,-,0.6
501,-,0.2,-
502,-,0.1,0.1
503,0.1,-,0.4
504,-,-,-
505,-,-,0.1
506,0.3,0.2,0.2
507,0.1,-,0.2
508,-,-,-
509,-,-,-
510,-,-,-
511,-,0.1,0.1
512,-,-,-
513,-,-,0.5
514,-,-,0.5
515,0.1,0.3,0.3
516,-,-,0.2
517,-,-,-
518,-,-,-
519,-,-,-
520,-,-,-
521,-,-,0.2
522,-,-,-
523,0.3,0.1,0.6
524,0.3,-,-
525,-,0.1,0.6
526,0.2,-,0.4
527,-,0.3,0.4
528,-,-,-
529,-,-,0.7
530,0.1,0.2,0.7
531,-,-,0.4
532,-,-,0.3
533,0.2,-,0.2
534,0.1,0.1,0.1
535,0.1,-,-
536,-,-,-
537,-,0.2,0.2
538,-,-,-
539,1.3,-,0.3
540,-,0.1,0.2
541,0.2,0.2,0.8
542,-,-,0.3
543,0.1,-,0.3
544,-,-,-
545,-,-,0.1
546,-,-,0.4
547,0.2,-,-
548,-,-,0.2
549,-,-,-
550,-,-,0.3
551,-,-,-
552,-,-,0.3
553,-,0.3,0.3
554,-,-,0.1
555,0.1,-,0.3
556,-,-,0.5
557,0.1,-,0.1
558,0.3,-,0.4
559,-,-,-
560,0.1,0.1,0.3
561,0.1,-,-
562,-,-,-
563,0.3,-,0.7
564,-,-,-
565,-,-,2
566,0.2,0.1,0.1
567,-,-,-
568,0.1,-,0.3
569,-,-,0.3
570,-,0.3,0.3
571,-,-,1
572,-,-,-
573,-,-,0.1
574,-,-,-
575,-,-,-
576,-,-,1
577,-,-,-
578,-,-,0.6
579,-,-,-
580,-,0.1,0.3
581,1,-,-
582,-,-,-
583,-,-,1
584,-,0.1,0.1
585,-,-,0.6
586,-,-,1
587,0.1,-,-
588,-,-,-
589,-,-,-
590,-,-,-
591,-,-,0.4
592,0.3,-,-
593,-,0.2,-
594,-,0.1,-
595,-,-,-
596,-,-,-
597,-,-,-
598,-,-,-
599,-,-,-
600,-,-,-
601,-,-,-
602,-,-,-
603,-,-,1
604,-,-,-
605,-,-,-
606,-,-,-
607,0.7,0.2,-
608,-,-,-
609,0.1,-,-
610,-,-,-
611,-,-,-
612,-,-,-
613,-,-,-
614,-,-,-
615,-,-,-
616,-,-,-
617,-,-,0.4
618,1,-,-
619,-,-,-
620,-,-,-
621,0.5,-,1
622,-,-,-
623,-,-,0.4
624,-,-,-
