,UnDrib,SucDrib,TotDrib
492,-,-,-
493,0.3,-,0.3
494,1.1,0.8,1.9
495,0.4,0.4,0.9
496,0.2,0.4,0.7
497,0.4,0.2,0.6
498,0.3,0.4,0.8
499,-,-,-
500,0.4,-,0.4
501,1,0.5,1.5
502,0.5,0.3,0.8
503,0.6,0.1,0.7
504,-,-,-
505,0.7,0.4,1
506,0.6,0.2,0.8
507,0.4,-,0.5
508,-,0.2,0.2
509,-,1,1
510,-,-,-
511,0.3,0.4,0.6
512,0.4,0.3,0.7
513,-,-,-
514,0.5,-,0.5
515,0.7,0.2,0.9
516,0.8,0.3,1.1
517,-,-,-
518,-,-,-
519,-,-,-
520,0.6,0.2,0.8
521,0.2,-,0.2
522,-,-,-
523,0.6,0.4,1
524,0.3,0.3,0.7
525,0.6,0.3,0.9
526,0.3,0.3,0.5
527,0.9,-,0.9
528,0.3,0.3,0.7
529,-,-,-
530,-,0.1,0.1
531,0.3,0.1,0.4
532,-,0.3,0.3
533,-,-,-
534,-,0.1,0.1
535,0.6,0.2,0.8
536,0.7,-,0.7
537,0.2,0.4,0.6
538,-,-,-
539,-,-,-
540,-,0.2,0.2
541,0.2,-,0.2
542,0.6,0.3,0.9
543,0.9,0.4,1.3
544,-,-,-
545,0.6,0.1,0.7
546,0.3,0.2,0.5
547,0.4,0.2,0.6
548,0.2,0.2,0.4
549,-,-,-
550,0.1,0.1,0.2
551,-,-,-
552,0.3,0.4,0.7
553,0.7,0.7,1.3
554,0.1,0.1,0.3
555,0.2,0.2,0.4
556,-,-,-
557,0.9,0.5,1.3
558,0.1,-,0.1
559,0.8,0.1,0.9
560,0.7,0.2,0.9
561,-,0.1,0.1
562,-,-,-
563,-,-,-
564,-,0.3,0.3
565,1,-,1
566,-,0.1,0.1
567,0.2,-,0.2
568,0.1,-,0.1
569,-,-,-
570,0.3,0.3,0.5
571,-,-,-
572,-,0.2,0.2
573,0.9,0.3,1.1
574,-,-,-
575,-,-,-
576,0.5,-,0.5
577,-,-,-
578,0.4,0.4,0.8
579,-,-,-
580,0.1,0.1,0.3
581,-,-,-
582,-,-,-
583,-,-,-
584,0.5,0.3,0.8
585,0.3,0.3,0.5
586,0.5,-,0.5
587,0.3,0.1,0.4
588,-,-,-
589,-,0.3,0.3
590,-,-,-
591,-,-,-
