,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
379,Nahuel Estévez,7(6),647,-,-,2,-,0.3,79.1,1.1,-,6.38
380,Cheikh Niasse,6(2),589,-,-,3,-,0.4,81.9,1.8,-,6.38
381,Mërgim Vojvoda,12(5),1108,-,-,4,-,0.3,86.5,0.5,-,6.38
382,Alessandro Vogliacco,8(4),716,2,-,3,-,0.4,79.9,0.9,-,6.38
383,Nicola Zalewski,1(6),206,-,1,2,-,0.1,89.4,0.1,-,6.37
384,Domagoj Bradaric,21(4),1687,-,-,6,-,0.2,76.7,0.6,-,6.37
385,Alan Matturro,9(4),896,-,-,2,-,0.3,79.8,1.2,-,6.37
386,Darko Lazovic,17(9),1435,1,3,-,-,0.7,66.8,0.3,-,6.37
387,Pietro Pellegri,5(6),413,3,-,3,-,0.7,72.5,0.3,2,6.37
388,Karol Linetty,18(9),1525,1,-,6,-,0.6,85.4,0.3,-,6.37
389,Alessandro Bianco,25(5),2271,1,-,8,-,0.8,87.3,0.4,-,6.37
390,Saba Goglichidze,27(3),2374,-,1,2,1,0.2,78.2,1,-,6.37
391,Lassana Coulibaly,26(8),2317,-,-,3,-,0.1,83.2,0.9,-,6.37
392,Pedro Pereira,29(3),2451,1,3,9,-,0.4,82.2,0.8,-,6.36
393,Arthur Atta,9(15),1004,-,1,3,-,1,82.1,0.5,-,6.36
394,Alberto Moreno,19(2),1560,-,-,4,-,0.6,85,0.4,-,6.36
395,Youssef Maleh,17(5),1514,-,1,3,1,0.8,73.8,0.5,-,6.36
396,Yunus Musah,17(8),1416,-,2,5,-,0.8,88.2,0.3,-,6.36
397,Alessandro Circati,4,360,-,-,1,-,-,87.6,1.3,-,6.35
398,Amir Richardson,6(17),798,-,-,5,-,0.3,88.4,0.7,-,6.35
399,Alessandro Deiola,14(11),1215,1,1,5,-,0.6,76.3,1.2,-,6.35
400,Patrick Ciurria,11(6),998,1,1,1,-,0.6,79.3,0.3,-,6.35
401,Danilo,6(6),579,-,1,2,-,0.1,91.1,1.3,-,6.35
402,Pasquale Mazzocchi,8(11),687,-,-,2,-,0.2,83.9,0.2,-,6.35
403,Zito Luvumbo,16(7),1401,2,2,2,-,0.8,72.5,0.3,-,6.34
404,Marco Brescianini,7(18),841,3,2,1,-,0.7,81.8,0.4,-,6.34
405,Pierluigi Gollini,7,630,-,-,1,-,-,80.8,-,-,6.34
406,Balthazar Pierret,18(9),1555,-,-,2,-,0.2,84.6,1,-,6.34
407,Mattia Liberali,1,62,-,-,-,-,2,82.8,1,-,6.34
408,Alessandro Marcandalli,5(2),344,-,-,2,-,0.3,74,1.7,-,6.34
409,Luca Mazzitelli,3(8),330,1,1,1,-,0.6,84.6,0.2,-,6.34
410,Rafa Marín,1(3),139,-,-,1,-,0.5,97.5,0.5,-,6.34
411,Liam Henderson,24(9),2158,-,3,10,-,0.5,78.4,0.4,-,6.34
412,Anas Haj Mohamed,3(12),448,1,2,4,-,0.5,79.9,0.5,-,6.33
413,Nicolò Zaniolo,0(14),344,2,2,4,-,0.8,86.7,0.3,-,6.33
414,Joaquín Correa,3(12),419,1,2,3,-,0.5,87,0.3,1,6.33
415,Giangiacomo Magnani,11(6),1060,1,-,2,-,0.6,81.6,1.8,1,6.33
416,Pontus Almqvist,10(19),1109,1,1,5,-,0.9,75.4,0.3,-,6.33
417,Noah Okafor,5(6),413,1,-,-,-,1.2,81.3,0.2,-,6.33
418,Tommaso Baldanzi,5(22),778,1,1,2,-,0.7,84.7,-,-,6.33
419,Fellipe Jack,1(6),168,-,-,2,-,-,79.6,0.6,-,6.33
420,Filippo Terracciano,6(6),534,-,-,3,-,0.3,89.7,0.8,-,6.32
421,Marco Sportiello,1(1),125,-,-,-,-,-,82.7,-,-,6.32
422,Anass Salah-Eddine,2(1),153,-,1,-,-,0.7,86.4,-,-,6.32
423,Warren Bondo,19(1),1623,-,-,3,1,0.7,89.7,0.3,-,6.31
424,Matías Moreno,2(2),144,-,-,-,-,-,84.1,0.8,-,6.31
