,TotPs,AccLB,InAccLB,AccSP,InAccSP
315,15,0.5,0.6,11.7,2.3
316,31.3,6.4,13.5,11.1,0.3
317,11,0.6,0.3,8,2.1
318,29,1.4,2.4,20.8,4.4
319,44,3,13,28,-
320,20.3,1.1,0.4,15.4,3.3
321,29.6,1.1,0.8,25.1,2.6
322,10.6,0.2,0.4,6.6,3.4
323,16.9,0.4,0.1,14.3,2
324,22.3,2.3,2.7,15.3,2
325,18.9,0.2,0.6,15.3,2.8
326,13.8,0.6,0.4,8.8,3.9
327,16.7,0.6,0.2,12.2,3.8
328,20.8,0.5,1.2,15.2,3.9
329,37.8,2.2,3.2,27.6,4.8
330,9.8,0.1,0.1,6.7,2.8
331,33.8,1,0.8,28.1,4
332,25.8,6.2,6.8,12.8,-
333,36.4,5.4,8.6,22.3,0.1
334,16,0.3,0.4,12.4,2.9
335,16.9,0.7,0.6,13,2.5
336,27,0.5,1.2,23.6,1.7
337,12.9,0.3,0.4,10.2,2
338,31.2,1.7,0.6,25.6,3.3
339,43.8,2.2,1.4,36.3,4
340,33.5,1.8,1.6,28.8,1.4
341,47.5,2.8,2.2,40.9,1.6
342,34.2,1.9,1.7,27.6,3.1
343,35.1,8,8.4,18.6,0.2
344,9.8,0.2,-,7.4,2.1
345,37.1,2.2,1.1,32.2,1.6
346,38.2,0.4,0.3,34.4,3.2
347,32.1,2.7,1,26.6,1.9
348,5.1,0.2,0.1,2.9,1.9
349,26.8,6.4,14.8,5.6,-
350,27.1,0.6,0.6,22.2,3.6
351,36.4,1.8,1,30.3,3.4
352,12.7,0.1,0.2,9.3,3.1
353,20.6,0.8,0.9,15.8,3.1
354,11.4,0.5,0.5,7.5,2.9
355,45.4,2.1,2.2,38.5,2.6
356,22.1,0.6,0.4,18.6,2.5
357,28.6,1.4,1.8,22.5,2.9
358,31.6,1,1.5,25.7,3.5
359,24.5,1.6,0.6,20.7,1.7
360,8,0.2,-,6.7,1.1
361,22.8,0.6,1.3,17.6,3.3
362,21.3,0.9,0.8,15.6,4.1
363,10.2,0.3,0.3,6.9,2.7
364,27.6,5.5,7.4,14.5,0.2
365,29.8,1.3,1.7,23.4,3.4
366,17.6,0.2,0.1,15.6,1.8
367,28.7,1.3,1.4,22.7,3.3
368,24.2,0.9,0.4,21.1,1.8
369,8.3,0.1,0.2,6.3,1.7
370,44.6,2.2,3.3,35.5,3.6
371,21,1.2,1.5,15.9,2.4
372,14.2,0.4,0.2,9.7,3.9
373,11.9,0.6,0.3,8.2,2.8
374,26.7,0.9,0.5,22.7,2.6
375,22.4,2.5,1.3,15.9,2.6
376,14.5,0.6,0.9,11,2
377,21.3,0.8,0.6,17.4,2.6
378,43.6,2,2.8,36,2.8
