,Name,Club,Age,Height,National,Positions
257,Lazar Samardzic,Atalanta,23 years old (24-02-2002),184cm,Serbia,Attacking Midfielder (Centre)
258,Daniel Maldini,Atalanta,23 years old (11-10-2001),188cm,Italy,"Attacking Midfielder (Centre, Left), Forward"
259,Fabio Miretti,Genoa,21 years old (03-08-2003),179cm,Italy,"Attacking Midfielder (Centre, Left)"
260,Dennis Man,Parma Calcio 1913,26 years old (26-08-1998),183cm,Romania,"Attacking Midfielder (Centre, Right)"
261,Antoine Hainaut,Parma Calcio 1913,23 years old (18-02-2002),187cm,France,Defender (Right)
262,Andrea Carboni,Monza,24 years old (04-02-2001),187cm,Italy,"Defender (Centre, Left)"
263,Mikael Ellertsson,Venezia,23 years old (11-03-2002),182cm,,"Midfielder (Centre, Left)"
264,Martin Frese,Verona,27 years old (04-01-1998),179cm,Denmark,Defender
265,Hernani,Parma Calcio 1913,31 years old (27-03-1994),188cm,Brazil,"Midfielder (Centre, Left)"
266,Jordan Zemura,Udinese,25 years old (14-11-1999),173cm,Zimbabwe,"Defender (Left), Midfielder (Left)"
267,Andrea Colpani,Fiorentina,25 years old (11-05-1999),184cm,Italy,"Attacking Midfielder (Centre, Right)"
