,TotTkl,DribPast,TotAttTkl
516,0.4,0.2,0.6
517,-,-,-
518,1,-,1
519,-,1,1
520,0.2,-,0.2
521,0.8,0.3,1.2
522,0.5,-,0.5
523,0.6,0.4,1
524,0.3,-,0.3
525,0.1,0.3,0.4
526,0.3,0.2,0.5
527,0.9,0.1,1
528,0.3,1.3,1.7
529,1.3,1,2.3
530,0.6,0.7,1.2
531,0.4,0.3,0.7
532,1.3,-,1.3
533,0.7,0.2,0.8
534,0.4,0.3,0.6
535,0.6,0.4,1
536,0.3,-,0.3
537,0.4,-,0.4
538,0.3,-,0.3
539,0.7,-,0.7
540,0.2,0.2,0.4
541,0.8,0.2,1
542,0.3,0.4,0.7
543,0.2,0.2,0.3
544,-,0.2,0.2
545,0.3,0.1,0.4
546,0.3,0.4,0.7
547,0.2,0.2,0.4
548,0.3,0.3,0.6
549,0.2,-,0.3
550,0.6,0.2,0.8
551,-,-,-
552,0.3,0.1,0.4
553,-,-,-
554,0.4,0.4,0.8
555,0.1,0.2,0.3
556,-,0.5,0.5
557,0.3,-,0.3
558,0.5,0.1,0.6
559,0.4,0.4,0.8
560,0.5,0.2,0.7
561,0.1,0.1,0.3
562,-,-,-
563,1.7,-,1.7
564,0.5,0.3,0.8
565,-,-,-
566,0.4,0.1,0.6
567,-,-,-
568,-,0.1,0.1
569,0.7,-,0.7
570,0.5,0.3,0.8
571,-,-,-
572,0.3,0.2,0.5
573,-,0.1,0.1
574,0.5,-,0.5
575,0.5,-,0.5
576,1,0.5,1.5
577,-,1,1
578,1.2,-,1.2
579,-,-,-
580,1.1,0.4,1.5
581,-,1,1
582,-,-,-
583,-,-,-
584,0.4,0.2,0.6
585,0.3,0.3,0.5
586,-,0.5,0.5
587,0.4,-,0.4
588,-,-,-
589,-,0.3,0.3
590,-,0.1,0.1
591,0.6,0.4,1
592,0.7,-,0.7
593,0.5,0.3,0.8
594,0.1,0.1,0.2
595,-,-,-
596,-,-,-
597,1,-,1
598,-,-,-
599,-,-,-
600,-,-,-
601,-,-,-
602,-,1,1
603,-,-,-
604,0.2,-,0.2
605,-,-,-
606,-,-,-
607,1.3,1,2.3
608,-,-,-
609,0.3,0.1,0.4
610,-,-,-
611,-,-,-
612,-,-,-
613,-,-,-
614,-,1,1
615,-,-,-
616,-,-,-
617,-,-,-
618,-,-,-
619,-,0.5,0.5
620,-,0.3,0.3
621,1,-,1
622,-,-,-
623,1.3,0.5,1.8
624,-,-,-
