,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
328,Aridane Hernández,7(3),664,-,-,1,-,0.5,87,2.3,-,6.42
329,Carlos Domínguez,10(5),906,-,-,1,-,0.2,87.3,1.7,-,6.42
330,Justin Smith,3(2),210,-,-,-,-,-,67.8,0.6,-,6.42
331,Anuar Tuhami,17(4),1441,2,-,6,-,0.4,83.5,1,1,6.42
332,Arthur,6(4),569,-,-,2,-,0.4,95.1,-,-,6.41
333,Óscar Valentín,17(14),1637,-,-,3,-,0.1,83.1,0.9,-,6.41
334,Bertug Yildirim,13(5),979,1,-,7,-,1,55.3,3.6,-,6.41
335,Javi Hernández,23(4),2031,-,1,4,-,0.4,76.1,0.7,1,6.41
336,Cenk Özkacar,4(2),351,-,-,-,-,0.2,83.3,1,-,6.41
337,Daley Sinkgraven,1(1),91,-,-,-,-,-,78.9,0.5,-,6.41
338,Javi Sánchez,25,2033,2,-,6,-,0.4,87.8,1.4,-,6.41
339,Facundo Garcés,2(3),226,-,-,-,-,0.2,81.5,1.6,-,6.40
340,Javi López,19(7),1755,-,-,4,-,0.2,83.6,0.4,-,6.40
341,Franco Cervi,4(2),260,-,-,1,-,-,66.4,0.7,1,6.40
342,Manu Sánchez,25(3),2209,1,-,6,1,0.4,72.8,0.3,1,6.40
343,Williot Swedberg,13(14),1147,3,3,1,-,1,75.3,0.3,1,6.40
344,Bojan Miovski,12(3),858,2,1,-,-,0.9,77.1,0.9,-,6.40
345,Luis Pérez,27(1),2423,-,-,2,-,0.1,80,0.6,1,6.40
346,Arnaut Danjuma,15(8),1313,2,-,2,-,1.3,82,-,-,6.40
347,Hugo Sotelo,14(7),1182,-,-,4,-,0.2,88.3,0.1,-,6.40
348,Mikel Vesga,9(12),860,-,-,1,-,0.3,82.4,0.9,-,6.39
349,Héctor Fort,4(9),447,-,-,2,-,0.3,91.8,0.2,-,6.39
350,Manu Fuster,6(17),751,2,1,2,-,0.7,85.3,0.1,-,6.39
351,Assane Diao,2(8),271,1,2,-,-,0.7,75,0.8,-,6.39
352,Reinildo,10(9),936,-,-,4,-,0.1,84,0.5,-,6.39
353,Antoniu Roca,10(12),816,-,1,3,-,0.5,74.7,0.3,-,6.39
354,Yoel Lago,4,301,-,1,-,-,-,93.1,0.5,-,6.39
355,José Gragera,7(3),572,-,-,-,-,0.2,88,1.1,-,6.39
356,Jon Pacheco,8(5),764,-,-,3,-,0.1,83,1.5,-,6.38
357,Ferland Mendy,12(2),1008,-,1,1,1,-,94.3,0.3,-,6.38
358,Gerard Martín,7(16),785,1,2,2,-,0.2,85,0.4,-,6.38
359,Adrián,16,1262,-,-,3,-,-,71.2,0.3,-,6.38
360,Rodrigo Riquelme,4(12),509,-,1,-,-,0.9,87.2,0.2,-,6.38
361,Darko Brasanac,14(12),1469,1,2,3,-,0.5,75.7,0.8,-,6.38
362,Adri Embarba,15(16),1422,1,1,4,-,1,74.7,0.4,-,6.37
363,Iván Martín,21(6),1759,1,1,1,-,0.3,91.1,0.1,-,6.37
364,Toni Lato,5(6),457,-,-,-,1,-,75.8,0.5,-,6.37
365,James Rodríguez,1(5),136,-,-,1,-,0.7,89.2,0.3,-,6.37
366,Luken Beitia,0(1),7,-,-,-,-,-,100,1,-,6.37
367,Jailson,6(7),613,-,-,2,-,0.3,90.6,1.4,-,6.37
368,Adrià Alti,15(3),1276,-,-,5,-,0.3,79.8,0.5,1,6.36
369,Fernando Calero,3(13),455,1,-,-,-,0.1,84.3,0.4,-,6.36
370,Stanis Idumbo,3(11),280,1,1,-,-,0.3,83.3,0.1,-,6.36
371,Gerard Gumbau,7(11),765,-,1,4,-,0.7,80.1,0.8,-,6.36
372,Chimy Ávila,6(13),672,2,-,5,1,1.1,76.1,0.4,1,6.36
373,Jon Olasagasti,7(13),789,1,1,2,-,0.6,77.7,0.6,-,6.36
374,Aleksandar Sedlar,6(2),515,-,-,1,1,0.1,82,1,-,6.36
375,Ander Guevara,16(13),1607,-,1,1,-,0.3,78.3,0.9,-,6.36
376,Marcos André,14(7),1185,1,2,5,-,1,66.8,2.3,-,6.36
377,Abel Ruiz,16(3),1239,4,-,3,-,1.2,89.5,0.4,-,6.36
378,Stanko Juric,18(7),1650,-,-,5,1,0.3,84.8,1.8,-,6.36
379,Cristhian Stuani,2(25),721,8,2,3,-,1,70.3,0.5,1,6.36
380,Cyle Larin,19(8),1562,6,2,4,-,1.3,68.3,2.1,1,6.35
381,Jesús Vázquez,9(7),802,-,-,3,-,0.3,76.5,0.6,-,6.35
382,Ander Barrenetxea,12(13),1075,1,3,5,-,0.8,76.9,0.3,-,6.35
383,Siebe Van der Heyden,1(1),96,-,-,-,-,0.5,90.5,1,-,6.35
384,Florian Grillitsch,6(3),464,-,-,1,-,0.3,82.7,0.3,-,6.34
385,Valentín Barco,3(4),287,-,-,-,-,1,79.3,-,-,6.34
386,Randy Nteka,16(8),1138,3,-,6,-,0.7,66.1,1.7,-,6.34
387,Dimitri Foulquier,23(7),2151,-,1,6,-,0.4,81.4,0.3,-,6.34
388,Brian Oliván,12(5),1017,-,1,2,-,0.4,75.4,0.2,-,6.34
389,William Carvalho,4(5),327,-,-,-,-,0.3,86.1,0.7,1,6.34
390,Oriol Romeu,16(5),1242,-,-,5,-,0.2,90.6,0.6,-,6.34
391,Pau Cabanes,0(10),156,1,-,-,-,0.4,76.9,0.1,-,6.34
392,Tasos Douvikas,6(14),692,3,1,2,-,0.9,71.4,0.8,-,6.33
393,Damián Rodríguez,9(7),880,-,-,3,-,0.3,91.6,-,-,6.33
394,Jesús Navas,3(12),416,1,-,-,-,0.2,83.3,0.4,-,6.33
395,Antonio Sánchez,9(19),1154,-,-,2,-,0.5,75.8,0.2,-,6.33
396,Juanmi,8(4),667,-,-,2,-,1.1,75.9,0.5,-,6.33
397,Juan Bernat,1(9),205,-,1,-,-,0.2,81.9,0.5,-,6.33
398,Borja Mayoral,3(16),742,4,1,-,-,0.8,81.4,0.8,-,6.33
399,Ansu Fati,2(3),187,-,-,1,-,1.8,85.6,0.4,-,6.33
400,Carlos Benavídez,6(8),370,1,1,2,-,0.2,73.3,0.4,-,6.33
401,Kike Barja,3(8),259,-,-,3,-,0.4,78,0.5,-,6.32
402,Nabil Aberdin,4(3),263,-,-,1,-,0.3,60,1.4,-,6.32
403,Alfonso Pedraza,2(7),275,-,-,-,-,0.3,75,0.4,-,6.32
404,Pablo Ibáñez,9(15),1023,1,1,3,-,0.7,76.8,0.7,-,6.32
405,Tomás Conechny,9(9),793,1,-,6,-,1.2,67.4,1.1,-,6.32
406,Álex Sola,13(6),1037,-,1,4,-,0.8,68.8,1,-,6.31
407,Takuma Asano,12(7),963,2,-,-,-,1.3,72.2,0.3,-,6.31
408,David Alaba,4(3),317,-,-,1,-,-,91.9,0.6,-,6.31
409,Tajon Buchanan,3(6),276,-,1,1,-,0.6,77,0.3,-,6.31
410,Ander Herrera,2(6),268,-,-,2,-,1,90.9,0.4,-,6.31
411,Moussa Diarra,19(6),1773,-,-,6,-,-,84.1,1.3,-,6.30
412,Irvin Cardona,5(11),600,1,1,1,-,0.6,65.5,0.6,-,6.30
413,Allan Nyom,9(7),689,1,1,4,-,0.5,79.9,0.4,1,6.30
414,Ángel Correa,3(23),695,3,1,3,1,1.2,78.6,-,-,6.30
415,Álex Suárez,27,2240,-,-,12,-,0.1,86.3,0.9,-,6.30
416,Jon Magunazelaia,0(2),6,-,-,-,-,-,53.8,1.5,-,6.30
417,Manu Bueno,1(6),110,1,-,-,-,0.6,91.1,-,-,6.30
418,Álvaro Djaló,6(9),574,1,-,1,-,0.9,68.5,0.6,-,6.30
419,Iván Jaime,2(3),191,-,-,-,-,1,86.3,0.8,-,6.30
420,Sheraldo Becker,11(10),988,2,1,1,1,1,76.9,0.3,-,6.29
421,Papa Dame Ba,0(1),47,-,-,-,-,1,41.7,-,-,6.29
422,Rodri,1(2),117,-,-,-,-,0.7,86.4,-,-,6.29
423,Mateu Morey,6(6),483,-,-,1,-,0.1,81.7,0.6,-,6.29
424,Willy Kambwala,11(3),924,-,-,1,1,0.3,87.8,1,-,6.29
425,Yan Diomande,3(2),207,-,-,-,-,0.6,84.8,0.2,-,6.29
426,Álvaro Fernández,7(1),656,-,-,2,-,-,60.1,0.1,-,6.29
427,Pau Víctor,1(17),230,2,1,2,-,0.7,83.2,0.2,-,6.29
428,Stoichkov,6(10),697,-,1,1,-,1.1,65.5,0.4,-,6.28
429,Unai Gómez,11(16),1019,1,2,1,-,0.6,74.8,0.9,-,6.28
430,Suso,0(11),218,-,-,2,-,0.6,86.6,0.2,-,6.28
431,Peque Fernández,12(10),972,1,1,1,-,0.5,79.7,0.4,-,6.27
432,Beñat Turrientes,10(8),819,-,-,4,-,0.3,91.3,0.6,-,6.27
433,Íñigo Lekue,6(6),588,-,-,1,-,0.2,78.8,0.4,-,6.27
434,Juanmi Latasa,10(13),1049,3,-,6,1,1.4,60.2,3.3,1,6.27
435,Marvin Park,7(11),785,-,-,3,-,0.2,77.9,0.5,-,6.27
436,Denis Suárez,6(13),514,1,1,-,-,0.5,82,0.1,-,6.27
437,Carles Aleñá,5(5),451,-,-,1,-,0.5,81.8,1,-,6.26
438,Cédric Bakambu,6(16),601,2,2,4,-,1,68.4,0.5,-,6.26
439,Sergi Gómez,6(5),651,-,-,1,-,0.2,89,1,-,6.26
440,Max Aarons,1(1),106,-,-,1,-,-,72.7,1,-,6.26
441,Juan Cruz,15(6),1180,-,-,4,-,0.1,80.7,0.3,-,6.25
442,Mamadou Sylla,15(11),1422,5,2,4,-,0.8,65.5,1.5,-,6.25
443,Gonzalo Montiel,1(5),111,-,-,1,-,0.2,92.2,0.2,-,6.25
444,Alberto Risco,0(5),66,-,-,-,-,0.8,74.2,0.2,-,6.25
445,Hugo Novoa,2(3),234,-,-,-,-,0.2,78.8,0.2,-,6.25
446,Raúl Chasco,1(1),129,-,-,-,-,-,66.7,0.5,-,6.25
447,Óscar Trejo,6(10),478,1,-,1,-,0.3,86.6,0.3,-,6.25
448,Rafa Mir,3(12),518,-,2,1,-,1.3,77.6,0.6,-,6.25
449,Mario Martín,18(9),1613,-,1,5,3,0.9,86.1,1,-,6.24
450,Gabriel Misehouy,1(8),252,1,-,-,-,0.7,92.6,-,-,6.24
451,Juan Berrocal,9(6),863,-,-,4,1,0.3,76.4,1.8,-,6.24
452,Borna Barisic,1,10,-,-,-,-,-,100,-,-,6.24
453,Luis Rioja,0(1),22,-,-,-,-,-,100,-,-,6.24
454,García Pascual,0(3),114,-,-,1,-,1.7,63,1.7,-,6.24
455,Alejo Véliz,10(13),1006,1,-,3,-,0.7,65.9,2,-,6.23
456,Munir El Haddadi,6(14),571,3,-,1,1,0.6,73.7,0.4,-,6.23
457,Iker Losada,4(6),341,1,-,2,-,0.3,78.4,0.2,-,6.23
458,Javier Manquillo,7(3),520,-,-,1,-,-,90.4,0.5,-,6.23
459,Arkaitz Mariezkurrena,0(5),108,1,-,1,-,1,65.8,0.6,-,6.22
460,Diego García,10(13),915,3,-,2,-,1,69.5,1.6,-,6.22
461,Peio Canales,1(6),188,-,-,-,-,0.4,85.1,-,-,6.22
462,Orri Óskarsson,9(14),939,3,-,1,-,0.8,55.7,1.3,-,6.22
463,Etienne Eto'o Pineda,0(2),38,-,-,-,-,-,20,3,-,6.22
464,Marc Domenech,2(4),183,-,-,-,-,0.8,70,1.2,-,6.22
465,Darwin Machís,7(10),625,-,1,-,-,0.8,72.9,0.4,-,6.22
466,Raúl García,5(22),662,2,-,-,-,0.7,70.6,0.7,-,6.21
467,Dani Gómez,5(9),526,2,-,-,-,1,74.1,0.5,1,6.21
468,Tamás Nikitscher,6(3),567,-,-,2,-,0.1,92.4,1,-,6.21
469,Valery Fernández,1(16),285,2,-,1,-,0.2,89,0.1,-,6.21
470,Juanmi,2(9),238,-,-,2,-,0.5,83.6,0.5,-,6.21
471,Adrián Rodríguez,1(1),121,-,-,1,-,-,38,0.5,-,6.21
472,Fran Pérez,3(18),440,-,-,1,-,0.2,82.3,0.2,-,6.20
473,Miguel de la Fuente,17(13),1676,1,3,3,-,1.2,59,1,-,6.20
474,Carlos Guirao,2,112,-,-,-,-,-,80,1,-,6.20
475,Sébastien Haller,5(3),406,-,-,-,-,0.5,60,3.3,-,6.20
476,Abdoulaye Keita,1(2),94,-,-,-,-,0.7,56,1,-,6.20
477,Iker Losada,3(7),334,-,-,-,-,0.5,76.8,0.3,-,6.20
478,Mateo Mejía,0(1),10,-,-,-,-,-,-,1,-,6.19
479,Mihailo Ristic,4(2),250,-,1,1,-,-,78.1,-,-,6.19
480,Jesús Owono,5(1),486,-,-,-,-,-,58,0.2,-,6.19
481,Peter Federico,1(13),372,-,-,1,-,0.7,75.6,0.6,-,6.19
482,Moi Gómez,5(19),732,-,-,1,-,0.3,82.1,0.3,-,6.19
483,Walid Cheddira,5(15),608,1,1,2,-,0.5,72.3,0.7,-,6.19
484,Portu,2(20),462,-,2,4,-,0.1,79.2,0.3,-,6.18
485,David López,1,80,-,-,-,-,-,91.2,-,-,6.18
486,Pau Cabanes,2(3),184,-,-,1,-,0.4,83.3,0.2,-,6.18
487,Naci Ünüvar,0(2),30,-,-,-,-,0.5,75,-,-,6.18
488,Akor Adams,1(3),130,-,-,-,-,0.5,74.1,1.5,-,6.17
489,David Torres,15(3),1386,-,-,5,-,0.2,83,1.1,-,6.17
490,Abde Rebbach,4(4),385,-,-,1,-,0.8,69.7,0.3,-,6.17
491,Endrick,1(18),218,1,-,1,-,0.9,80,0.3,-,6.17
492,Iván Balliu,7(13),795,-,-,2,-,-,76.2,0.5,-,6.16
493,Rubén Peña,6(16),658,-,-,1,-,0.5,66.5,0.2,-,6.16
494,Eric Bailly,8(4),620,-,-,2,1,0.3,87.7,0.9,-,6.16
495,Joseph Aidoo,0(1),1,-,-,-,-,-,85.7,-,-,6.16
496,Thomas Lemar,0(4),58,-,-,-,-,0.3,83.7,-,-,6.16
497,Benito Ramírez,1(16),376,-,-,2,1,0.4,84.6,0.2,-,6.16
498,Umar Sadiq,2(5),224,-,-,1,-,0.7,55.6,1.3,-,6.16
499,John Patrick,0(4),46,-,-,1,-,0.5,80,0.5,-,6.15
500,Amath Ndiaye,5(5),326,-,1,-,-,0.5,81.6,0.1,-,6.15
501,Endika Bujan,0(1),6,-,-,-,-,-,100,-,-,6.15
502,Ferrán Ruiz,0(1),17,-,-,-,-,-,50,-,-,6.15
503,Iker Córdoba,0(2),13,-,-,-,-,-,80,0.5,-,6.15
504,Nico Serrano,1(3),110,-,-,-,-,1.3,77.4,-,-,6.15
505,Luka Romero,2(4),197,-,-,-,-,0.3,79.5,0.3,-,6.15
506,Sergi Canós,2(14),353,-,1,3,-,0.6,62.4,0.3,-,6.14
507,Abdón Prats,3(21),438,2,-,4,-,0.6,67,0.8,-,6.14
508,Hugo Guillamón,4(8),361,-,-,2,-,0.2,82.3,0.4,-,6.14
509,Álvaro Aguado,4(11),427,-,1,3,-,0.6,80.1,0.2,-,6.14
510,Eray Cömert,17(4),1431,-,-,6,-,0.4,87.6,1,-,6.13
511,Sergi Domínguez,2(1),173,-,-,1,-,-,95,0.3,-,6.13
512,Jhon Solís,2(13),461,1,-,2,-,0.3,91.7,0.2,-,6.13
513,Asier Villalibre,2(13),305,1,1,2,-,0.5,66.7,1.3,-,6.13
514,José Arnáiz,1(12),112,-,-,-,-,0.4,76.6,0.1,-,6.12
515,Roberto López,3(9),387,-,1,-,-,0.5,82.5,0.2,-,6.12
516,Alejandro Padilla,3(2),320,-,-,-,-,-,49.5,0.2,-,6.12
517,Etta Eyong,0(1),2,-,-,-,-,-,-,1,-,6.11
518,Martín Tejón,0(4),44,-,-,-,-,0.3,80,-,-,6.11
519,Pere Milla,1(15),306,1,-,3,-,0.4,59.6,0.4,-,6.11
520,Andreas Christensen,0(1),26,-,-,1,-,-,87.5,1,-,6.10
521,Javi Llabrés,1,58,-,-,-,-,1,95,1,-,6.10
522,Chema Andres,0(1),7,-,-,-,-,-,100,1,-,6.10
523,Ramon Terrats,1(10),124,-,-,1,-,0.2,85.1,0.3,-,6.10
524,Chiquinho,1(7),141,-,-,2,-,0.5,78.3,0.1,-,6.10
525,Pablo García,0(2),25,-,-,-,-,-,71.4,-,-,6.10
526,Jaime Mata,4(22),502,-,-,8,-,0.5,72.5,0.7,-,6.09
527,Iker Muñoz,4(14),466,-,-,2,-,0.4,79.8,0.6,-,6.09
528,David Argüelles,0(1),6,-,-,-,-,-,60,-,-,6.09
529,Leandro Antonetti,0(1),11,-,-,-,-,-,100,-,-,6.09
530,Henrique,2(1),198,-,-,-,-,-,87.7,-,-,6.08
531,Germán Valera,1(7),144,-,-,-,-,0.4,82.5,0.1,-,6.08
532,Julián Chicco,1(11),197,-,-,-,-,0.3,80.2,-,-,6.08
533,Sergi Guardiola,1(13),324,-,-,1,-,0.8,69.4,0.4,-,6.08
534,Antonio Candela,8,632,-,-,-,-,0.1,81,0.1,-,6.08
535,Daniel Luna,0(2),18,-,-,-,-,-,77.8,-,-,6.08
536,Fabio González,0(2),52,-,-,-,-,1,82.7,0.5,-,6.08
537,Pejiño,0(1),16,-,-,-,-,1,100,-,-,6.08
538,Adrián Arnu,0(3),10,-,-,-,-,-,100,0.3,-,6.08
539,Víctor Meseguer,2(12),409,-,-,1,-,0.4,78.9,0.7,-,6.07
540,Yellu Santiago,5(12),320,-,-,5,-,0.1,69.8,0.1,-,6.07
541,Daniel Díaz,0(1),9,-,-,-,-,-,33.3,1,-,6.07
542,Daniel Yáñez,0(1),1,-,-,-,-,-,-,-,-,6.07
543,Kelechi Iheanacho,5(4),402,-,-,-,-,1,74.7,0.2,-,6.07
544,Nacho Vidal,1(4),120,-,-,-,-,-,77.1,0.6,-,6.05
545,Mateo Flores,1(5),150,-,-,1,-,-,80.9,-,-,6.05
546,Lorenzo Aguado,0(2),4,-,-,-,-,-,-,-,-,6.05
547,Rodrigo Abajas,1,66,-,-,1,-,1,55,-,-,6.05
548,Marcão,5(6),462,-,-,3,1,-,88.5,1.2,-,6.05
549,Jan Salas,0(3),21,-,-,-,-,0.7,81.3,0.3,-,6.05
550,Álvaro Odriozola,0(2),42,-,-,1,-,-,70.8,0.5,-,6.05
551,Enzo Loiodice,5(10),498,-,-,3,-,0.3,85.4,0.5,-,6.04
552,Diego Hormigo,1,38,-,-,-,-,1,71.4,1,-,6.03
553,Gorka Rivera,0(1),19,-,-,-,-,-,33.3,-,-,6.03
554,Chuki,7(8),629,1,-,1,-,0.7,75.4,-,-,6.02
555,Kim Min-Su,0(3),20,-,-,-,-,-,90,-,-,6.01
556,Maximiliano Caufriez,1,90,-,-,-,-,-,78.6,2,-,6.01
557,Tadeo Allende,0(1),1,-,-,-,-,-,33.3,-,-,6.01
558,Raúl de Tomás,0(2),21,-,-,-,-,-,83.3,-,-,6.01
559,Iker Benito,0(2),35,-,-,-,-,-,81.8,-,-,6.01
560,Israel Domínguez,0(1),17,-,-,-,-,-,100,-,-,6.00
561,Juan Carlos,1,1,-,-,-,1,-,-,-,-,6.00
562,Rafael Bauza,2(3),182,-,-,1,-,0.6,85.2,0.6,-,6.00
563,Ismael Bekhoucha,0(2),8,-,-,1,-,-,50,-,-,6.00
564,Arnau Solà,0(1),12,-,-,-,-,-,50,-,-,5.99
565,Javier Martón,0(3),49,-,-,1,-,-,85.7,0.7,-,5.99
566,Marc Cardona,0(10),102,-,-,1,-,0.4,83.3,-,-,5.98
567,Adrián Niño,0(1),11,-,-,-,-,2,-,-,-,5.98
568,Alberto Marí,0(1),6,-,-,-,-,-,50,-,-,5.98
569,Luca de la Torre,0(1),4,-,-,-,-,-,80,-,-,5.98
570,Roger Hinojo,0(1),8,-,-,-,-,-,57.1,-,-,5.98
571,Joseph Aidoo,5(2),538,-,-,-,-,0.1,89.7,0.9,-,5.97
572,Aboubacar Bassinga,0(1),3,-,-,-,-,-,50,-,-,5.94
573,Darío Benavides,0(1),4,-,-,1,-,-,-,-,-,5.93
574,David Otorbi,0(1),13,-,-,-,-,-,50,-,-,5.92
575,Javi Martínez,0(1),5,-,-,-,-,-,100,-,-,5.92
576,Kenedy,0(2),7,-,-,-,-,0.5,50,-,-,5.91
577,Stole Dimitrievski,4,360,-,-,1,-,-,39.8,-,-,5.90
578,Jesús Vallejo,0(1),10,-,-,-,-,-,85.7,-,-,5.89
579,Thiago Ojeda,0(1),7,-,-,1,-,1,100,-,-,5.89
580,Unai García,0(1),3,-,-,-,-,-,-,-,-,5.89
581,Urko González,1,46,-,-,1,-,-,62.5,-,-,5.79
582,Fran González,1,90,-,-,-,-,-,94.1,-,-,5.78
583,Adu Ares,0(1),18,-,-,-,-,-,62.5,-,-,5.77
584,André Ferreira,4,360,-,-,-,-,-,73.4,-,-,5.64
585,Arnau Rafús,1,90,-,-,-,-,-,73.7,-,-,5.21
586,Valentín Pezzolesi,0(1),5,-,-,-,-,-,40,-,-,5.09
