,Name,Club,Age,Height,National,Positions
168,Chidera Ejuke,Sevilla,27 years old (02-01-1998),176cm,Nigeria,"Attacking Midfielder (Centre, Left, Right), Forward"
169,Dinko Horkas,Las Palmas,26 years old (10-03-1999),189cm,Croatia,Goalkeeper
170,Marko Dmitrovic,Leganes,33 years old (24-01-1992),194cm,Serbia,Goalkeeper
171,Sergio Carreira,Celta Vigo,24 years old (13-10-2000),170cm,Spain,Midfielder (Right)
172,Enzo Boyomo,Osasuna,23 years old (07-10-2001),180cm,Cameroon,Defender (Centre)
173,Johan Mojica,Mallorca,32 years old (21-08-1992),185cm,Colombia,"Defender (Left), Midfielder (Left)"
174,Viktor Tsygankov,Girona,27 years old (15-11-1997),178cm,Ukraine,"Midfielder (Centre, Left, Right)"
175,Christantus Uche,Getafe,21 years old (19-05-2003),190cm,Nigeria,"Attacking Midfielder (Centre), Forward"
176,Joan Jordán,Deportivo Alaves,30 years old (06-07-1994),184cm,Spain,Midfielder (Centre)
177,Carlos Romero,Espanyol,23 years old (29-10-2001),180cm,Spain,Defender (Left)
178,Umar Sadiq,Valencia,28 years old (02-02-1997),192cm,Nigeria,Forward
179,Yuri Berchiche,Athletic Club,35 years old (10-02-1990),181cm,Spain,"Defender (Left), Midfielder (Left)"
180,David Soria,Getafe,32 years old (04-04-1993),192cm,Spain,Goalkeeper
181,Domingos Duarte,Getafe,30 years old (10-03-1995),192cm,Portugal,Defender (Centre)
182,Sergio González,Leganes,33 years old (20-04-1992),188cm,Spain,Defender (Centre)
183,Beñat Prados,Athletic Club,24 years old (08-02-2001),180cm,Spain,Defensive Midfielder (C)
184,Arnau Martínez,Girona,22 years old (25-04-2003),182cm,Spain,"Defender (Right), Midfielder (Right)"
185,Antonio Rüdiger,Real Madrid,32 years old (03-03-1993),190cm,Germany,"Defender (Centre, Left, Right)"
186,Óscar De Marcos,Athletic Club,36 years old (14-04-1989),182cm,Spain,"Defender (Left, Right), Midfielder (Centre, Right)"
187,Samuel Lino,Atletico Madrid,25 years old (23-12-1999),170cm,Brazil,"Defender (Left), Midfielder (Centre, Left, Right), Forward"
188,Pathé Ciss,Rayo Vallecano,31 years old (16-03-1994),186cm,Senegal,Defensive Midfielder (C)
189,Kirian Rodríguez,Las Palmas,29 years old (05-03-1996),180cm,Spain,Midfielder (Centre)
