,Age,Height,Market_Value,Months_left,Sub_app,Mins,Goals,Assists,PS%,MotM,Rating,CrAss,CorAss,ThrbAss,FreAss,OthAss,BlkSh,BlkCr,BlkPs,YelC,RedC,TotClr,Fouled,Fouls,SYBGs,PAGs,OOBGs,TotInt,COF,UnTch,Dispo,SYBSh,Card,League_EPL,League_Laliga,League_Ligue1,League_SerieA,Foot_left,Foot_right,Position_Group_Tiền vệ,Position_Group_Tiền đạo,Continent_Grouped_Europe,Continent_Grouped_Other,Club_Group_Lower Tier,Club_Group_Mid-High Tier,Club_Group_Mid-Tier,Club_Group_Top Tier,Club_Group_Upper Tier
213,39.0,193.0,4.0,13.0,0.0,1800.0,0.0,0.0,85.3,0.0,6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
214,31.0,178.0,10.0,25.0,6.0,1473.0,0.0,0.0,85.6,0.0,6.41,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.5,0.1,0.0,1.2,0.4,0.3,0.0,0.0,0.0,0.4,0.0,0.9,0.5,0.1,2,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
215,27.0,187.0,10.0,37.0,1.0,1895.0,0.0,0.0,90.1,2.0,6.87,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.7,0.3,0.1,5.2,0.7,1.0,0.0,0.0,0.0,1.4,0.1,0.4,0.2,0.1,11,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
216,28.0,184.0,0.8,13.0,2.0,1313.0,0.0,0.0,79.9,0.0,6.33,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.6,0.2,0.0,3.4,0.7,0.8,0.0,0.0,0.0,0.3,0.0,0.2,0.0,0.0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
217,32.0,176.0,5.0,13.0,6.0,1549.0,3.0,2.0,81.1,0.0,6.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.3,0.6,0.6,0.1,0.0,0.0,0.3,0.0,1.1,1.1,0.1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
218,29.0,184.0,10.0,1.0,1.0,292.0,0.0,0.0,87.9,0.0,6.68,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.0,0.0,3.5,0.3,0.5,0.0,0.0,0.0,2.3,0.0,0.8,0.3,0.3,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
219,32.0,188.0,2.5,13.0,2.0,1517.0,5.0,1.0,73.8,1.0,6.73,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.2,0.0,0.5,1.5,0.5,0.0,0.2,0.0,0.1,0.2,1.7,0.8,0.0,4,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
220,29.0,188.0,3.0,25.0,4.0,2053.0,1.0,3.0,71.3,0.0,6.61,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.7,0.1,0.0,1.5,0.4,0.6,0.0,0.0,0.0,0.8,0.1,0.7,0.5,0.0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
221,23.0,191.0,2.5,25.0,3.0,1583.0,0.0,0.0,86.1,0.0,6.36,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.5,0.2,0.0,4.4,0.2,1.2,0.0,0.0,0.0,1.2,0.0,0.8,0.3,0.0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
222,30.0,182.0,1.2,25.0,7.0,1298.0,0.0,1.0,76.2,0.0,6.39,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.6,0.0,0.0,2.8,0.3,0.3,0.0,0.0,0.0,0.6,0.0,0.6,0.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
223,28.0,184.0,17.0,49.0,8.0,584.0,2.0,1.0,84.2,0.0,6.43,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.1,0.0,0.1,0.6,0.1,0.1,0.1,0.0,0.1,0.1,0.7,0.4,0.2,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
224,31.0,188.0,7.5,13.0,2.0,2190.0,7.0,7.0,70.0,3.0,6.89,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.8,0.6,0.2,0.0,0.2,0.0,0.3,0.5,0.9,0.3,0.0,3,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
225,29.0,193.0,3.5,13.0,13.0,980.0,0.0,1.0,88.5,1.0,6.46,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.0,0.0,2.6,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.1,0.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
226,25.0,191.0,5.5,25.0,5.0,1971.0,7.0,2.0,68.1,1.0,6.73,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.6,0.3,0.0,1.0,1.5,1.7,0.0,0.3,0.0,0.3,0.5,2.3,0.8,0.2,7,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
227,30.0,186.0,0.7,1.0,8.0,287.0,0.0,0.0,80.7,0.0,6.04,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.4,0.3,0.0,1.2,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.0,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
228,24.0,196.0,7.0,25.0,0.0,360.0,0.0,0.0,80.2,0.0,6.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
229,28.0,188.0,1.5,25.0,8.0,1078.0,5.0,1.0,72.0,0.0,6.64,0.1,0.1,0.0,0.0,0.0,0.2,0.2,0.7,0.1,0.0,1.3,0.7,0.6,0.1,0.1,0.1,0.4,0.1,1.9,0.6,0.1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
230,20.0,195.0,0.6,13.0,11.0,135.0,0.0,0.0,75.0,0.0,6.06,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5,0.1,0.0,0.4,0.1,0.3,0.0,0.0,0.0,0.1,0.0,0.7,0.5,0.1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
231,31.0,189.0,8.0,25.0,4.0,2290.0,2.0,0.0,83.7,0.0,6.71,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.4,0.2,0.0,4.3,0.8,0.4,0.0,0.1,0.0,0.5,0.0,0.2,0.0,0.2,5,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
232,26.0,185.0,12.0,25.0,6.0,1223.0,3.0,1.0,73.8,1.0,6.63,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.4,0.2,0.0,1.3,1.1,0.8,0.1,0.0,0.1,0.8,0.0,1.0,0.5,0.2,4,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
233,29.0,181.0,3.5,13.0,1.0,2300.0,5.0,1.0,74.9,1.0,6.76,0.0,0.0,0.0,0.0,0.0,0.3,0.1,1.0,0.4,0.0,1.2,1.1,1.5,0.0,0.2,0.0,0.6,0.0,1.4,0.7,0.0,10,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
234,19.0,194.0,7.0,25.0,7.0,453.0,0.0,0.0,68.3,0.0,6.26,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.2,0.0,0.3,0.8,0.5,0.0,0.0,0.0,0.0,0.1,1.1,0.9,0.1,2,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
235,26.0,189.0,2.0,13.0,8.0,670.0,1.0,0.0,79.5,0.0,6.43,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.6,0.1,0.0,2.9,0.3,0.7,0.0,0.1,0.0,0.7,0.0,0.6,0.2,0.1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
