,Name,Club,Age,Height,National,Positions
122,Sebastian Nanasi,Strasbourg,22 years old (16-05-2002),178cm,Sweden,"Attacking Midfielder (Centre, Left), Forward"
123,Malick Fofana,Lyon,20 years old (31-03-2005),169cm,Belgium,Midfielder (Left)
124,Lorenz Assignon,Rennes,24 years old (22-06-2000),179cm,France,"Defender (Right), Midfielder (Right)"
125,Brice Samba,Rennes,31 years old (25-04-1994),187cm,France,Goalkeeper
126,Brendan Chardonnet,Brest,30 years old (22-12-1994),181cm,France,Defender (Centre)
127,Abdoulaye Touré,Le Havre,31 years old (03-03-1994),188cm,France,Defensive Midfielder (C)
128,Gautier Lloris,Le Havre,29 years old (18-07-1995),191cm,France,Defender (Centre)
129,Clément Akpa,Auxerre,23 years old (24-11-2001),181cm,,Defender (Centre)
130,Bafodé Diakité,Lille,24 years old (06-01-2001),185cm,France,"Defender (Centre, Right)"
131,Thomas Meunier,Lille,33 years old (12-09-1991),190cm,Belgium,"Defender (Right), Midfielder (Right)"
132,Lucas Chevalier,Lille,23 years old (06-11-2001),189cm,France,Goalkeeper
133,Duje Caleta-Car,Lyon,28 years old (17-09-1996),192cm,Croatia,Defender (Centre)
134,Téji Savanier,Montpellier,33 years old (22-12-1991),172cm,France,Midfielder (Centre)
135,Jonathan Gradit,Lens,32 years old (24-11-1992),180cm,France,"Defender (Centre, Right)"
136,Abdoulaye Ndiaye,Brest,23 years old (10-04-2002),185cm,Senegal,Defender (Centre)
137,Christopher Opéri,Istanbul Basaksehir,28 years old (29-04-1997),183cm,France,"Defender (Left), Midfielder (Left)"
138,Lassine Sinayoko,Auxerre,25 years old (08-12-1999),186cm,Mali,"Attacking Midfielder (Left, Right), Forward"
139,Kévin Danois,Auxerre,20 years old (28-06-2004),183cm,France,Midfielder (Centre)
140,Cédric Kipré,Reims,28 years old (09-12-1996),193cm,France,Defender (Centre)
141,Amir Murillo,Marseille,29 years old (11-02-1996),184cm,Panama,"Defender (Centre, Left, Right), Midfielder (Right)"
142,Al Musrati,Monaco,29 years old (06-04-1996),189cm,Libya,Defensive Midfielder (C)
143,Arnaud Nordin,Mainz 05,26 years old (17-06-1998),170cm,France,"Attacking Midfielder (Centre, Left, Right), Forward"
144,Warren Zaïre-Emery,Paris Saint-Germain,19 years old (08-03-2006),178cm,France,"Defender (Right), Defensive Midfielder (C), Midfielder (Right)"
145,Ruben Aguilar,Lens,32 years old (26-04-1993),172cm,France,"Defender (Right), Midfielder (Right)"
146,Rasmus Nicolaisen,Toulouse,28 years old (16-03-1997),191cm,Denmark,Defender (Centre)
147,Issa Soumaré,Le Havre,24 years old (10-10-2000),182cm,Senegal,"Attacking Midfielder (Left), Forward"
148,Sinaly Diomandé,Auxerre,24 years old (09-04-2001),184cm,Ivory Coast,"Defender (Centre, Right)"
149,Valentin Rongier,Marseille,30 years old (07-12-1994),172cm,France,"Defender (Right), Midfielder (Centre)"
150,Romain Del Castillo,Brest,29 years old (29-03-1996),172cm,France,"Attacking Midfielder (Centre, Left, Right), Forward"
151,Mamadou Sarr,Strasbourg,19 years old (29-08-2005),194cm,France,Defender (Centre)
152,Habib Diarra,Strasbourg,21 years old (03-01-2004),179cm,France,"Midfielder (Centre, Left, Right)"
153,Geoffrey Kondogbia,Marseille,32 years old (15-02-1993),188cm,Central African Rep.,"Defender (Centre), Defensive Midfielder (C)"
154,Andrew Omobamidele,Strasbourg,22 years old (23-06-2002),188cm,Ireland,Defender (Centre)
