,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
27,Adrien Rabiot,24(2),2213,7,3,4,-,1.4,87.5,1.1,1,7.06
28,Moses Simon,28(1),2359,7,9,2,-,1.4,74.9,0.2,4,7.06
29,Lilian Brassier,11,966,1,-,-,-,1.2,86.4,2.3,-,7.06
30,Pierre-Emile Højbjerg,27,2396,2,3,5,-,1.1,92.6,0.8,1,7.06
31,Ludovic Ajorque,26(2),2253,12,2,5,-,1.6,69.2,4.2,2,7.06
32,Edon Zhegrova,12,986,4,1,1,-,1.9,86,0.3,1,7.05
33,Maghnes Akliouche,25(4),2229,4,8,2,-,1.9,85.1,0.1,3,7.04
34,Valentín Barco,11,913,-,2,2,-,0.8,84.4,0.6,-,7.03
35,Kevin Danso,12,1080,-,-,3,-,0.8,86,3.4,2,7.02
36,Gaëtan Laborde,18(7),1628,9,4,1,-,2.8,73.5,1.7,2,7.02
37,Luis Henrique,28(3),2505,7,6,-,-,0.9,84.6,-,3,7.02
38,Emmanuel Agbadou,14,1260,-,-,3,-,1.1,88.1,1.3,3,7.01
39,Lamine Camara,23(4),1899,2,6,8,1,1,87.1,0.9,2,7.01
40,Yehvann Diouf,31,2790,-,-,1,-,-,66.1,0.3,1,7.01
41,Djaoui Cissé,11,898,1,-,4,-,1.2,88.5,0.4,-,7.01
42,Hamed Traoré,24,1967,10,2,5,-,2.7,77.8,0.5,3,7.00
43,Jonathan David,25(4),2306,16,4,4,-,2.2,83,0.6,5,7.00
44,Hicham Boudaoui,24(2),2182,2,2,9,-,1.5,84.5,0.6,-,6.99
45,Przemyslaw Frankowski,16(2),1389,4,2,3,-,0.9,83.4,0.4,1,6.99
46,Vitinha,19(9),1946,5,1,1,-,1,94,-,1,6.99
47,Denis Zakaria,22(1),1965,5,3,5,-,1.3,90.9,0.7,1,6.99
48,Vanderson,23(3),1991,1,3,4,1,0.8,79.6,0.8,2,6.99
49,Marco Asensio,8(4),620,2,4,-,-,2.2,90.2,0.1,-,6.98
50,Emanuel Emegha,26,2218,14,3,6,-,2.3,80.9,1,2,6.98
51,Thilo Kehrer,26,2295,4,-,1,-,0.5,90.1,2,1,6.98
52,Junya Ito,30(1),2588,4,3,1,-,1,75.8,0.5,4,6.98
53,Nathan Zézé,15,1315,-,-,4,-,0.3,86.1,1.8,1,6.96
54,Nicolás Tagliafico,19(2),1635,3,1,6,-,1,88.4,1.1,1,6.95
55,Donovan Léon,29,2610,-,2,4,-,-,51.4,0.3,2,6.95
56,Karl-Johan Johnsson,3,270,-,-,-,-,-,79.6,0.3,-,6.93
57,Nuno Mendes,18(5),1586,1,2,3,-,0.8,88.4,0.7,1,6.93
58,Guéla Doué,27(2),2472,1,1,6,-,0.6,86.6,1.8,1,6.93
59,Hákon Haraldsson,18(4),1539,5,3,3,-,1.5,82.5,0.1,2,6.93
60,Charlie Cresswell,27(2),2413,3,1,4,-,1.1,83,3.3,1,6.92
61,Youssouf Ndayishimiye,22(1),1934,3,-,5,-,0.5,89.9,1.6,-,6.92
62,Cristian Cásseres,28(1),2435,1,3,9,-,0.6,81.7,0.7,2,6.91
63,Mahdi Camara,28(3),2402,5,2,5,-,1.5,87.8,0.6,2,6.91
64,Patrik Carlgren,4(1),416,-,-,-,-,-,60.6,-,1,6.91
65,Marquinhos,18(3),1651,1,-,3,-,0.3,94.9,1.5,-,6.91
66,Wilfried Singo,20(4),1823,1,2,4,-,0.7,86.5,2,1,6.91
67,Marcin Bulka,31,2790,-,-,-,-,-,77.5,0.4,2,6.90
68,Gideon Mensah,24(2),2094,-,1,2,-,0.2,82.2,0.6,-,6.90
69,Anthony Rouault,8,703,-,-,-,-,0.8,90.4,2.9,-,6.90
70,Tiago Santos,4(3),405,-,-,1,-,1.1,83.1,1,-,6.90
71,Fabián Ruiz,20(8),1834,4,4,1,-,1.5,91.4,0.1,2,6.90
72,Aleksandr Golovin,13(6),1155,3,-,1,-,1.3,79.2,0.5,1,6.90
73,Melvin Bard,19(2),1672,2,-,2,2,0.9,80.9,1,1,6.89
74,Juma Bah,5(2),417,-,-,2,-,0.3,93.5,2.1,-,6.89
75,Abdukodir Khusanov,11(2),976,-,-,2,1,0.5,89,2.2,-,6.89
76,Willian Pacho,22(5),2041,-,1,2,-,0.1,94.9,1,-,6.88
77,Mathew Ryan,11,990,-,-,-,-,-,67.5,0.4,2,6.87
78,Yahia Fofana,31,2790,-,-,4,-,-,63.2,0.3,1,6.87
79,Zuriko Davitashvili,29(1),2524,8,7,2,-,2.1,82.9,0.5,2,6.86
80,Gabriel Suazo,23(6),2141,-,6,-,-,0.2,82.6,0.5,1,6.86
81,Azor Matusiwa,21(5),1905,1,2,3,-,0.4,87.1,1.2,1,6.86
82,Baptiste Santamaría,10(1),850,-,-,1,-,1.5,84.6,1.9,1,6.86
83,Lucas Perri,30,2700,-,-,1,-,-,73,0.5,2,6.86
84,Alexsandro Ribeiro,27,2430,1,1,9,-,0.6,91.2,2.1,2,6.85
