,BlkSh,BlkCr,BlkPs
501,0.3,0.1,0.3
502,-,-,-
503,-,-,-
504,-,-,-
505,-,-,-
506,-,-,-
507,-,-,-
508,-,-,-
509,-,-,-
510,-,-,-
511,-,-,-
512,-,-,-
513,-,-,-
514,-,-,0.5
515,-,-,0.2
516,-,-,0.5
517,-,-,0.2
518,-,-,-
519,-,-,-
520,-,-,-
521,-,0.3,-
522,-,-,-
523,-,-,-
524,-,-,-
525,-,-,0.5
526,-,-,-
527,-,-,-
528,-,-,-
529,0.2,0.6,0.8
530,-,-,0.5
531,0.8,-,0.2
532,-,-,0.3
533,-,-,-
534,-,-,1
535,-,-,-
536,-,-,-
537,-,1,1
538,-,-,-
539,-,-,-
540,0.5,-,-
541,-,-,-
542,-,-,-
