,TotKPs,LKPs,SKPs
487,0.3,-,0.3
488,-,-,-
489,-,-,-
490,-,-,-
491,0.3,-,0.3
492,-,-,-
493,-,-,-
494,0.2,-,0.2
495,0.2,-,0.2
496,0.5,-,0.5
497,-,-,-
498,0.2,-,0.2
499,-,-,-
500,-,-,-
501,0.4,-,0.4
502,-,-,-
503,-,-,-
504,-,-,-
505,-,-,-
506,-,-,-
507,-,-,-
508,-,-,-
509,-,-,-
510,0.5,-,0.5
511,0.1,-,0.1
512,-,-,-
513,-,-,-
514,-,-,-
515,0.2,-,0.2
516,-,-,-
517,-,-,-
518,-,-,-
519,-,-,-
520,-,-,-
521,-,-,-
522,-,-,-
523,-,-,-
524,-,-,-
525,-,-,-
526,-,-,-
527,-,-,-
528,-,-,-
529,-,-,-
530,-,-,-
531,-,-,-
532,-,-,-
533,0.5,-,0.5
534,-,-,-
535,-,-,-
536,-,-,-
537,-,-,-
538,-,-,-
539,-,-,-
540,-,-,-
541,-,-,-
542,-,-,-
