Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Fraser Forster,7,630,-,-,-,-,-,82.6,0.1,-,6.52
Darwin Núñez,8(17),1005,5,2,8,-,1.2,71,0.6,-,6.52
João Félix,3(9),364,1,1,2,-,1.7,86.2,0.3,-,6.52
Vitaly Janelt,27(4),2264,1,3,3,-,0.5,84.5,0.6,-,6.52
Alphonse Areola,20(1),1810,-,-,-,-,-,66.1,0.1,-,6.51
Abdoulaye Doucouré,27(1),2257,3,1,3,1,0.9,82.4,1,-,6.51
Jack Hinshelwood,18(2),1511,2,-,4,-,0.6,85.3,0.9,1,6.51
Calvin Bassey,29(1),2624,1,-,5,-,0.4,89.8,1.3,-,6.51
Kobbie Mainoo,15(4),1299,-,-,5,-,0.5,87.1,0.8,1,6.51
Alejandro Garnacho,20(11),1875,5,1,2,-,2.3,83.6,0.1,1,6.50
Jean-Ricner Bellegarde,18(12),1489,2,6,3,-,0.7,83.7,0.3,1,6.50
Paul Onuachu,10(12),911,4,1,3,-,1.4,61.8,3.8,1,6.50
Lucas Bergvall,10(15),1107,-,1,3,-,0.5,89.4,0.3,-,6.50
Nathan Aké,8(2),683,-,-,-,-,0.3,94.4,1.3,-,6.50
John McGinn,23(5),1898,1,3,7,-,0.9,87.6,0.5,-,6.49
Omari Hutchinson,26(1),2234,3,2,5,-,1.3,83.8,0.3,1,6.49
Mathys Tel,5(2),402,2,-,-,-,1.9,81.4,0.1,-,6.49
Niclas Füllkrug,3(9),461,3,1,2,-,1,65.1,2.1,-,6.49
Kristoffer Ajer,17(2),1373,-,-,4,-,0.4,77.5,1.5,-,6.48
Donyell Malen,2(7),257,3,-,-,-,1.1,79.2,0.1,-,6.48
Tyler Dibling,18(10),1669,2,-,6,-,1,83.9,0.3,1,6.48
Benoît Badiashile,3(2),334,-,-,-,-,-,90.1,1.6,-,6.48
Will Hughes,20(7),1764,-,3,11,-,0.7,81.7,0.6,-,6.48
Alex Scott,5(10),563,-,-,1,-,0.8,86.2,0.3,-,6.48
Bilal El Khannouss,22(5),1758,2,2,4,-,0.8,80.1,0.7,1,6.48
Stephy Mavididi,15(14),1533,4,1,2,-,0.9,82.6,0.3,1,6.48
Tariq Lamptey,9(4),766,2,2,-,-,0.5,88.6,0.1,-,6.47
Rico Lewis,20(6),1810,1,2,3,1,0.4,91.8,0.2,-,6.47
Matt O'Riley,7(8),612,1,1,1,-,1.1,85.8,0.3,-,6.47
Jakub Stolarczyk,6,540,-,-,1,-,-,64.7,0.5,-,6.47
Jaden Philogene,5(5),475,2,-,1,-,1.2,78.4,0.5,1,6.47
Jesper Lindstrøm,15(10),1242,-,1,2,-,1.1,78.7,0.2,1,6.47
James Hill,6(4),448,-,1,1,-,0.6,71.7,1.5,-,6.47
Luis Sinisterra,1(11),230,1,1,-,-,1.1,83.5,0.3,-,6.47
Jack Grealish,7(12),715,1,1,3,-,0.8,91,0.1,-,6.46
Kyle Walker-Peters,30,2652,-,2,5,-,0.6,90.8,0.3,-,6.46
Jacob Ramsey,17(7),1417,1,3,1,-,0.7,87.1,0.3,-,6.46
Takehiro Tomiyasu,0(1),6,-,-,-,-,1,75,-,-,6.46
Malo Gusto,19(8),1775,-,1,4,-,0.8,88.9,0.3,-,6.46
