,TotPs,AccLB,InAccLB,AccSP,InAccSP
355,11.6,0.2,0.3,9.1,2.1
356,1,-,-,-,1
357,11,1.2,0.4,6.6,2.9
358,33.2,6.8,12,14,0.3
359,9.5,0.5,-,6.5,2.5
360,7.2,-,-,6.4,0.8
361,18.8,0.8,2.1,13.9,2.2
362,22.9,0.2,1.2,19.3,2.2
363,12,-,-,10.5,1.5
364,35,0.5,0.2,29.3,5
365,24.7,1.1,1.1,19.8,2.8
366,19.6,1.4,0.3,15.7,2.2
367,45.6,0.9,0.8,39.6,4.3
368,10.8,0.2,0.3,8.6,1.7
369,52.3,1.6,3.9,42.9,3.9
370,10.6,0.5,1.1,7.5,1.5
371,11.7,0.8,1.5,8.3,1
372,38.8,0.8,1.6,31.9,4.5
373,55.8,2.2,1.5,49.5,2.6
374,28.3,1.7,5,21.7,-
375,9.7,0.2,0.3,7.5,1.7
376,26.3,0.4,0.6,22.1,3.2
377,7.8,-,0.4,6.8,0.6
378,7.4,-,-,6,1.4
379,9.5,0.2,1.5,6,1.8
380,37.4,1.1,0.9,33.5,1.8
381,6.9,-,-,5.8,1.2
382,9.5,0.5,0.3,6.5,2.2
383,38.3,1.3,1,32.3,3.7
384,8.7,-,-,6.7,2
385,12.7,0.2,0.2,8.9,3.4
386,17,1,0.7,12.7,2.7
387,20.5,0.7,0.3,17.1,2.4
388,9.5,0.6,0.5,6.7,1.7
389,36,1.9,2.2,29.6,2.3
390,31.3,1.3,1.1,26.6,2.3
391,42.2,1,0.8,36,4.5
392,31.6,0.4,0.8,27.5,3
393,8.3,0.1,0.1,7.3,0.8
394,7.8,-,0.2,6.2,1.4
395,5.9,0.1,0.1,4.1,1.5
396,11,0.1,0.3,8.1,2.5
397,29.9,0.6,0.9,25,3.3
398,20.5,0.6,0.5,16.1,3.2
399,10.8,0.1,0.1,8.7,1.9
400,4.8,0.2,0.1,3.3,1.2
401,1.7,-,0.3,1,0.3
402,19.8,0.6,0.7,16.9,1.7
