,Name,Club,Age,Height,National,Positions,Total_Aerial,Won_Aerial,Lost_Aerial,Cross_Assists,Corner_Assists,Throughball_Assists,Freekick_Assists,Throwin_Assists,Other_Assists,Total_Assists,ShotsBlocked_Blocks,CrossesBlocked_Blocks,PassesBlocked_Blocks,Yellow_Cards,Red_Cards,Total_Clearances,Unsuccessful_Dribbles,Successful_Dribbles,Total Dribbles_Dribbles,Fouled_Fouls,Fouls_Fouls,Total_Goals,SixYardBox_Goals,PenaltyArea_Goals,OutOfBox_Goals,Total_Interception,Total_Key passes,Long_Key passes,Short_Key passes,CaughtOffside_Offsides,Total_Passes,AccLB_Passes,InAccLB_Passes,AccSP_Passes,InAccSP_Passes,UnsuccessfulTouches_Possession loss,Dispossessed_Possession loss,Total_Saves,SixYardBox_Saves,PenaltyArea_Saves,OutOfBox_Saves,Total_Shots,OutOfBox_Shots,SixYardBox_Shots,PenaltyArea_Shots,TotalTackles_Tackles,DribbledPast_Tackles,TotalAttemptedTackles_Tackles,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
32,Aaron Wan-Bissaka,West Ham,27 years old (26-11-1997),183cm,England,"Defender (Left, Right), Midfielder (Right)",1.6,0.7,0.9,-,-,-,-,-,-,0.1,0.3,0.4,0.7,-,-,3.3,1.4,1.6,3.1,0.7,0.7,0.1,-,0.1,-,1.8,0.9,0.1,0.7,0.1,40.8,0.9,1.5,32.6,5.7,0.9,0.6,-,-,-,-,0.4,0.1,-,0.3,2,0.2,2.2,Aaron Wan-Bissaka,30(1),2705,2,2,1,-,0.4,82.3,0.7,3,7.02
33,Chris Wood,Nottingham Forest,33 years old (07-12-1991),191cm,New Zealand,Forward,6.6,2.6,4,-,-,-,-,-,0.1,0.1,0.2,-,0.1,-,-,0.6,0.2,0.1,0.3,0.7,0.7,0.6,0.1,0.4,-,0.1,0.5,0.1,0.5,0.7,13.1,0.3,0.2,8.5,4.1,2.1,0.7,-,-,-,-,1.8,0.4,0.3,1.1,0.1,0.2,0.4,Chris Wood,29(1),2452,18,3,1,-,1.8,67.2,2.6,2,7.02
34,Morgan Gibbs-White,Nottingham Forest,25 years old (27-01-2000),171cm,England,"Attacking Midfielder (Centre, Left, Right), Forward",2.8,1.3,1.5,0.1,-,-,-,-,0.1,0.3,0.1,-,0.4,0.2,-,0.8,1.5,1,2.5,1.2,1.1,0.2,0.1,0.1,-,0.6,1.6,0.2,1.4,0.3,35.8,1.6,0.8,27.4,6,2.2,1.3,-,-,-,-,1.8,0.7,0.4,0.7,1.3,0.5,1.8,Morgan Gibbs-White,28,2306,5,7,6,1,1.8,80.8,1.3,3,7.01
35,Bruno Guimarães,Newcastle,27 years old (16-11-1997),182cm,Brazil,Defensive Midfielder (C),1,0.5,0.4,-,-,-,-,-,0.1,0.2,0.3,0.1,0.7,0.2,-,1,1.1,0.9,2,3,1.5,0.1,0.1,0.1,-,0.8,1.3,0.1,1.2,0.1,45.4,2.2,2.1,35.5,5.6,1.5,2.3,-,-,-,-,1.1,0.4,0.2,0.4,2.1,1,3.1,Bruno Guimarães,32,2746,4,6,5,-,1.1,83.1,0.5,-,7.0
36,Murillo,Nottingham Forest,22 years old (04-07-2002),180cm,Brazil,Defender (Centre),1.7,1.1,0.6,-,-,-,-,-,-,-,1.4,0.2,0.7,0.2,-,6.5,0.2,0.8,1,0.1,0.7,-,-,-,-,0.9,0.4,0.1,0.3,-,38.7,3.3,4.6,27.3,3.5,0.6,0.3,-,-,-,-,0.6,0.4,0.1,0.2,1.4,0.6,2,Murillo,31,2750,1,-,5,-,0.6,78.9,1.1,3,6.99
37,Dwight McNeil,Everton,25 years old (22-11-1999),183cm,England,"Midfielder (Centre, Left, Right)",1.1,0.2,0.9,0.1,-,0.1,0.1,-,0.1,0.3,-,-,0.5,0.1,-,0.1,1.1,1.3,2.5,0.9,0.4,0.2,0.1,-,0.1,0.3,2.2,0.9,1.3,0.1,27.7,1,1.3,21.6,3.9,1.5,1.6,-,-,-,-,1.5,0.9,0.1,0.6,0.7,0.6,1.3,Dwight McNeil,13(2),1147,3,4,1,-,1.5,81.5,0.2,-,6.99
38,Iliman Ndiaye,Everton,25 years old (06-03-2000),180cm,Senegal,"Attacking Midfielder (Centre, Left, Right), Forward",0.9,0.2,0.6,-,-,-,-,-,-,-,0.1,0.3,0.7,0.1,-,0.5,2.6,2.2,4.8,1.6,0.8,0.3,-,0.3,-,0.6,0.6,-,0.6,0.2,21,0.5,0.2,17,3.3,1.7,1.4,-,-,-,-,1.1,0.3,-,0.9,1.7,0.9,2.6,Iliman Ndiaye,24(3),2046,7,-,3,-,1.1,83.5,0.2,1,6.99
39,Moisés Caicedo,Chelsea,23 years old (02-11-2001),178cm,Ecuador,"Defender (Right), Defensive Midfielder (C)",1.5,0.9,0.6,-,-,0.1,-,-,-,0.1,0.3,0.2,1,0.3,-,1.2,0.9,0.6,1.5,1.6,1.8,-,-,-,-,1.3,0.8,0.2,0.7,-,57.8,2.6,1.5,49.6,4.1,1,0.7,-,-,-,-,0.5,0.4,-,0.1,2.9,0.9,3.8,Moisés Caicedo,32,2816,1,2,9,-,0.5,90.4,0.9,-,6.99
40,Josko Gvardiol,Manchester City,23 years old (23-01-2002),185cm,Croatia,"Defender (Centre, Left)",2.4,1.5,0.9,-,-,-,-,-,-,-,0.5,0.4,0.6,-,-,3,0.5,0.7,1.3,0.6,0.4,0.2,-,0.1,-,1.1,0.8,-,0.8,0.1,68.9,1.6,1.4,61.6,4.4,0.8,0.5,-,-,-,-,1.1,0.2,0.2,0.7,1.6,0.5,2.1,Josko Gvardiol,30(1),2740,5,-,1,-,1.1,91.7,1.5,2,6.99
41,Anthony Gordon,Newcastle,24 years old (24-02-2001),183cm,England,"Attacking Midfielder (Centre, Left, Right), Forward",0.4,0.2,0.3,0.1,-,-,-,-,0.1,0.2,0.1,0.1,0.8,0.1,-,0.2,2.1,1.3,3.4,2.2,0.7,0.2,-,0.2,-,0.2,1.8,0.4,1.4,0.3,25.5,0.6,0.6,19.7,4.5,1,1.3,-,-,-,-,2,0.6,0.2,1.2,1.1,0.8,1.9,Anthony Gordon,25(3),2164,6,5,2,-,2,79.9,0.2,1,6.99
