Name,Club,Age,Height,National,Positions
Phil Foden,Manchester City,24 years old (28-05-2000),171cm,England,"Attacking Midfielder (Centre, Left, Right), Forward"
Milos Kerkez,Bournemouth,21 years old (07-11-2003),180cm,Hungary,"Defender (Left), Midfielder (Left)"
Jarrad Branthwaite,Everton,22 years old (27-06-2002),195cm,England,Defender (Centre)
Nico O'Reilly,Manchester City,20 years old (21-03-2005),188cm,England,Defender (Left)
Tyrone Mings,Aston Villa,32 years old (13-03-1993),196cm,England,"Defender (Centre, Left)"
Marshall Munetsi,Wolves,28 years old (22-06-1996),188cm,Zimbabwe,"Defender (Centre), Midfielder (Centre)"
Kevin Schade,Brentford,23 years old (27-11-2001),183cm,Germany,"Attacking Midfielder (Left, Right), Forward"
Bernardo Silva,Manchester City,30 years old (10-08-1994),173cm,Portugal,"Midfielder (Centre, Left, Right), Forward"
Gabriel Martinelli,Arsenal,23 years old (18-06-2001),178cm,Brazil,"Attacking Midfielder (Left, Right), Forward"
Nick Pope,Newcastle,32 years old (19-04-1992),191cm,England,Goalkeeper
Raúl Jiménez,Fulham,33 years old (05-05-1991),190cm,Mexico,Forward
David Raya,Arsenal,29 years old (15-09-1995),183cm,Spain,Goalkeeper
Ben Davies,Tottenham,31 years old (24-04-1993),181cm,Wales,"Defender (Centre, Left), Midfielder (Left)"
Leandro Trossard,Arsenal,30 years old (04-12-1994),172cm,Belgium,"Midfielder (Centre, Left, Right), Forward"
Jurriën Timber,Arsenal,23 years old (17-06-2001),179cm,Netherlands,"Defender (Centre, Left, Right)"
Anthony Elanga,Nottingham Forest,22 years old (27-04-2002),178cm,Sweden,"Attacking Midfielder (Left, Right), Forward"
Alisson Becker,Liverpool,32 years old (02-10-1992),193cm,Brazil,Goalkeeper
Tyler Adams,Bournemouth,26 years old (14-02-1999),173cm,USA,"Defender (Right), Midfielder (Centre, Right)"
Sandro Tonali,Newcastle,24 years old (08-05-2000),181cm,Italy,Defensive Midfielder (C)
