,TotTkl,DribPast,TotAttTkl
243,0.9,1.1,2
244,-,-,-
245,1,0.6,1.6
246,1.9,0.7,2.5
247,1.4,0.4,1.8
248,2,0.2,2.2
249,1.4,0.4,1.8
250,0.6,0.2,0.8
251,1,-,1
252,2.4,0.9,3.2
253,0.8,0.3,1.1
254,0.6,0.1,0.7
255,1.6,0.7,2.3
256,1.5,0.6,2.1
257,0.4,0.1,0.5
258,3,1.4,4.5
259,0.7,0.5,1.2
260,1.7,1.6,3.3
261,-,-,-
262,-,-,-
263,-,0.1,0.1
264,0.7,0.4,1.1
265,0.7,0.3,1
266,1.2,0.5,1.7
267,0.1,-,0.1
268,1.5,0.8,2.3
269,1.2,0.7,1.8
270,1.6,0.2,1.8
271,1.9,0.7,2.6
272,0.9,0.6,1.5
273,1.1,0.2,1.3
274,0.3,0.2,0.5
275,1.4,0.5,2
276,0.9,0.2,1.1
277,1,0.4,1.4
278,1.1,1.2,2.3
279,0.4,0.7,1.1
280,0.2,0.1,0.3
281,1.2,0.6,1.8
282,0.7,0.3,1
283,1.2,0.4,1.6
284,1.8,0.2,2
285,2.3,1.2,3.4
286,1.6,1,2.6
287,1.6,0.3,1.9
288,1,0.9,2
289,1.1,1.2,2.2
290,1.1,0.3,1.4
291,1,0.5,1.5
292,0.3,0.2,0.5
293,1.4,0.7,2.1
294,1.8,1.4,3.2
295,1.5,0.8,2.3
296,0.6,0.3,0.9
297,0.5,0.2,0.6
298,1.4,0.6,2
299,1.2,0.3,1.5
300,-,-,-
301,1.6,0.8,2.4
302,1.2,-,1.2
303,0.9,0.7,1.6
304,-,0.1,0.1
305,-,-,-
306,-,0.1,0.1
307,2.3,0.8,3
308,1,0.5,1.5
309,0.7,-,0.7
310,0.8,0.2,1
311,1.2,0.8,2
312,0.4,0.2,0.5
313,1.3,0.3,1.7
314,-,0.1,0.1
315,1.1,0.3,1.4
316,0.8,0.6,1.4
317,1.7,1.1,2.8
318,0.8,0.3,1
319,1.6,0.2,1.8
320,1.5,0.6,2.2
321,1.8,0.6,2.5
322,0.1,-,0.1
323,5,1,6
324,0.3,0.3,0.6
