,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,SYBSh,PASh,OOBSh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD
56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,0.3,-
57,0.8,-,-,-,-,0.8,0.5,0.1,0.3,2.1,1,1.2,1.2,0.9,1.1,0.7,0.4
58,0.6,-,-,-,-,0.6,0.1,0.1,0.4,1.2,0.4,0.8,1.3,0.3,2.9,1.8,1.1
59,1.5,0.2,-,0.2,-,1.5,0.5,-,0.9,1.9,0.8,1.1,1.8,0.5,0.6,0.1,0.5
60,1.1,0.1,0.1,-,-,1.1,-,0.2,0.9,0.3,0.2,0.1,0.7,0.1,4.9,3.3,1.6
61,0.5,0.1,-,0.1,-,0.5,0.1,-,0.3,0.3,0.1,0.3,0.6,0.3,2.8,1.6,1.2
62,0.6,-,-,-,-,0.6,0.3,-,0.2,1.1,0.4,0.7,1.2,0.3,1.2,0.7,0.6
63,1.5,0.2,-,0.1,0.1,1.5,0.5,0.1,0.8,1.9,1.1,0.8,1.1,0.9,1.6,0.6,1
64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2,-,0.2
65,0.3,-,-,-,-,0.3,-,0.1,0.1,0.2,-,0.1,0.1,-,2.3,1.5,0.9
66,0.7,-,-,-,-,0.7,0.1,0.2,0.4,0.5,0.2,0.3,0.5,0.3,3.2,2,1.1
67,-,-,-,-,-,-,-,-,-,-,-,-,0.1,-,0.4,0.4,-
68,0.2,-,-,-,-,0.2,0.1,-,0.1,2,1,1.1,1.4,1.2,1.3,0.6,0.7
69,0.8,-,-,-,-,0.8,-,0.1,0.6,-,-,-,0.1,0.3,4.3,2.9,1.4
70,1.1,-,-,-,-,1.1,0.7,-,0.4,3,1.3,1.7,1.9,0.4,1.6,1,0.6
71,1.5,0.1,-,0.1,-,1.5,0.7,0.1,0.7,0.7,0.2,0.5,0.8,0.6,0.4,0.1,0.3
72,1.3,0.2,-,0.1,0.1,1.3,0.7,-,0.5,1.9,0.8,1.2,1.4,0.9,1.2,0.5,0.7
73,0.9,0.1,-,0.1,-,0.9,0.2,-,0.7,2.1,1.2,0.9,1.2,0.5,1.6,1,0.6
74,0.3,-,-,-,-,0.3,-,-,0.3,0.4,-,0.4,0.3,0.3,3,2.1,0.9
75,0.5,-,-,-,-,0.5,0.3,-,0.2,0.1,-,0.1,0.4,0.1,3.1,2.2,0.9
76,0.1,-,-,-,-,0.1,-,-,0.1,0.2,0.2,-,0.6,0.1,2,1,1
77,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.4,0.4,-
78,-,-,-,-,-,-,-,-,-,0.1,-,0.1,-,-,0.4,0.3,0.1
79,2.1,0.3,-,0.2,0.1,2.1,1,-,1.1,3.9,2.3,1.6,2.2,1.7,1.9,0.5,1.4
80,0.2,-,-,-,-,0.2,0.1,-,0.2,1.3,0.5,0.9,1.2,0.5,1.1,0.5,0.7
81,0.4,-,-,-,-,0.4,0.2,-,0.2,0.7,0.2,0.6,0.8,0.6,1.8,1.2,0.6
82,1.5,-,-,-,-,1.5,0.9,-,0.5,1,0.3,0.7,1.2,0.6,2.9,1.9,1
83,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.5,0.5,-
84,0.6,-,-,-,-,0.6,-,0.1,0.5,0.3,0.1,0.2,0.7,0.3,2.8,2.1,0.7
85,1.2,0.2,-,0.1,-,1.2,0.5,0.1,0.7,0.8,0.3,0.5,0.6,0.5,2.1,0.8,1.2
86,0.3,-,-,-,-,0.3,0.1,-,0.2,1.6,0.8,0.8,0.5,0.9,2.1,0.9,1.2
87,1.2,0.2,-,0.1,-,1.2,0.4,0.1,0.7,1.1,0.7,0.5,1.2,0.6,1.5,0.9,0.7
88,1.9,0.5,0.2,0.3,-,1.9,0.2,0.3,1.4,1,0.6,0.4,1.8,0.6,1.7,0.6,1.1
89,1.3,0.7,-,0.7,-,1.3,0.7,-,0.7,0.7,0.7,-,1.3,0.3,0.3,0.3,-
90,0.9,-,-,-,-,0.9,0.4,-,0.5,3.4,1.9,1.5,1.3,1.1,0.9,0.4,0.5
91,1.3,0.1,-,-,-,1.3,0.3,0.2,0.7,1.8,1.1,0.8,2,1.3,2,0.6,1.4
92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2,0.2,-
93,2,0.2,-,0.2,-,2,1.1,-,0.9,3,1.9,1.1,1.9,1.1,1.2,0.5,0.7
94,1.7,0.2,0.2,0.1,-,1.7,0.2,0.3,1.2,0.6,0.3,0.3,1.4,0.3,4.8,2.2,2.6
95,0.3,-,-,-,-,0.3,0.2,-,0.1,1.1,0.4,0.7,0.6,1.1,0.6,0.2,0.4
96,0.1,-,-,-,-,0.1,0.1,-,-,0.6,0.1,0.5,0.9,0.3,1.1,0.4,0.7
97,0.4,-,-,-,-,0.4,0.3,-,0.1,0.4,-,0.4,0.5,0.3,1.8,1.2,0.6
98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,0.4,-
