,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,SYBSh,PASh,OOBSh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD
150,0.8,-,-,-,-,0.8,0.4,0.1,0.3,0.7,0.3,0.5,0.7,0.5,1,0.5,0.5
151,0.6,-,-,-,-,0.6,-,0.1,0.5,0.2,0.2,-,0.3,0.2,2.6,1.6,1
152,1,0.1,-,-,0.1,1,0.6,-,0.3,0.8,0.5,0.3,0.6,0.5,1.2,0.5,0.7
153,2.1,0.4,0.2,0.2,-,2.1,0.4,0.3,1.4,0.6,0.4,0.2,2.5,1,3.2,1.3,1.9
154,1.5,0.1,-,0.1,-,1.5,0.5,-,1,2.9,1.6,1.3,1.2,0.9,1.2,0.4,0.8
155,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.1,-
156,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
157,0.3,-,-,-,-,0.3,0.1,0.1,0.2,0.1,0.1,-,0.2,-,3.2,1.7,1.4
158,0.8,0.3,-,0.3,-,0.8,-,-,0.8,1.3,0.8,0.5,0.8,0.5,1.5,0.2,1.3
159,0.3,-,-,-,-,0.3,0.2,-,0.1,1,0.6,0.4,1.3,0.4,1.9,0.8,1.1
160,1.8,0.3,0.1,0.1,0.1,1.8,0.4,0.1,1.3,1.3,0.8,0.5,2.1,1.9,3.3,1.1,2.1
161,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.2,0.2,-
162,0.5,-,-,-,-,0.5,0.3,-,0.2,0.4,0.2,0.2,0.9,0.4,1.6,0.8,0.8
163,0.8,-,-,-,-,0.8,0.8,-,0.1,1.5,0.7,0.8,1.8,0.8,1,0.6,0.4
164,0.4,0.1,-,0.1,-,0.4,-,-,0.4,0.1,-,0.1,0.3,0.1,2.5,1.2,1.4
165,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,0.4,-
166,1,0.3,0.1,0.2,-,1,0.1,0.1,0.8,1.2,0.7,0.5,1,0.9,2.3,0.6,1.6
167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,0.4,-
168,0.8,0.2,0.1,0.1,-,0.8,0.5,0.1,0.2,1.2,0.7,0.5,0.8,0.6,1.5,0.7,0.8
169,0.5,0.1,-,-,0.1,0.5,0.3,-,0.1,1.5,0.7,0.8,1.4,0.6,0.6,0.2,0.3
170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,0.3,-
171,0.5,-,-,-,-,0.5,0.4,-,0.2,0.6,0.6,-,0.6,0.2,1.5,0.7,0.8
172,0.8,0.1,-,-,-,0.8,0.7,-,0.2,1.4,1.1,0.3,1.2,0.1,1,0.5,0.5
173,0.7,0.1,-,-,-,0.7,0.1,0.1,0.5,1.1,0.4,0.6,1.3,0.9,2.1,1.1,1
174,0.5,0.1,-,-,0.1,0.5,0.4,-,0.2,0.4,0.3,0.1,0.5,0.3,0.4,0.2,0.2
175,0.3,-,-,-,-,0.3,-,-,0.3,0.2,-,0.1,0.3,0.1,3.5,2.2,1.3
176,0.8,0.1,-,0.1,-,0.8,0.5,-,0.3,1.4,0.8,0.5,0.9,0.5,1.8,0.8,1
177,1.9,0.3,0.1,0.3,-,1.9,0.3,0.1,1.5,0.7,0.4,0.4,2.2,0.9,4,1.7,2.2
178,1.1,-,-,-,-,1.1,0.9,0.1,0.1,1,0.5,0.4,0.9,0.6,1,0.3,0.6
179,0.8,-,-,-,-,0.8,0.2,-,0.5,1.9,1.1,0.8,0.6,0.4,0.8,0.6,0.2
180,0.3,0.2,0.2,-,-,0.3,-,0.2,0.2,0.1,-,0.1,0.3,-,1.7,1.3,0.4
181,0.7,-,-,-,-,0.7,0.7,-,0.1,0.6,0.3,0.3,0.6,0.2,1.5,0.7,0.8
182,0.3,-,-,-,-,0.3,0.1,-,0.2,0.5,0.1,0.4,0.4,0.4,3.2,1.8,1.4
183,1.1,0.1,-,-,0.1,1.1,0.9,-,0.2,2,1.2,0.8,1.1,0.5,1,0.5,0.5
184,0.3,-,-,-,-,0.3,-,0.1,0.2,0.4,0.3,0.1,0.7,0.2,2.6,1,1.7
185,0.6,-,-,-,-,0.6,0.3,-,0.3,1.4,0.8,0.7,1.2,0.7,1.5,0.4,1.1
186,-,-,-,-,-,-,-,-,-,-,-,-,0.1,-,0.1,-,0.1
