,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,OOBSh,SYBSh,PASh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD
105,1.3,-,-,-,-,1.3,0.6,0.1,0.6,0.3,0.1,0.1,0.5,0.5,2.3,1.5,0.8
106,-,-,-,-,-,-,-,-,-,-,-,-,0.1,-,0.2,0.2,-
107,1.1,-,-,-,-,1.1,0.3,0.3,0.6,1.1,0.6,0.5,1,0.6,1.6,0.9,0.7
108,1.5,0.3,0.1,0.1,0.1,1.5,0.4,0.2,0.9,1.6,0.7,0.9,1.2,0.6,1.1,0.4,0.7
109,1.1,0.1,-,-,0.1,1.1,0.6,-,0.5,0.9,0.4,0.6,1.2,0.6,2.4,1.5,0.9
110,0.7,-,-,-,-,0.7,0.5,-,0.2,1.1,0.6,0.6,1,0.9,2.4,1.4,1
111,1.6,0.2,-,-,0.2,1.6,-,0.2,1.4,0.4,0.2,0.2,0.6,0.3,5.3,3,2.3
112,1.3,0.3,-,0.1,0.2,1.3,0.1,0.3,0.8,0.7,0.4,0.3,0.9,0.8,4.4,2.3,2.1
113,0.6,-,-,-,-,0.6,0.2,-,0.3,0.3,0.1,0.2,0.2,0.1,3.9,2.4,1.5
114,2.1,0.3,-,-,0.2,2.1,1.1,0.1,0.9,1.6,1,0.5,1.4,1.2,0.4,0.1,0.3
115,0.5,0.1,-,-,0.1,0.5,0.2,-,0.3,1.3,0.8,0.6,1.3,0.6,2.1,0.7,1.4
116,0.3,-,-,-,-,0.3,-,0.1,0.2,0.2,0.1,0.1,0.3,0.1,3.2,1.8,1.4
117,0.8,0.2,-,-,0.2,0.8,0.2,-,0.6,1.8,0.6,1.2,1.4,0.6,1.4,0.4,1
118,0.7,-,-,-,-,0.7,0.1,0.2,0.4,0.2,-,0.2,0.3,0.1,3.6,2,1.6
119,1.9,0.1,-,-,0.1,1.9,0.4,0.1,1.4,0.3,0.3,-,2.9,0.6,3.8,2,1.8
120,1.3,0.2,-,0.1,0.2,1.3,0.1,0.3,0.9,2.3,1.5,0.8,1.4,1,4.1,2.3,1.9
121,1,0.1,-,-,-,1,0.1,0.1,0.9,2,1,0.9,0.7,1.1,0.5,0.1,0.4
122,1.4,0.2,-,0.1,0.1,1.4,0.1,0.3,1,3.7,2.6,1.1,1.6,1.2,1.5,0.5,1
123,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.6,0.5,0.1
124,2.5,0.3,-,0.1,0.3,2.5,0.4,0.3,1.8,1.4,0.8,0.6,1.7,1.3,4.6,2,2.6
125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,0.3,-
126,0.4,-,-,-,-,0.4,-,-,0.4,0.1,-,0.1,0.4,-,6.7,3.6,3.1
127,1.8,0.2,-,-,0.1,1.8,0.6,0.1,1.1,2.2,1.3,0.9,1.5,1.2,0.8,0.2,0.6
128,0.5,-,-,-,-,0.5,0.1,0.1,0.2,1.8,1,0.8,1.1,0.8,1.4,0.8,0.7
129,1.1,0.2,-,-,0.2,1.1,0.3,-,0.8,2.2,1.5,0.7,2,1.1,1.7,0.7,1
130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,0.3,-
131,0.4,-,-,-,-,0.4,0.1,-,0.2,0.7,0.5,0.1,1,0.4,2,1.3,0.7
132,0.9,0.1,-,-,0.1,0.9,0.5,0.1,0.4,1,0.4,0.6,0.7,0.8,0.7,0.3,0.3
133,0.4,-,-,-,-,0.4,0.2,-,0.2,0.6,0.4,0.2,0.7,0.3,2.7,1.5,1.2
134,0.4,0.1,-,0.1,-,0.4,-,0.1,0.3,0.5,0.1,0.4,0.5,0.5,3.7,2.2,1.6
135,0.8,-,-,-,-,0.8,0.1,-,0.7,1.2,0.7,0.5,1.4,1.2,3.9,2.1,1.8
136,0.5,0.1,-,-,-,0.5,-,0.1,0.3,0.4,0.3,0.1,0.1,0.2,4.9,2.9,2
137,2.3,0.4,-,0.1,0.3,2.3,0.1,0.4,1.8,1.2,0.9,0.3,1.4,1.3,3.3,1.3,1.9
138,0.4,-,-,-,-,0.4,0.3,-,0.1,0.6,0.3,0.3,0.6,0.5,2.1,1.2,0.9
139,0.4,-,-,-,-,0.4,0.2,-,0.2,1.3,0.6,0.8,0.7,0.5,2.2,1.3,0.8
140,1.7,0.3,-,0.1,0.2,1.7,0.2,0.2,1.3,1.9,1.1,0.7,0.8,0.5,0.7,0.2,0.5
141,0.9,-,-,-,-,0.9,0.6,0.1,0.1,0.6,0.4,0.1,0.9,1,3,1.9,1.1
142,2,0.3,-,0.1,0.2,2,0.6,0.2,1.2,1.2,0.8,0.4,1.7,0.9,1.4,0.6,0.8
143,1,0.1,-,-,-,1,0.5,-,0.4,0.4,0.1,0.3,0.4,0.2,3.4,1.3,2.1
144,1.4,0.2,-,0.1,0.2,1.4,0.2,0.3,1,1.6,1.1,0.4,1.8,1.2,2.3,0.9,1.4
145,1.6,0.4,0.1,0.1,0.3,1.6,0.1,0.1,1.4,0.5,0.3,0.2,2.8,1,5,2,3
