,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,SYBSh,PASh,OOBSh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD
73,0.9,0.1,-,0.1,-,0.9,0.3,-,0.7,2.9,2,0.9,2.2,1.2,2.4,0.9,1.5
74,1.9,0.4,0.2,0.3,-,1.9,0.2,0.3,1.4,1,0.6,0.4,1.9,0.9,4.4,2.9,1.5
75,0.6,0.1,-,-,-,0.6,0.4,-,0.1,0.5,0.2,0.3,0.7,0.3,0.5,0.2,0.4
76,0.5,-,-,-,-,0.5,0.1,-,0.3,0.7,0.2,0.5,0.6,0.3,3.1,2.1,1
77,0.4,0.1,-,0.1,-,0.4,-,0.1,0.3,0.3,0.1,0.1,0.5,-,3.4,1.9,1.4
78,0.5,-,-,-,-,0.5,0.2,-,0.3,1.5,0.8,0.7,0.9,0.7,1.4,0.8,0.6
79,0.5,-,-,-,-,0.5,-,0.1,0.4,0.3,-,0.3,0.3,-,2.8,1.9,0.9
80,0.4,-,-,-,-,0.4,0.3,-,0.1,3.1,2.1,1,0.9,0.6,2,1,1
81,2.1,0.3,0.1,0.2,-,2.1,0.1,0.3,1.7,1,0.7,0.3,2,0.9,8.6,5.1,3.5
82,0.5,-,-,-,-,0.5,0.5,-,-,0.4,0.2,0.2,1.4,0.4,1.5,0.8,0.7
83,0.4,-,-,-,-,0.4,0.2,-,0.2,1.2,1,0.2,1,0.3,2.3,1.2,1.1
84,2.1,0.3,0.1,0.2,-,2.1,0.3,0.5,1.4,1.3,0.9,0.4,2.4,0.7,4.5,3,1.6
85,0.7,0.1,-,-,-,0.7,0.5,-,0.2,1.1,0.6,0.5,0.9,0.7,2.1,0.9,1.1
86,0.1,-,-,-,-,0.1,0.1,-,0.1,0.5,0.2,0.3,0.3,0.3,2.1,1.5,0.6
87,1,-,-,-,-,1,0.8,-,0.3,1.5,0.6,0.9,1.6,0.8,1.8,1.1,0.7
88,0.4,-,-,-,-,0.4,0.2,-,0.3,3.8,2.3,1.5,1.5,0.9,0.8,0.5,0.3
89,1,-,-,-,-,1,0.4,-,0.5,1,0.6,0.3,1.3,1.1,3.4,2.3,1.1
90,0.9,0.1,-,0.1,-,0.9,0.5,-,0.4,0.9,0.3,0.5,0.6,0.3,3.8,2.3,1.6
91,1.3,0.4,0.1,0.2,-,1.3,0.1,0.1,1,1.6,1.1,0.6,3.1,0.9,4.4,1.9,2.5
92,0.4,0.1,0.1,-,-,0.4,0.1,0.1,0.3,0.2,-,0.2,0.3,0.1,3.4,1.6,1.8
