,SpG,TotGs,OOGBs,SYBGs,PAGs,TotSh,OOBSh,SYBSh,PASh,TotDrib,UnDrib,SucDrib,UnTch,Dispo,TotAD,WonAD,LostAD
116,0.7,0.2,-,-,0.2,0.7,0.1,0.1,0.6,0.2,-,0.2,0.4,-,3.2,2.2,1
117,1.3,0.2,-,-,0.2,1.3,0.3,-,1,1.8,0.8,1,1.7,0.8,1.8,0.7,1.1
118,1.9,0.3,-,-,0.3,1.9,0.4,0.2,1.4,1,0.6,0.4,2.3,0.8,6.4,2.5,3.9
119,2.1,0.4,-,0.1,0.3,2.1,0.5,0.2,1.4,1.3,0.8,0.6,1.6,1.2,0.9,0.2,0.7
120,0.3,-,-,-,-,0.3,-,-,0.3,0.1,0.1,-,0.4,-,3.4,2.4,1
121,0.4,-,-,-,-,0.4,0.2,0.1,0.1,0.7,0.2,0.4,1,0.5,3.1,1.7,1.4
122,0.6,-,-,-,-,0.6,0.3,-,0.3,2.1,0.9,1.2,1.4,0.6,1.2,0.4,0.8
123,0.9,-,-,-,-,0.9,0.4,0.1,0.5,0.3,0.2,0.1,0.8,0.3,1.9,0.8,1.1
124,0.3,-,-,-,-,0.3,0.2,-,0.1,0.3,0.2,0.1,0.3,0.2,1.5,1,0.5
125,1,0.1,-,-,0.1,1,0.4,0.1,0.4,1.4,0.4,1,1.6,0.8,1.4,0.6,0.9
126,1.5,0.1,-,-,-,1.5,0.9,-,0.6,3.4,1.9,1.5,1.7,0.5,0.7,0.1,0.6
127,2.6,0.3,0.1,0.1,0.2,2.6,0.5,0.4,1.8,0.8,0.5,0.3,1.9,1.1,2.2,0.8,1.3
128,0.6,-,-,-,-,0.6,0.1,0.2,0.4,0.6,0.4,0.2,0.5,0.2,2,1.2,0.9
129,0.2,0.2,-,0.2,-,0.2,-,0.2,-,0.5,0.3,0.2,0.5,0.2,1,0.8,0.2
130,1.4,0.4,-,0.1,0.2,1.4,-,0.2,1.1,2.5,1.3,1.2,3,1.7,4.2,1.7,2.4
131,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,0.3,-
132,0.8,0.1,-,-,0.1,0.8,0.1,0.2,0.5,0.2,0.1,0.1,0.2,-,4.8,3.1,1.7
133,0.6,-,-,-,-,0.6,0.2,-,0.4,0.4,0.2,0.2,0.7,0.1,3.4,2,1.4
134,1.3,0.1,-,-,-,1.3,0.5,0.2,0.6,1.1,0.6,0.5,1.2,0.7,3.4,1.7,1.7
135,-,-,-,-,-,-,-,-,-,0.1,-,0.1,-,-,0.3,0.3,-
136,1,-,-,-,-,1,-,0.1,0.9,0.2,0.1,0.1,0.4,0.2,5.2,2.9,2.3
137,0.3,0.1,-,-,0.1,0.3,0.1,-,0.1,0.9,0.4,0.5,0.6,0.3,2.5,1.6,0.9
138,0.8,0.1,-,-,0.1,0.8,0.4,-,0.3,1.3,0.7,0.6,0.9,0.7,0.7,0.1,0.5
139,1.1,0.1,-,-,0.1,1.1,0.5,-,0.6,3.3,1.7,1.6,1.7,1.4,0.4,0.2,0.2
140,0.5,-,-,-,-,0.5,0.1,-,0.3,-,-,-,0.2,-,2.8,1.8,1
141,0.8,-,-,-,-,0.8,0.6,-,0.1,1.5,0.9,0.6,0.6,1.3,2.9,1,1.9
142,1.1,-,-,-,-,1.1,0.5,0.1,0.5,0.8,0.4,0.4,0.8,0.6,3.4,1.7,1.7
143,0.6,0.1,-,-,0.1,0.6,0.2,-,0.4,1.1,0.6,0.6,1.3,0.4,0.5,0.2,0.3
144,0.4,-,-,-,-,0.4,-,0.1,0.4,0.1,-,0.1,0.3,-,5.4,3.5,1.9
145,0.3,0.1,-,-,0.1,0.3,0.1,-,0.2,0.5,0.2,0.3,0.5,0.3,1.2,0.5,0.7
146,1,-,-,-,-,1,-,0.3,0.8,1.3,0.5,0.8,0.8,0.3,4,2.3,1.8
147,-,-,-,-,-,-,-,-,-,1,-,1,2,-,1,1,-
148,1.1,0.1,-,-,0.1,1.1,0.1,0.1,0.8,2.4,1.7,0.7,1.3,0.8,1.2,0.4,0.7
149,0.7,-,-,-,-,0.7,0.5,-,0.2,0.9,0.3,0.6,0.6,0.4,0.9,0.6,0.3
150,0.6,0.1,0.1,-,-,0.6,0.4,-,0.2,0.2,-,0.2,0.4,0.1,0.4,0.1,0.3
151,0.6,-,-,-,-,0.6,0.5,-,0.1,0.2,-,0.2,0.4,0.3,1.9,1.2,0.6
152,0.1,-,-,-,-,0.1,0.1,-,-,0.6,0.4,0.3,0.9,0.3,3.2,1.5,1.7
153,0.9,-,-,-,-,0.9,0.4,-,0.4,1.8,1.2,0.6,1.6,1,1.3,0.6,0.7
154,0.6,0.1,0.1,-,-,0.6,0.4,-,0.1,0.8,0.3,0.5,0.7,0.6,1.7,0.9,0.8
155,0.7,-,-,-,-,0.7,0.4,-,0.2,0.9,0.6,0.4,1.2,0.4,1.8,0.9,0.9
156,1.7,0.4,-,0.2,0.2,1.7,0.1,0.2,1.4,0.5,0.4,0.1,1.9,0.6,7.7,3.7,4
