,Player,Club,League,Age,Height_all,National,Positions,Main_position,Foot,Apps,Mins,Goals,Assists,Yel,Red,PS%,AerialsWon,MotM,Rating,Contract,Market_Value
118,Milan Skriniar,Fenerbahce,Ligue1,30 years old (11-02-1995),188cm,Slovakia,Defender (Centre),,,4(1),381.0,-,-,1,-,96.5,1.4,-,6.77,,
119,Keito Nakamura,Stade Reims,Ligue1,24 years old (28-07-2000),"1,80m",,Attacking Midfielder (Left),Left Winger,right,29(1),2482.0,11,2,4,-,77.7,0.2,1,6.77,"Jun 30, 2028",€10.00m
120,Pierre Ekwah,AS Saint-Étienne,Ligue1,23 years old (15-01-2002),"1,89m",France,Defensive Midfielder (C),Defensive Midfield,left,26,2309.0,1,-,3,-,88.6,1.1,1,6.76,"Jun 30, 2025",€5.00m
121,Vincent Sierro,FC Toulouse,Ligue1,29 years old (08-10-1995),"1,85m",Switzerland,Midfielder (Centre),Central Midfield,right,24(2),2140.0,5,1,4,-,80.7,1.1,-,6.76,"Jun 30, 2026",€4.00m
122,Sebastian Nanasi,RC Strasbourg Alsace,Ligue1,22 years old (16-05-2002),"1,78m",Sweden,"Attacking Midfielder (Centre, Left), Forward",Left Midfield,right,25(3),1998.0,5,4,-,-,84.4,0.1,-,6.76,"Jun 30, 2029",€15.00m
123,Malick Fofana,Olympique Lyon,Ligue1,20 years old (31-03-2005),"1,69m",Belgium,Midfielder (Left),Left Winger,right,13(13),1317.0,5,4,1,-,82.1,0.1,1,6.76,"Jun 30, 2028",€25.00m
124,Lorenz Assignon,Stade Rennais FC,Ligue1,24 years old (22-06-2000),"1,81m",France,"Defender (Right), Midfielder (Right)",Right-Back,right,25(4),2155.0,3,4,8,-,81.7,1.1,2,6.76,"Jun 30, 2028",€9.00m
125,Brice Samba,Stade Rennais FC,Ligue1,31 years old (25-04-1994),"1,87m",France,Goalkeeper,Goalkeeper,left,15,1350.0,-,-,1,-,78.9,-,1,6.76,"Jun 30, 2029",€15.00m
126,Brendan Chardonnet,Stade Brestois 29,Ligue1,30 years old (22-12-1994),"1,81m",France,Defender (Centre),Centre-Back,right,26,2327.0,1,-,6,-,81.5,2.2,-,6.76,"Jun 30, 2027",€6.00m
127,Abdoulaye Touré,Le Havre AC,Ligue1,31 years old (03-03-1994),"1,88m",France,Defensive Midfielder (C),Defensive Midfield,right,23(2),2061.0,8,1,5,-,83,1.3,2,6.76,"Jun 30, 2025",€3.00m
128,Gautier Lloris,Le Havre AC,Ligue1,29 years old (18-07-1995),"1,91m",France,Defender (Centre),Centre-Back,left,30,2680.0,2,1,5,-,87.8,2.1,2,6.76,"Jun 30, 2026",€3.00m
129,Clément Akpa,AJ Auxerre,Ligue1,23 years old (24-11-2001),"1,81m",,Defender (Centre),Centre-Back,left,26(2),2245.0,-,1,6,-,83.8,1.2,-,6.75,"Jun 30, 2027",€3.00m
130,Bafodé Diakité,LOSC Lille,Ligue1,24 years old (06-01-2001),"1,84m",France,"Defender (Centre, Right)",Centre-Back,right,30,2677.0,4,1,6,1,93.2,2.1,2,6.75,"Jun 30, 2028",€25.00m
131,Thomas Meunier,LOSC Lille,Ligue1,33 years old (12-09-1991),"1,91m",Belgium,"Defender (Right), Midfielder (Right)",Right-Back,right,18(9),1656.0,2,-,4,-,83.2,1,2,6.75,"Jun 30, 2026",€2.00m
132,Lucas Chevalier,LOSC Lille,Ligue1,23 years old (06-11-2001),"1,89m",France,Goalkeeper,Goalkeeper,right,31,2790.0,-,-,-,-,76.5,0.2,-,6.75,"Jun 30, 2027",€30.00m
133,Duje Caleta-Car,Olympique Lyon,Ligue1,28 years old (17-09-1996),"1,93m",Croatia,Defender (Centre),Centre-Back,right,16(1),1428.0,1,-,8,-,91.5,2.2,-,6.75,"Jun 30, 2027",€8.00m
134,Téji Savanier,Montpellier HSC,Ligue1,33 years old (22-12-1991),"1,72m",France,Midfielder (Centre),Attacking Midfield,right,26(2),2292.0,2,5,4,1,76.8,0.8,-,6.75,"Jun 30, 2026",€3.00m
135,Jonathan Gradit,RC Lens,Ligue1,32 years old (24-11-1992),"1,80m",France,"Defender (Centre, Right)",Centre-Back,right,21(1),1846.0,-,-,4,-,85.2,2.7,1,6.74,"Jun 30, 2028",€4.00m
136,Abdoulaye Ndiaye,Stade Brestois 29,Ligue1,23 years old (10-04-2002),"1,95m",Senegal,Defender (Centre),Centre-Back,left,16(3),1442.0,1,-,3,1,85.8,2.3,-,6.74,"Jun 30, 2025",€3.00m
137,Christopher Opéri,Istanbul Basaksehir,Ligue1,28 years old (29-04-1997),183cm,France,"Defender (Left), Midfielder (Left)",,,13,1170.0,-,2,-,1,78.8,0.8,1,6.74,,
138,Lassine Sinayoko,AJ Auxerre,Ligue1,25 years old (08-12-1999),"1,86m",Mali,"Attacking Midfielder (Left, Right), Forward",Left Winger,right,22(9),2046.0,3,7,5,-,78.8,0.8,-,6.73,"Jun 30, 2026",€3.50m
139,Kévin Danois,AJ Auxerre,Ligue1,20 years old (28-06-2004),"1,83m",France,Midfielder (Centre),Central Midfield,right,16(6),1459.0,-,-,1,-,82.9,0.6,-,6.73,"Jun 30, 2028",€4.00m
140,Cédric Kipré,Stade Reims,Ligue1,28 years old (09-12-1996),"1,93m",France,Defender (Centre),Centre-Back,right,23(2),1922.0,-,1,4,2,89.9,1.4,1,6.73,"Jun 30, 2027",€3.00m
141,Amir Murillo,Olympique Marseille,Ligue1,29 years old (11-02-1996),"1,84m",Panama,"Defender (Centre, Left, Right), Midfielder (Right)",Right-Back,right,24(3),2167.0,1,3,2,-,90.2,1.4,-,6.73,"Jun 30, 2028",€9.00m
142,Al Musrati,AS Monaco,Ligue1,29 years old (06-04-1996),189cm,Libya,Defensive Midfielder (C),,,3(6),355.0,-,1,-,-,87.7,1.9,-,6.73,,
143,Arnaud Nordin,1.FSV Mainz 05,Ligue1,26 years old (17-06-1998),170cm,France,"Attacking Midfielder (Centre, Left, Right), Forward",,,14(2),1172.0,4,1,2,-,75.9,0.8,1,6.73,,
144,Warren Zaïre-Emery,Paris Saint-Germain,Ligue1,19 years old (08-03-2006),"1,78m",France,"Defender (Right), Defensive Midfielder (C), Midfielder (Right)",Central Midfield,right,21(5),1842.0,1,1,3,-,93,0.3,-,6.73,"Jun 30, 2029",€60.00m
145,Ruben Aguilar,RC Lens,Ligue1,32 years old (26-04-1993),"1,72m",France,"Defender (Right), Midfielder (Right)",Right-Back,right,12(3),1050.0,1,1,4,-,83.1,0.7,-,6.73,"Jun 30, 2026",€4.00m
146,Rasmus Nicolaisen,FC Toulouse,Ligue1,28 years old (16-03-1997),"1,91m",Denmark,Defender (Centre),Centre-Back,left,7,624.0,-,1,-,-,88,3,-,6.73,"Jun 30, 2025",€5.00m
147,Issa Soumaré,Le Havre AC,Ligue1,24 years old (10-10-2000),"1,82m",Senegal,"Attacking Midfielder (Left), Forward",Left Winger,right,18(8),1635.0,4,3,-,-,65.9,3.2,1,6.72,"Jun 30, 2026",€1.50m
148,Sinaly Diomandé,AJ Auxerre,Ligue1,24 years old (09-04-2001),"1,84m",Ivory Coast,"Defender (Centre, Right)",Centre-Back,right,19(1),1676.0,3,2,4,-,84.1,1.2,-,6.72,"Jun 30, 2027",€5.00m
149,Valentin Rongier,Olympique Marseille,Ligue1,30 years old (07-12-1994),"1,72m",France,"Defender (Right), Midfielder (Centre)",Central Midfield,right,16(7),1429.0,3,1,5,-,90.6,0.6,-,6.72,"Jun 30, 2026",€9.00m
150,Romain Del Castillo,Stade Brestois 29,Ligue1,29 years old (29-03-1996),"1,72m",France,"Attacking Midfielder (Centre, Left, Right), Forward",Right Winger,left,12(11),1096.0,5,3,-,-,76.4,0.3,1,6.71,"Jun 30, 2027",€8.00m
151,Mamadou Sarr,RC Strasbourg Alsace,Ligue1,19 years old (29-08-2005),"1,94m",France,Defender (Centre),Centre-Back,right,24,2119.0,-,1,3,-,93.7,1,1,6.71,"Jun 30, 2029",€15.00m
152,Habib Diarra,RC Strasbourg Alsace,Ligue1,21 years old (03-01-2004),"1,78m",France,"Midfielder (Centre, Left, Right)",Central Midfield,right,25(2),2160.0,4,3,5,-,86.8,0.3,1,6.71,"Jun 30, 2028",€20.00m
153,Geoffrey Kondogbia,Olympique Marseille,Ligue1,32 years old (15-02-1993),"1,88m",Central African Rep.,"Defender (Centre), Defensive Midfielder (C)",Defensive Midfield,left,21(3),1931.0,-,-,1,-,92.5,1.1,-,6.71,"Jun 30, 2027",€8.00m
154,Andrew Omobamidele,RC Strasbourg Alsace,Ligue1,22 years old (23-06-2002),"1,88m",Ireland,Defender (Centre),Centre-Back,right,6(2),514.0,-,-,3,-,94.3,1,-,6.71,"Jun 30, 2025",€10.00m
155,Joshua King,FC Toulouse,Ligue1,33 years old (15-01-1992),"1,80m",Norway,"Attacking Midfielder (Centre, Left, Right), Forward",Centre-Forward,right,18(7),1444.0,5,2,2,-,74.7,1.3,2,6.7,"Jun 30, 2025",€2.00m
156,Mathias Pereira Lage,Stade Brestois 29,Ligue1,28 years old (30-11-1996),"1,80m",France,"Midfielder (Centre, Left, Right)",Left Winger,right,15(11),1330.0,2,7,3,-,72.8,1.3,3,6.7,"Jun 30, 2025",€2.00m
157,Saïdou Sow,FC Nantes,Ligue1,22 years old (04-07-2002),"1,87m",Guinea,Defender (Centre),Centre-Back,right,9,800.0,1,-,1,-,83.6,1.4,-,6.7,"Jun 30, 2025",€6.00m
158,Matthis Abline,FC Nantes,Ligue1,22 years old (28-03-2003),"1,82m",France,"Attacking Midfielder (Left, Right), Forward",Centre-Forward,right,30(1),2519.0,8,2,2,-,68.6,1.7,1,6.7,"Jun 30, 2028",€12.00m
159,Florent Hanin,Angers SCO,Ligue1,35 years old (04-02-1990),"1,77m",France,"Defender (Left), Midfielder (Left)",Left-Back,left,28(2),2418.0,1,2,2,-,81.5,0.6,-,6.69,"Jun 30, 2025",€350k
160,Leo Østigård,TSG 1899 Hoffenheim,Ligue1,25 years old (28-11-1999),182cm,Norway,Defender (Centre),,,14(2),1228.0,1,-,5,-,84.8,3,-,6.69,,
161,Farid El Melali,Angers SCO,Ligue1,27 years old (13-07-1997),"1,68m",Algeria,"Defender (Right), Midfielder (Left, Right)",Left Winger,both,22(7),1852.0,2,3,1,-,77.3,0.2,1,6.69,"Jun 30, 2025",€4.00m
162,Amine Harit,Olympique Marseille,Ligue1,27 years old (18-06-1997),"1,80m",Morocco,"Attacking Midfielder (Centre, Left, Right), Forward",Attacking Midfield,right,8(4),503.0,2,3,1,1,87,0.1,-,6.69,"Jun 30, 2027",€10.00m
163,Jordan Lefort,Angers SCO,Ligue1,31 years old (09-08-1993),"1,84m",France,"Defender (Centre, Left)",Centre-Back,left,31,2790.0,-,1,1,-,83.6,1.2,-,6.69,"Jun 30, 2026",€1.20m
164,Matvey Safonov,Paris Saint-Germain,Ligue1,26 years old (25-02-1999),"1,92m",Russia,Goalkeeper,Goalkeeper,right,8(1),788.0,-,-,-,-,76.8,-,-,6.68,"Jun 30, 2029",€22.00m
165,Mohamed Abdelmonem,OGC Nice,Ligue1,26 years old (01-02-1999),"1,83m",Egypt,Defender (Centre),Centre-Back,right,10(2),856.0,-,-,2,-,90.7,2.6,-,6.68,"Jun 30, 2028",€4.00m
166,Félix Lemaréchal,RC Strasbourg Alsace,Ligue1,21 years old (07-08-2003),"1,80m",France,Midfielder (Centre),Attacking Midfield,right,17(7),1527.0,3,3,2,-,81.5,0.4,-,6.68,"Jun 30, 2029",€7.00m
167,Beres Owusu,Quevilly,Ligue1,21 years old (19-09-2003),,France,Defender,,,1,90.0,-,-,-,-,60,2,-,6.68,,
168,Ainsley Maitland-Niles,Olympique Lyon,Ligue1,27 years old (29-08-1997),"1,80m",England,"Defender (Left, Right), Midfielder (Centre, Left, Right)",Right-Back,right,17(12),1708.0,1,4,1,-,86.6,0.4,-,6.68,"Jun 30, 2027",€10.00m
169,Rémy Cabella,LOSC Lille,Ligue1,35 years old (08-03-1990),"1,72m",France,"Midfielder (Centre, Left, Right), Forward",Attacking Midfield,right,11(10),899.0,-,2,1,-,87.2,-,2,6.68,"Jun 30, 2025",€3.00m
170,Haris Belkebla,Angers SCO,Ligue1,31 years old (28-01-1994),"1,77m",Algeria,Defensive Midfielder (C),Central Midfield,right,21(1),1795.0,-,1,1,-,88.1,0.5,1,6.68,"Jun 30, 2026",€2.00m
171,Gianluigi Donnarumma,Paris Saint-Germain,Ligue1,26 years old (25-02-1999),"1,96m",Italy,Goalkeeper,Goalkeeper,right,23,2002.0,-,-,2,-,85,0.2,-,6.67,"Jun 30, 2026",€35.00m
172,Gabriel Osho,AJ Auxerre,Ligue1,26 years old (14-08-1998),"1,85m",England,"Defender (Centre, Right), Defensive Midfielder (C)",Centre-Back,right,19,1567.0,1,-,1,1,89.6,1.1,-,6.67,"Jun 30, 2025",€3.00m
173,Mohamed-Ali Cho,OGC Nice,Ligue1,21 years old (19-01-2004),"1,82m",France,"Attacking Midfielder (Centre, Right), Forward",Right Winger,left,21(4),1618.0,3,4,2,-,77.5,0.6,-,6.67,"Jun 30, 2028",€15.00m
174,Valentin Atangana Edoa,Stade Reims,Ligue1,19 years old (25-08-2005),"1,76m",France,Defensive Midfielder (C),Central Midfield,right,30(1),2599.0,1,-,7,-,88.1,1.5,-,6.67,"Jun 30, 2027",€9.00m
175,Jean-Eudes Aholou,Angers SCO,Ligue1,31 years old (20-03-1994),"1,86m",Ivory Coast,Defensive Midfielder (C),Defensive Midfield,left,26,1978.0,2,-,7,-,84.7,1.5,2,6.67,"Jun 30, 2026",€2.00m
176,Mathieu Gorgelin,Le Havre AC,Ligue1,34 years old (05-08-1990),"1,87m",France,Goalkeeper,Goalkeeper,left,13,1170.0,-,-,2,-,74,0.5,1,6.67,"Jun 30, 2025",€200k
177,Takumi Minamino,AS Monaco,Ligue1,30 years old (16-01-1995),"1,72m",Japan,"Attacking Midfielder (Centre, Left, Right), Forward",Left Winger,right,24(4),1987.0,5,3,4,-,74,0.6,1,6.67,"Jun 30, 2027",€15.00m
178,Sofiane Diop,OGC Nice,Ligue1,24 years old (09-06-2000),"1,75m",France,"Attacking Midfielder (Centre, Left, Right)",Left Winger,right,8(17),980.0,6,3,3,-,80.6,0.1,1,6.66,"Jun 30, 2027",€12.00m
179,Yann Gboho,FC Toulouse,Ligue1,24 years old (14-01-2001),"1,78m",Ivory Coast,"Attacking Midfielder (Centre, Left), Forward",Left Winger,right,24(4),2076.0,2,3,2,-,78.1,0.2,3,6.66,"Jun 30, 2026",€8.00m
180,Mitchel Bakker,LOSC Lille,Ligue1,24 years old (20-06-2000),"1,89m",Netherlands,"Defender (Left), Midfielder (Left, Right)",Left-Back,left,13(9),1089.0,3,2,3,1,83.7,0.1,1,6.66,"Jun 30, 2025",€7.00m
181,Sam Amo-Ameyaw,RC Strasbourg Alsace,Ligue1,18 years old (18-07-2006),"1,74m",,Forward,Right Winger,left,2(4),207.0,2,-,-,-,91.3,-,-,6.66,"Jun 30, 2025",€2.00m
182,Djibril Sidibé,FC Toulouse,Ligue1,32 years old (29-07-1992),"1,83m",France,"Defender (Centre, Left, Right), Midfielder (Right)",Right-Back,right,21(4),1854.0,-,2,1,-,81.6,0.7,-,6.66,"Jun 30, 2025",€1.20m
183,Moussa Niakhaté,Olympique Lyon,Ligue1,29 years old (08-03-1996),"1,90m",Senegal,"Defender (Centre, Left)",Centre-Back,left,27(1),2455.0,-,-,-,-,91.6,1.2,1,6.66,"Jun 30, 2028",€15.00m
184,Chuba Akpom,LOSC Lille,Ligue1,29 years old (09-10-1995),"1,83m",England,"Attacking Midfielder (Centre, Right), Forward",Centre-Forward,right,5(6),518.0,2,1,-,-,69.3,1.3,-,6.65,"Jun 30, 2025",€8.00m
185,Osame Sahraoui,LOSC Lille,Ligue1,23 years old (11-06-2001),"1,70m",Norway,Attacking Midfielder (Left),Left Winger,right,10(17),1207.0,3,3,1,-,86.1,-,-,6.65,"Jun 30, 2029",€12.00m
186,Justin Bourgault,Stade Brestois 29,Ligue1,19 years old (14-09-2005),"1,85m",France,Defender,Left-Back,left,2,123.0,1,-,-,-,73.3,0.5,-,6.65,"Jun 30, 2029",€300k
187,Facundo Medina,RC Lens,Ligue1,25 years old (28-05-1999),"1,84m",Argentina,"Defender (Centre, Left)",Centre-Back,left,26,2277.0,-,1,10,1,88.6,1.2,-,6.65,"Jun 30, 2028",€25.00m
188,Yaya Fofana,Stade Reims,Ligue1,20 years old (12-06-2004),"1,80m",Mali,Midfielder (Centre),Central Midfield,right,8(4),638.0,1,1,4,-,77,0.3,-,6.65,"Jun 30, 2029",€5.00m
189,Elisha Owusu,AJ Auxerre,Ligue1,27 years old (07-11-1997),"1,82m",France,Defensive Midfielder (C),Defensive Midfield,right,26,2194.0,1,3,7,-,81.8,0.6,1,6.64,"Jun 30, 2027",€3.00m
190,Junior Mwanga,Le Havre AC,Ligue1,21 years old (11-05-2003),"1,84m",France,Defensive Midfielder (C),Defensive Midfield,both,9,774.0,1,1,1,1,85.2,0.8,1,6.64,"Jun 30, 2025",€6.00m
191,Gautier Larsonneur,AS Saint-Étienne,Ligue1,28 years old (23-02-1997),"1,81m",France,Goalkeeper,Goalkeeper,right,31,2790.0,-,-,5,-,61.1,0.4,-,6.63,"Jun 30, 2026",€3.50m
192,Sergio Akieme,Stade Reims,Ligue1,27 years old (16-12-1997),"1,75m",Equatorial Guinea,"Defender (Left), Midfielder (Left)",Left-Back,left,26(1),2300.0,1,3,5,-,86.5,0.7,1,6.63,"Jun 30, 2028",€7.00m
193,Amadou Koné,Stade Reims,Ligue1,19 years old (14-05-2005),-,,Defensive Midfielder (C),Defensive Midfield,left,14(7),1089.0,-,-,2,1,87.2,0.8,-,6.63,"Jun 30, 2028",€1.50m
194,Nicolas Pallois,FC Nantes,Ligue1,37 years old (19-09-1987),"1,89m",,Defender (Centre),Centre-Back,left,21(3),1864.0,-,2,8,-,84.1,0.8,-,6.62,"Jun 30, 2025",€500k
195,Breel Embolo,AS Monaco,Ligue1,28 years old (14-02-1997),"1,87m",Switzerland,"Attacking Midfielder (Centre, Right), Forward",Centre-Forward,right,18(9),1687.0,6,4,5,-,70.9,1.1,1,6.62,"Jun 30, 2026",€12.00m
196,Florian Sotoca,RC Lens,Ligue1,34 years old (25-10-1990),"1,87m",France,"Midfielder (Centre, Right), Forward",Centre-Forward,right,22(7),1783.0,1,1,3,1,78.1,1.5,1,6.61,"Jun 30, 2026",€2.50m
197,Ki-Jana Hoever,AJ Auxerre,Ligue1,23 years old (18-01-2002),"1,83m",Netherlands,"Defender (Left, Right), Midfielder (Right)",Right-Back,right,25(3),2046.0,1,2,1,1,72.5,0.8,-,6.61,"Jun 30, 2025",€4.50m
198,Arouna Sangante,Le Havre AC,Ligue1,23 years old (12-04-2002),"1,89m",Senegal,"Defender (Centre, Right)",Centre-Back,right,13,1008.0,2,-,4,1,86.6,2,-,6.61,"Jun 30, 2026",€10.00m
199,Kévin Pedro,AS Saint-Étienne,Ligue1,19 years old (21-02-2006),183cm,France,Defender,,,0(1),9.0,-,-,-,-,57.1,-,-,6.61,,
200,Mark McKenzie,FC Toulouse,Ligue1,26 years old (25-02-1999),"1,84m",USA,Defender (Centre),Centre-Back,right,27(1),2318.0,1,-,2,1,87.5,1.5,1,6.61,"Jun 30, 2027",€6.00m
201,Georges Mikautadze,Olympique Lyon,Ligue1,24 years old (31-10-2000),"1,76m",Georgia,Forward,Centre-Forward,right,12(19),1318.0,10,6,2,-,79.2,0.4,2,6.61,"Jun 30, 2028",€20.00m
202,Christian Mawissa,AS Monaco,Ligue1,20 years old (18-04-2005),"1,84m",France,"Defender (Centre, Left)",Centre-Back,left,15(4),1318.0,-,-,3,-,87,1.5,-,6.61,"Jun 30, 2029",€12.00m
203,Ismaël Doukouré,RC Strasbourg Alsace,Ligue1,21 years old (24-07-2003),"1,83m",France,"Defender (Centre), Defensive Midfielder (C)",Centre-Back,right,28,2388.0,1,1,7,-,88.7,0.9,-,6.6,"Jun 30, 2026",€15.00m
204,Jhoanner Chávez,RC Lens,Ligue1,23 years old (25-04-2002),"1,82m",Ecuador,"Defender (Left), Midfielder (Left)",Left-Back,left,7(3),600.0,1,-,1,-,77.2,0.7,1,6.6,"Jun 30, 2028",€4.00m
205,Josué Casimir,Le Havre AC,Ligue1,23 years old (24-09-2001),"1,78m",Guadeloupe,"Midfielder (Left, Right), Forward",Right Winger,right,20(4),1738.0,3,2,4,-,76.3,0.3,1,6.6,"Jun 30, 2025",€3.50m
206,Soungoutou Magassa,AS Monaco,Ligue1,21 years old (08-10-2003),"1,90m",France,"Defender (Centre), Defensive Midfielder (C)",Defensive Midfield,right,10(8),898.0,-,1,5,-,85.6,0.6,-,6.6,"Jun 30, 2029",€12.00m
207,Dante,OGC Nice,Ligue1,41 years old (18-10-1983),"1,88m",Brazil,Defender (Centre),Centre-Back,left,20(2),1811.0,-,-,5,1,88.7,1.6,-,6.6,"Jun 30, 2026",€500k
208,Jordan Siebatcheu,Stade Reims,Ligue1,29 years old (26-04-1996),"1,91m",USA,Forward,Centre-Forward,right,3(1),175.0,1,-,-,-,66.7,1.5,-,6.6,"Jun 30, 2027",€3.00m
209,Philipp Köhn,AS Monaco,Ligue1,27 years old (02-04-1998),"1,90m",Switzerland,Goalkeeper,Goalkeeper,right,16,1440.0,-,-,1,-,73,0.2,-,6.6,"Jun 30, 2028",€4.00m
210,Matias Fernandez-Pardo,LOSC Lille,Ligue1,20 years old (03-02-2005),"1,88m",,"Attacking Midfielder (Left), Forward",Centre-Forward,right,9(10),819.0,3,2,4,-,78.3,0.1,-,6.59,"Jun 30, 2029",€10.00m
211,Léo Pétrot,AS Saint-Étienne,Ligue1,28 years old (15-04-1997),"1,88m",France,"Defender (Centre, Left)",Left-Back,left,26(2),2367.0,-,3,4,-,80.5,1.4,-,6.59,"Jun 30, 2025",€1.00m
212,Mousa Al Ta'mari,Stade Rennais FC,Ligue1,27 years old (10-06-1997),"1,78m",Jordan,"Midfielder (Left, Right), Forward",Right Winger,left,12(3),1119.0,2,1,3,-,79.7,0.6,2,6.58,"Jun 30, 2028",€6.00m
213,Quentin Merlin,Olympique Marseille,Ligue1,22 years old (16-05-2002),"1,74m",France,"Defender (Left), Midfielder (Left)",Left-Back,left,20(4),1517.0,1,3,1,-,87,0.3,1,6.58,"Jun 30, 2028",€12.00m
214,Abner Vinícius,Olympique Lyon,Ligue1,24 years old (27-05-2000),"1,81m",,"Defender (Left), Midfielder (Left)",Left-Back,left,12(6),1090.0,1,1,1,-,86.2,0.4,-,6.58,"Jun 30, 2029",€9.00m
215,Romain Faivre,Stade Brestois 29,Ligue1,26 years old (14-07-1998),"1,80m",France,"Attacking Midfielder (Centre, Left, Right)",Right Midfield,left,10(10),900.0,3,2,2,-,86.2,0.4,-,6.58,"Jun 30, 2025",€7.00m
216,Tino Kadewere,FC Nantes,Ligue1,29 years old (05-01-1996),"1,83m",Zimbabwe,"Attacking Midfielder (Centre, Left, Right), Forward",Centre-Forward,right,6(5),508.0,1,2,1,-,75.9,1.4,1,6.58,"Jun 30, 2027",€3.00m
217,Alban Lafont,FC Nantes,Ligue1,26 years old (23-01-1999),"1,96m",France,Goalkeeper,Goalkeeper,right,12,1080.0,-,-,1,-,65.2,0.4,2,6.58,"Jun 30, 2027",€4.00m
218,Rares Ilie,Catanzaro,Ligue1,22 years old (19-04-2003),185cm,Romania,Midfielder,,,0(2),11.0,-,-,-,-,85.7,-,-,6.58,,
219,Kamory Doumbia,Stade Brestois 29,Ligue1,22 years old (18-02-2003),"1,70m",Mali,Attacking Midfielder (Centre),Attacking Midfield,right,10(17),1104.0,2,2,1,-,84.9,0.3,-,6.57,"Jun 30, 2029",€5.00m
220,Seko Fofana,Stade Rennais FC,Ligue1,29 years old (07-05-1995),"1,85m",Ivory Coast,Midfielder (Centre),Central Midfield,right,9(5),801.0,1,1,3,-,91.1,0.5,-,6.57,"Jun 30, 2029",€12.00m
221,Anthony Lopes,FC Nantes,Ligue1,34 years old (01-10-1990),"1,84m",Portugal,Goalkeeper,Goalkeeper,left,15,1294.0,-,-,2,-,56,0.3,-,6.57,"Jun 30, 2025",€1.50m
222,Christopher Wooh,Stade Rennais FC,Ligue1,23 years old (18-09-2001),"1,91m",Cameroon,Defender (Centre),Centre-Back,right,16(3),1401.0,-,-,5,1,87.5,2.1,-,6.57,"Jun 30, 2026",€7.00m
223,Luck Zogbé,Stade Brestois 29,Ligue1,20 years old (24-03-2005),"1,78m",Ivory Coast,Defender (Right),Right-Back,right,7(6),637.0,-,-,2,-,83.5,0.9,-,6.57,"Jun 30, 2027",€3.00m
224,Gabriel Gudmundsson,LOSC Lille,Ligue1,26 years old (29-04-1999),"1,80m",Sweden,"Defender (Centre, Left), Midfielder (Left, Right)",Left-Back,left,19(8),1671.0,2,-,3,-,85.3,0.4,-,6.57,"Jun 30, 2026",€9.00m
225,Radoslaw Majecki,AS Monaco,Ligue1,25 years old (16-11-1999),"1,93m",Poland,Goalkeeper,Goalkeeper,right,15,1350.0,-,-,1,-,69.5,0.3,-,6.57,"Jun 30, 2028",€7.00m
226,Jordan James,Stade Rennais FC,Ligue1,20 years old (02-07-2004),"1,82m",Wales,"Midfielder (Centre, Left)",Central Midfield,right,13(7),1079.0,-,1,4,-,87.4,0.4,-,6.57,"Jun 30, 2028",€8.00m
227,Carlens Arcus,Angers SCO,Ligue1,28 years old (28-06-1996),"1,76m",Haiti,Defender (Right),Right-Back,right,22(3),1784.0,-,1,2,-,85.2,1.1,1,6.56,"Jun 30, 2026",€1.50m
228,Tom Louchet,OGC Nice,Ligue1,21 years old (04-05-2003),"1,78m",France,"Defender (Right), Midfielder (Right)",Right Midfield,both,7(13),718.0,1,-,1,-,86.8,0.6,1,6.56,"Jun 30, 2027",€3.00m
229,Ngal'ayel Mukau,LOSC Lille,Ligue1,20 years old (03-11-2004),"1,86m",,Midfielder (Centre),Defensive Midfield,left,13(6),1102.0,-,1,4,-,89.6,0.7,-,6.56,"Jun 30, 2028",€15.00m
230,Albert Grønbæk,Southampton FC,Ligue1,23 years old (23-05-2001),176cm,Denmark,"Attacking Midfielder (Centre, Left)",,,9(7),819.0,2,1,1,-,68.7,0.3,1,6.56,,
231,Johann Lepenant,FC Nantes,Ligue1,22 years old (22-10-2002),"1,76m",France,Midfielder (Centre),Defensive Midfield,right,22(5),1972.0,2,1,3,-,81.6,0.7,1,6.56,"Jun 30, 2025",€7.00m
232,Jérémie Boga,OGC Nice,Ligue1,28 years old (03-01-1997),"1,72m",Ivory Coast,"Attacking Midfielder (Centre, Left, Right), Forward",Left Winger,right,12(8),1018.0,1,1,-,-,85.4,0.2,-,6.56,"Jun 30, 2027",€12.00m
233,Ulisses Garcia,Olympique Marseille,Ligue1,29 years old (11-01-1996),"1,82m",Switzerland,"Defender (Centre, Left), Defensive Midfielder (C), Midfielder (Left)",Left-Back,left,8(10),771.0,2,2,1,-,88.2,0.8,-,6.56,"Jun 30, 2028",€4.00m
234,Ernest Nuamah,Olympique Lyon,Ligue1,21 years old (01-11-2003),"1,78m",,"Attacking Midfielder (Left, Right)",Right Winger,left,13(10),1056.0,3,1,2,-,83.9,0.6,2,6.56,"Jun 30, 2028",€15.00m
235,Mikayil Faye,Stade Rennais FC,Ligue1,20 years old (14-07-2004),"1,83m",,Defender (Centre),Centre-Back,left,7(4),693.0,-,-,1,1,88.9,1.3,-,6.56,"Jun 30, 2028",€8.00m
236,Deiver Machado,RC Lens,Ligue1,31 years old (02-09-1993),"1,80m",Colombia,"Defender (Left), Midfielder (Left)",Left-Back,left,18(7),1648.0,1,4,4,2,87.2,0.6,1,6.56,"Jun 30, 2026",€3.50m
