,Player,Club,League,Age,Height_all,National,Positions,Main_position,Foot,Apps,Mins,Goals,Assists,Yel,Red,PS%,AerialsWon,MotM,Rating,Contract,Market_Value
119,Arda Güler,Real Madrid,Laliga,20 years old (25-02-2005),"1,75m",Turkey,"Attacking Midfielder (Centre, Right)",Right Winger,left,9(14),863.0,2,3,1,-,89.1,0.3,-,6.72,"Jun 30, 2029",€45.00m
120,Santiago Mouriño,Deportivo Alavés,Laliga,23 years old (13-02-2002),"1,86m",Uruguay,Defender (Centre),Centre-Back,right,16(5),1487.0,-,1,5,-,78.4,1.4,-,6.72,"Jun 30, 2029",€2.00m
121,Fran García,Real Madrid,Laliga,25 years old (14-08-1999),"1,69m",,Defender (Left),Left-Back,left,19(7),1737.0,-,2,-,-,88.7,0.6,-,6.72,"Jun 30, 2027",€15.00m
122,Sergi Darder,RCD Mallorca,Laliga,31 years old (22-12-1993),"1,80m",Spain,"Midfielder (Centre, Left, Right)",Central Midfield,right,29(4),2331.0,1,5,3,-,82.4,0.3,4,6.72,"Jun 30, 2028",€4.00m
123,Miguel Gutiérrez,Girona FC,Laliga,23 years old (27-07-2001),"1,80m",Spain,"Defender (Left), Midfielder (Left)",Left-Back,left,29,2465.0,1,5,4,-,88.4,0.2,3,6.71,"Jun 30, 2027",€25.00m
124,Abde Ezzalzouli,Real Betis Balompié,Laliga,23 years old (17-12-2001),"1,77m",Morocco,Attacking Midfielder (Left),Left Winger,right,20(7),1743.0,2,2,2,-,75.1,0.7,1,6.71,"Jun 30, 2029",€12.00m
125,Bryan Gil,Girona FC,Laliga,24 years old (11-02-2001),"1,75m",Spain,"Midfielder (Centre, Left, Right)",Left Winger,left,21(4),1733.0,3,3,4,-,89.7,-,1,6.71,"Jun 30, 2025",€15.00m
126,Sandro Ramírez,UD Las Palmas,Laliga,29 years old (09-07-1995),"1,74m",Spain,"Attacking Midfielder (Left, Right), Forward",Centre-Forward,right,23(5),1880.0,8,3,6,-,74.7,0.4,2,6.71,"Jun 30, 2026",€2.50m
127,Wojciech Szczesny,FC Barcelona,Laliga,35 years old (18-04-1990),"1,95m",Poland,Goalkeeper,Goalkeeper,right,13,1170.0,-,-,-,-,88.1,0.1,-,6.71,"Jun 30, 2025",€1.00m
128,Axel Witsel,Atlético de Madrid,Laliga,36 years old (12-01-1989),"1,86m",Belgium,"Defender (Centre), Midfielder (Centre)",Centre-Back,right,8(4),757.0,-,1,1,-,90.2,1.9,-,6.7,"Jun 30, 2025",€2.50m
129,Aimar Oroz,CA Osasuna,Laliga,23 years old (27-11-2001),"1,77m",Spain,"Attacking Midfielder (Centre), Forward",Attacking Midfield,right,30(2),2535.0,4,2,7,-,83.9,0.4,3,6.7,"Jun 30, 2029",€15.00m
130,Iago Aspas,Celta de Vigo,Laliga,37 years old (01-08-1987),"1,76m",Spain,"Attacking Midfielder (Centre, Right), Forward",Centre-Forward,left,17(9),1580.0,9,3,3,1,75.6,0.3,3,6.7,"Jun 30, 2026",€2.50m
131,Lucas Vázquez,Real Madrid,Laliga,33 years old (01-07-1991),"1,73m",Spain,"Defender (Right), Midfielder (Right)",Right-Back,right,22(6),1929.0,1,4,4,-,89.8,0.3,-,6.7,"Jun 30, 2025",€3.50m
132,Edu Expósito,RCD Espanyol Barcelona,Laliga,28 years old (01-08-1996),"1,78m",Spain,Midfielder (Centre),Central Midfield,right,7(7),644.0,-,2,2,-,72.4,0.4,1,6.69,"Jun 30, 2027",€1.50m
133,Arsen Zakharyan,Real Sociedad,Laliga,21 years old (26-05-2003),"1,83m",Russia,"Midfielder (Centre, Left, Right)",Attacking Midfield,right,1(2),72.0,1,-,-,-,84.4,-,-,6.69,"Jun 30, 2029",€15.00m
134,Eric García,FC Barcelona,Laliga,24 years old (09-01-2001),"1,82m",Spain,"Defender (Centre, Right), Defensive Midfielder (C)",Centre-Back,right,10(14),1214.0,1,2,3,-,92.8,1.1,-,6.69,"Jun 30, 2026",€15.00m
135,Mario Maroto,Real Valladolid CF,Laliga,21 years old (28-11-2003),176cm,Spain,Midfielder,,,0(1),18.0,-,1,-,-,73.3,1,-,6.69,,
136,Mauro Arambarri,Getafe CF,Laliga,29 years old (30-09-1995),"1,75m",Uruguay,Midfielder (Centre),Central Midfield,right,27(4),2336.0,9,-,9,-,76.2,1.7,1,6.69,"Jun 30, 2028",€7.00m
137,Jesús Rodriguez,Real Betis Balompié,Laliga,19 years old (21-11-2005),"1,85m",Spain,Attacking Midfielder (Left),Left Winger,right,12(5),923.0,2,-,-,-,75.9,0.2,-,6.69,"Jun 30, 2029",€10.00m
138,Andoni Gorosabel,Athletic Bilbao,Laliga,28 years old (04-08-1996),"1,74m",Spain,"Defender (Right), Midfielder (Right)",Right-Back,right,15(3),1313.0,-,2,4,-,84.8,0.8,-,6.69,"Jun 30, 2028",€5.00m
139,Giuliano Simeone,Atlético de Madrid,Laliga,22 years old (18-12-2002),"1,73m",Argentina,"Attacking Midfielder (Left, Right)",Right Winger,right,22(6),1661.0,2,6,4,-,78.9,0.4,-,6.69,"Jun 30, 2028",€25.00m
140,Juan Cruz,CD Leganés,Laliga,25 years old (25-04-2000),"1,80m",Spain,"Midfielder (Left, Right)",Left Winger,left,23(8),2022.0,4,3,2,-,74.5,0.5,1,6.69,"Jun 30, 2028",€4.00m
141,Marc Roca,Real Betis Balompié,Laliga,28 years old (26-11-1996),"1,84m",Spain,"Defender (Centre), Defensive Midfielder (C)",Defensive Midfield,left,11(3),910.0,2,2,4,-,87.6,0.4,1,6.68,"Jun 30, 2029",€8.00m
142,Marc Bernal,FC Barcelona,Laliga,17 years old (26-05-2007),"1,91m",Spain,Midfielder,Defensive Midfield,left,3,244.0,-,-,2,-,92.5,0.3,-,6.68,"Jun 30, 2026",€5.00m
143,Dani Rodríguez,RCD Mallorca,Laliga,36 years old (06-06-1988),"1,78m",Spain,"Attacking Midfielder (Centre, Left, Right), Forward",Attacking Midfield,right,23(9),1909.0,4,7,5,-,76.4,0.8,1,6.68,"Jun 30, 2026",€900k
144,Íñigo Ruíz de Galarreta,Athletic Bilbao,Laliga,31 years old (06-08-1993),"1,75m",Spain,Defensive Midfielder (C),Central Midfield,right,14(7),1197.0,-,4,5,-,84.4,0.2,-,6.68,"Jun 30, 2025",€4.00m
145,Adrià Pedrosa,Sevilla FC,Laliga,26 years old (13-05-1998),"1,72m",Spain,"Defender (Left), Midfielder (Left)",Left-Back,left,24(3),2034.0,1,1,6,-,77.3,0.4,1,6.67,"Jun 30, 2028",€7.00m
146,Ferran Torres,FC Barcelona,Laliga,25 years old (29-02-2000),"1,84m",Spain,"Attacking Midfielder (Left, Right), Forward",Right Winger,right,11(15),1015.0,10,3,1,1,77.3,0.2,-,6.67,"Jun 30, 2027",€28.00m
147,Dani Parejo,Villarreal CF,Laliga,36 years old (16-04-1989),"1,82m",Spain,Midfielder (Centre),Central Midfield,right,23(8),2016.0,3,2,7,-,89.2,0.7,2,6.67,"Jun 30, 2026",€2.00m
148,Andrii Lunin,Real Madrid,Laliga,26 years old (11-02-1999),"1,91m",Ukraine,Goalkeeper,Goalkeeper,right,5,450.0,-,1,-,-,84.3,0.4,-,6.67,"Jun 30, 2030",€20.00m
149,Nemanja Gudelj,Sevilla FC,Laliga,33 years old (16-11-1991),"1,87m",Serbia,"Defender (Centre), Midfielder (Centre)",Defensive Midfield,right,24(2),2161.0,-,1,5,-,88.3,1.5,1,6.67,"Jun 30, 2026",€3.50m
150,Unai Simón,Athletic Bilbao,Laliga,27 years old (11-06-1997),"1,90m",Spain,Goalkeeper,Goalkeeper,right,16,1440.0,-,-,-,-,65.7,0.3,-,6.67,"Jun 30, 2029",€28.00m
151,Julen Agirrezabala,Athletic Bilbao,Laliga,24 years old (26-12-2000),"1,87m",Spain,Goalkeeper,Goalkeeper,left,14,1208.0,-,-,1,1,64.9,0.4,-,6.67,"Jun 30, 2027",€15.00m
152,Conor Gallagher,Atlético de Madrid,Laliga,25 years old (06-02-2000),"1,82m",England,"Midfielder (Centre, Left)",Central Midfield,right,18(9),1487.0,3,2,2,-,86.6,0.3,3,6.67,"Jun 30, 2029",€40.00m
153,Óscar Mingueza,Celta de Vigo,Laliga,25 years old (13-05-1999),"1,84m",Spain,"Defender (Centre, Right), Midfielder (Left, Right)",Right-Back,right,26(3),2310.0,3,6,6,1,81.1,0.3,-,6.67,"Jun 30, 2026",€20.00m
154,Kiko Femenía,Villarreal CF,Laliga,34 years old (02-02-1991),"1,74m",Spain,"Defender (Left, Right), Midfielder (Right)",Right-Back,right,26(1),2186.0,-,1,7,-,90.3,0.2,-,6.67,"Jun 30, 2025",€1.20m
155,Juma Bah,RC Lens,Laliga,19 years old (11-04-2006),195cm,,Defender (Centre),,,10(2),865.0,-,-,1,-,81.5,2.6,1,6.66,,
156,Pau López,Toluca,Laliga,30 years old (13-12-1994),189cm,Spain,Goalkeeper,,,0(1),45.0,-,-,-,-,72.7,1,-,6.66,,
157,Yeremy Pino,Villarreal CF,Laliga,22 years old (20-10-2002),"1,72m",Spain,"Attacking Midfielder (Left, Right)",Right Winger,right,21(9),1672.0,3,5,10,-,77.8,0.4,1,6.66,"Jun 30, 2027",€30.00m
158,Carles Aleñá,Deportivo Alavés,Laliga,27 years old (05-01-1998),"1,80m",Spain,"Attacking Midfielder (Centre, Left, Right)",Central Midfield,left,8(1),675.0,-,2,1,-,79.9,0.8,-,6.66,"Jun 30, 2025",€2.50m
159,José María Giménez,Atlético de Madrid,Laliga,30 years old (20-01-1995),"1,85m",Uruguay,"Defender (Centre, Right)",Centre-Back,right,19(7),1817.0,-,1,5,-,91.3,1.3,2,6.66,"Jun 30, 2028",€20.00m
160,Pablo Torre,FC Barcelona,Laliga,22 years old (03-04-2003),"1,73m",Spain,Attacking Midfielder (Centre),Attacking Midfield,right,4(6),309.0,3,1,-,-,85.4,0.1,-,6.66,"Jun 30, 2026",€7.50m
161,Robin Le Normand,Atlético de Madrid,Laliga,28 years old (11-11-1996),"1,87m",Spain,Defender (Centre),Centre-Back,right,20(3),1790.0,-,-,8,-,90.2,2,-,6.66,"Jun 30, 2029",€40.00m
162,Pape Gueye,Villarreal CF,Laliga,26 years old (24-01-1999),"1,89m",Senegal,Midfielder (Centre),Defensive Midfield,left,22(7),1919.0,2,-,3,2,81.6,1,1,6.65,"Jun 30, 2028",€10.00m
163,Martin Valjent,RCD Mallorca,Laliga,29 years old (11-12-1995),"1,87m",Slovakia,Defender (Centre),Centre-Back,right,27,2405.0,2,-,4,-,85.8,1.5,-,6.65,"Jun 30, 2029",€6.00m
164,Rodrigo De Paul,Atlético de Madrid,Laliga,30 years old (24-05-1994),"1,80m",Argentina,"Attacking Midfielder (Centre, Left, Right), Forward",Central Midfield,right,18(11),1735.0,3,4,6,-,84,0.1,1,6.65,"Jun 30, 2026",€25.00m
165,Jan Oblak,Atlético de Madrid,Laliga,32 years old (07-01-1993),"1,88m",Slovenia,Goalkeeper,Goalkeeper,right,32,2880.0,-,-,-,-,74.7,0.1,1,6.65,"Jun 30, 2028",€25.00m
166,Luiz Júnior,Villarreal CF,Laliga,24 years old (14-01-2001),"1,92m",Brazil,Goalkeeper,Goalkeeper,left,12(1),1097.0,-,-,2,-,67.9,0.4,1,6.65,"Jun 30, 2030",€5.00m
167,César Azpilicueta,Atlético de Madrid,Laliga,35 years old (28-08-1989),"1,78m",Spain,"Defender (Centre, Left, Right), Midfielder (Right)",Centre-Back,right,9(3),743.0,1,-,-,-,86.9,0.9,1,6.65,"Jun 30, 2025",€1.80m
168,Chidera Ejuke,Sevilla FC,Laliga,27 years old (02-01-1998),"1,76m",Nigeria,"Attacking Midfielder (Centre, Left, Right), Forward",Left Winger,right,9(13),946.0,2,1,-,-,83.9,0.2,2,6.65,"Jun 30, 2027",€6.00m
169,Dinko Horkas,UD Las Palmas,Laliga,26 years old (10-03-1999),"1,89m",Croatia,Goalkeeper,Goalkeeper,right,6(2),634.0,-,-,1,-,76.1,-,-,6.65,"Jun 30, 2028",€1.20m
170,Marko Dmitrovic,CD Leganés,Laliga,33 years old (24-01-1992),"1,89m",Serbia,Goalkeeper,Goalkeeper,left,27,2430.0,-,-,-,-,37,0.4,-,6.64,"Jun 30, 2025",€800k
171,Sergio Carreira,Celta de Vigo,Laliga,24 years old (13-10-2000),"1,70m",Spain,Midfielder (Right),Right-Back,right,16(4),1424.0,-,4,-,-,79.2,0.2,-,6.64,"Jun 30, 2025",€3.00m
172,Enzo Boyomo,CA Osasuna,Laliga,23 years old (07-10-2001),"1,84m",Cameroon,Defender (Centre),Centre-Back,right,28(1),2538.0,2,-,5,-,87.1,0.8,1,6.64,"May 30, 2029",€20.00m
173,Johan Mojica,RCD Mallorca,Laliga,32 years old (21-08-1992),"1,85m",Colombia,"Defender (Left), Midfielder (Left)",Left-Back,left,27(4),2459.0,1,2,5,-,77.1,0.3,1,6.64,"Jun 30, 2027",€2.20m
174,Viktor Tsygankov,Girona FC,Laliga,27 years old (15-11-1997),"1,78m",Ukraine,"Midfielder (Centre, Left, Right)",Right Winger,left,18(4),1499.0,2,4,1,-,83,0.3,1,6.64,"Jun 30, 2027",€22.00m
175,Christantus Uche,Getafe CF,Laliga,21 years old (19-05-2003),"1,90m",Nigeria,"Attacking Midfielder (Centre), Forward",Attacking Midfield,both,27(3),2247.0,3,5,6,2,67.8,2.8,2,6.63,"Jun 30, 2028",€8.00m
176,Joan Jordán,Deportivo Alavés,Laliga,30 years old (06-07-1994),"1,85m",Spain,Midfielder (Centre),Central Midfield,right,15(7),1348.0,4,2,3,-,82,0.7,1,6.63,"Jun 30, 2025",€2.50m
177,Carlos Romero,RCD Espanyol Barcelona,Laliga,23 years old (29-10-2001),"1,74m",Spain,Defender (Left),Left-Back,left,23(6),2107.0,2,1,6,-,76,0.4,1,6.63,"Jun 30, 2025",€3.00m
178,Umar Sadiq,Valencia CF,Laliga,28 years old (02-02-1997),"1,91m",Nigeria,Forward,Centre-Forward,right,7(5),653.0,5,-,4,-,72.2,1.8,1,6.63,"Jun 30, 2025",€5.00m
179,Yuri Berchiche,Athletic Bilbao,Laliga,35 years old (10-02-1990),"1,81m",Spain,"Defender (Left), Midfielder (Left)",Left-Back,left,18(8),1681.0,-,2,4,-,86,0.8,-,6.63,"Jun 30, 2025",€1.50m
180,David Soria,Getafe CF,Laliga,32 years old (04-04-1993),"1,92m",Spain,Goalkeeper,Goalkeeper,right,33,2970.0,-,-,1,-,47.4,0.2,1,6.63,"Jun 30, 2026",€4.00m
181,Domingos Duarte,Getafe CF,Laliga,30 years old (10-03-1995),"1,92m",Portugal,Defender (Centre),Centre-Back,right,17(1),1531.0,1,-,1,1,78.1,1.3,-,6.62,"Jun 30, 2026",€800k
182,Sergio González,CD Leganés,Laliga,33 years old (20-04-1992),"1,89m",Spain,Defender (Centre),Centre-Back,right,31(1),2754.0,2,-,2,1,84,1.8,2,6.62,"Jun 30, 2025",€1.50m
183,Beñat Prados,Athletic Bilbao,Laliga,24 years old (08-02-2001),"1,80m",Spain,Defensive Midfielder (C),Central Midfield,right,19(8),1545.0,1,-,7,-,81.9,1.1,1,6.62,"Jun 30, 2031",€18.00m
184,Arnau Martínez,Girona FC,Laliga,22 years old (25-04-2003),"1,82m",Spain,"Defender (Right), Midfielder (Right)",Right-Back,right,25(2),2222.0,2,2,2,-,88.1,1,-,6.62,"Jun 30, 2027",€10.00m
185,Antonio Rüdiger,Real Madrid,Laliga,32 years old (03-03-1993),"1,90m",Germany,"Defender (Centre, Left, Right)",Centre-Back,right,26(3),2292.0,-,-,3,-,92.2,1.2,-,6.62,"Jun 30, 2026",€24.00m
186,Óscar De Marcos,Athletic Bilbao,Laliga,36 years old (14-04-1989),"1,82m",Spain,"Defender (Left, Right), Midfielder (Centre, Right)",Right-Back,right,15(8),1380.0,-,4,-,-,79.3,0.3,-,6.62,"Jun 30, 2025",€1.50m
187,Samuel Lino,Atlético de Madrid,Laliga,25 years old (23-12-1999),"1,77m",Brazil,"Defender (Left), Midfielder (Centre, Left, Right), Forward",Left Winger,right,18(8),1276.0,3,2,3,-,80.9,0.5,1,6.62,"Jun 30, 2027",€25.00m
188,Pathé Ciss,Rayo Vallecano,Laliga,31 years old (16-03-1994),"1,86m",Senegal,Defensive Midfielder (C),Central Midfield,right,21(8),1845.0,4,1,9,-,85.8,1.5,2,6.62,"Jun 30, 2027",€2.00m
189,Kirian Rodríguez,UD Las Palmas,Laliga,29 years old (05-03-1996),"1,78m",Spain,Midfielder (Centre),Attacking Midfield,right,21,1768.0,-,3,2,-,86.8,0.6,1,6.62,"Jun 30, 2028",€12.00m
190,Luka Sucic,Real Sociedad,Laliga,22 years old (08-09-2002),"1,85m",Croatia,Attacking Midfielder (Centre),Central Midfield,left,19(5),1579.0,1,1,3,-,84.5,1,1,6.62,"Jun 30, 2029",€18.00m
191,Álex Muñoz,UD Las Palmas,Laliga,30 years old (30-07-1994),"1,87m",Spain,Defender (Left),Left-Back,left,16(3),1306.0,3,-,3,-,81.8,1.2,2,6.61,"Jun 30, 2026",€1.20m
192,Robert Navarro,RCD Mallorca,Laliga,23 years old (12-04-2002),"1,78m",Spain,"Attacking Midfielder (Left, Right)",Attacking Midfield,right,15(8),1286.0,1,-,3,-,80,0.2,-,6.61,"Jun 30, 2025",€6.00m
193,Daley Blind,Girona FC,Laliga,35 years old (09-03-1990),"1,80m",Netherlands,"Defender (Centre, Left), Defensive Midfielder (C), Midfielder (Left)",Centre-Back,left,26(3),2329.0,-,2,2,-,90.6,0.6,1,6.61,"Jun 30, 2026",€2.00m
194,Nicolas Pépé,Villarreal CF,Laliga,29 years old (29-05-1995),"1,83m",Ivory Coast,"Attacking Midfielder (Centre, Left, Right), Forward",Right Winger,left,11(12),1133.0,1,3,3,-,83,0.7,-,6.61,"Jun 30, 2026",€6.00m
195,Brahim Díaz,Real Madrid,Laliga,25 years old (03-08-1999),"1,70m",Morocco,"Attacking Midfielder (Centre, Left, Right), Forward",Right Winger,both,15(13),1275.0,4,2,-,-,88.5,0.1,-,6.61,"Jun 30, 2027",€45.00m
196,Viti Rozada,UD Las Palmas,Laliga,27 years old (16-09-1997),"1,72m",,Defender (Right),Right-Back,right,19(6),1665.0,-,2,5,-,84,0.6,-,6.61,"Jun 30, 2027",€2.50m
197,Javi Puado,RCD Espanyol Barcelona,Laliga,26 years old (25-05-1998),"1,77m",Spain,"Attacking Midfielder (Centre, Left, Right), Forward",Left Winger,right,30,2580.0,11,3,5,-,78.6,0.3,1,6.61,"Jun 30, 2025",€8.00m
198,Hugo Álvarez,Celta de Vigo,Laliga,21 years old (02-07-2003),"1,76m",Spain,"Midfielder (Left, Right)",Left Winger,right,15(8),1442.0,4,3,6,-,79,0.3,1,6.61,"Jun 30, 2028",€7.50m
199,Jasper Cillessen,UD Las Palmas,Laliga,36 years old (22-04-1989),"1,87m",Netherlands,Goalkeeper,Goalkeeper,right,27,2337.0,-,-,1,-,63.4,0.1,-,6.61,"Jun 30, 2026",€900k
200,Enzo Boyomo,CA Osasuna,Laliga,23 years old (07-10-2001),"1,84m",Cameroon,Defender (Centre),Centre-Back,right,3,270.0,-,-,-,-,91.6,1,-,6.61,"May 30, 2029",€20.00m
201,Tanguy Nianzou,Sevilla FC,Laliga,22 years old (07-06-2002),"1,91m",France,Defender (Centre),Centre-Back,right,6,519.0,-,-,1,1,90.8,3,-,6.61,"Jun 30, 2027",€3.00m
202,Álvaro García,Rayo Vallecano,Laliga,32 years old (27-10-1992),"1,67m",Spain,"Attacking Midfielder (Centre, Left)",Left Winger,both,24(7),2192.0,3,5,4,-,70.8,0.2,2,6.6,"Jun 30, 2028",€2.50m
203,Álex Remiro,Real Sociedad,Laliga,30 years old (24-03-1995),"1,91m",Spain,Goalkeeper,Goalkeeper,right,32,2880.0,-,-,-,-,70.4,0.3,1,6.6,"Jun 30, 2027",€25.00m
204,Diego López,Valencia CF,Laliga,22 years old (13-05-2002),"1,72m",,"Attacking Midfielder (Left, Right), Forward",Right Winger,right,30(3),2429.0,7,5,2,-,75.7,0.4,1,6.6,"Jun 30, 2027",€10.00m
205,Dário Essugo,UD Las Palmas,Laliga,20 years old (14-03-2005),"1,78m",Portugal,Defensive Midfielder (C),Defensive Midfield,right,21(1),1658.0,1,-,6,2,84.8,1.2,-,6.6,"Jun 30, 2025",€15.00m
206,Yvan Neyou,CD Leganés,Laliga,28 years old (03-01-1997),"1,80m",Cameroon,Defensive Midfielder (C),Defensive Midfield,right,25(2),2170.0,1,1,13,-,87,0.9,1,6.6,"Jun 30, 2025",€2.50m
207,Igor Zubeldia,Real Sociedad,Laliga,28 years old (30-03-1997),"1,81m",Spain,"Defender (Centre), Defensive Midfielder (C)",Centre-Back,right,25,2049.0,-,-,6,1,85.8,2.4,2,6.6,"Jun 30, 2029",€18.00m
208,Álvaro Rodríguez,Getafe CF,Laliga,20 years old (14-07-2004),"1,93m",,Forward,Centre-Forward,left,5(14),704.0,2,-,5,-,51.4,4.3,1,6.6,"Jun 30, 2025",€2.50m
209,Juan Soriano,CD Leganés,Laliga,27 years old (23-08-1997),"1,85m",Spain,Goalkeeper,Goalkeeper,right,7,541.0,-,-,1,1,47.3,-,-,6.6,"Jun 30, 2027",€1.20m
210,Selvi Clua,Almeria,Laliga,20 years old (29-01-2005),189cm,Spain,Midfielder,,,2(2),163.0,-,-,-,-,80.6,1.5,-,6.6,,
211,Yarek Gasiorowski,Valencia CF,Laliga,20 years old (12-01-2005),"1,92m",,"Defender (Centre, Left)",Centre-Back,left,9(5),940.0,-,-,1,-,81.5,1.7,-,6.6,"Jun 30, 2027",€12.00m
212,Ladislav Krejcí,Girona FC,Laliga,26 years old (20-04-1999),"1,91m",Czech Republic,Defender (Centre),Centre-Back,left,24(1),2080.0,2,-,9,-,90.5,2.1,-,6.59,"Jun 30, 2029",€12.00m
213,Jonathan Bamba,Chicago Fire FC,Laliga,29 years old (26-03-1996),175cm,Ivory Coast,"Attacking Midfielder (Centre, Left, Right), Forward",,,10(2),815.0,-,1,1,-,82.8,0.5,-,6.59,,
214,Mouctar Diakhaby,Valencia CF,Laliga,28 years old (19-12-1996),"1,92m",Guinea,"Defender (Centre), Defensive Midfielder (C)",Centre-Back,right,3(5),274.0,2,-,-,-,78.7,0.9,-,6.59,"Jun 30, 2027",€2.00m
215,Isi Palazón,Rayo Vallecano,Laliga,30 years old (27-12-1994),"1,69m",Spain,"Attacking Midfielder (Centre, Right), Forward",Second Striker,left,20(10),1720.0,3,3,4,-,83.5,0.4,1,6.59,"Jun 30, 2028",€4.00m
216,Nahuel Molina,Atlético de Madrid,Laliga,27 years old (06-04-1998),"1,75m",Argentina,"Defender (Right), Midfielder (Right)",Right-Back,right,16(9),1422.0,-,3,-,-,82.4,0.4,-,6.58,"Jun 30, 2027",€25.00m
217,Natan,Real Betis Balompié,Laliga,24 years old (06-02-2001),"1,88m",Brazil,"Defender (Centre, Left)",Centre-Back,left,18(8),1722.0,1,1,3,1,88.5,2,-,6.58,"Jun 30, 2025",€9.00m
218,Aritz Arambarri,Eibar,Laliga,27 years old (31-01-1998),186cm,Spain,Defender,,,2,178.0,-,-,-,-,73.1,3,-,6.58,,
219,Coba da Costa,Getafe CF,Laliga,22 years old (26-07-2002),"1,82m",,Midfielder (Left),Left Winger,right,11(5),894.0,1,1,4,-,69.1,1.1,-,6.58,"Jun 30, 2026",€3.00m
220,Matija Nastasic,CD Leganés,Laliga,32 years old (28-03-1993),"1,87m",Serbia,Defender (Centre),Centre-Back,left,23(2),2035.0,1,-,3,-,82.7,1.4,1,6.58,"Jun 30, 2026",€1.00m
221,Pablo Fornals,Real Betis Balompié,Laliga,29 years old (22-02-1996),"1,78m",Spain,"Midfielder (Centre, Left, Right)",Attacking Midfield,right,19(3),1548.0,1,-,2,-,82.5,0.9,-,6.58,"Jun 30, 2029",€6.00m
222,Ricardo Rodríguez,Real Betis Balompié,Laliga,32 years old (25-08-1992),"1,82m",Switzerland,"Defender (Centre, Left), Midfielder (Left)",Left-Back,left,12(3),1024.0,-,-,-,-,83.9,1.4,-,6.57,"Jun 30, 2026",€2.50m
223,Yáser Asprilla,Girona FC,Laliga,21 years old (19-11-2003),"1,76m",Colombia,"Attacking Midfielder (Centre, Left, Right), Forward",Right Winger,left,12(10),1122.0,3,-,2,-,80.2,0.2,1,6.57,"Jun 30, 2030",€18.00m
224,Rui Silva,Sporting CP,Laliga,31 years old (07-02-1994),191cm,Portugal,Goalkeeper,,,15,1350.0,-,-,1,-,75.7,0.1,-,6.57,,
225,Adnan Januzaj,UD Las Palmas,Laliga,30 years old (05-02-1995),"1,86m",Belgium,"Attacking Midfielder (Centre, Left, Right)",Right Winger,left,3(10),376.0,2,1,4,-,81.3,0.1,1,6.56,"Jun 30, 2025",€1.20m
226,Fermín López,FC Barcelona,Laliga,21 years old (11-05-2003),"1,74m",Spain,"Attacking Midfielder (Centre, Left)",Attacking Midfield,right,9(14),939.0,3,4,3,1,86.2,0.3,1,6.56,"Jun 30, 2029",€50.00m
227,Stefan Bajcetic,UD Las Palmas,Laliga,20 years old (22-10-2004),"1,85m",Spain,Defensive Midfielder (C),Defensive Midfield,right,9(2),766.0,1,-,3,-,73,0.9,-,6.56,"Jun 30, 2025",€9.00m
228,Renato Tapia,CD Leganés,Laliga,29 years old (28-07-1995),"1,85m",Peru,"Defender (Centre), Defensive Midfielder (C)",Defensive Midfield,right,23(6),2008.0,1,-,6,-,78.5,0.8,-,6.56,"Jun 30, 2026",€3.50m
229,Dominik Greif,RCD Mallorca,Laliga,28 years old (06-04-1997),"1,97m",Slovakia,Goalkeeper,Goalkeeper,right,27,2430.0,-,-,1,-,65.8,0.3,-,6.56,"Jun 30, 2026",€6.00m
230,Hugo Duro,Valencia CF,Laliga,25 years old (10-11-1999),"1,77m",Spain,"Attacking Midfielder (Left), Forward",Centre-Forward,left,22(4),1895.0,8,2,3,-,71.3,2.2,1,6.56,"Jun 30, 2028",€10.00m
231,Javi Muñoz,UD Las Palmas,Laliga,30 years old (28-02-1995),"1,77m",Spain,Midfielder (Centre),Central Midfield,right,26(6),2421.0,1,3,5,-,80.1,0.4,1,6.55,"Jun 30, 2025",€2.50m
232,Jon Moncayola,CA Osasuna,Laliga,26 years old (13-05-1998),"1,82m",Spain,"Defender (Right), Midfielder (Centre, Right)",Central Midfield,right,26(4),2077.0,-,-,8,-,80.3,0.5,-,6.55,"Jun 30, 2031",€7.00m
233,Alex Král,RCD Espanyol Barcelona,Laliga,26 years old (19-05-1998),"1,86m",Czech Republic,Midfielder (Centre),Central Midfield,right,28(5),2584.0,-,1,1,-,74.7,1.1,-,6.55,"Jun 30, 2025",€6.00m
234,Manu Morlanes,RCD Mallorca,Laliga,26 years old (12-01-1999),"1,78m",Spain,Defensive Midfielder (C),Central Midfield,right,15(6),1304.0,-,-,6,-,90,0.5,-,6.55,"Jun 30, 2028",€2.50m
235,Hamari Traoré,Real Sociedad,Laliga,33 years old (27-01-1992),"1,75m",Mali,"Defender (Right), Midfielder (Right)",Right-Back,right,6(2),506.0,-,1,1,-,87.3,0.6,-,6.55,"Jun 30, 2026",€3.00m
236,Pep Chavarría,Rayo Vallecano,Laliga,27 years old (10-04-1998),"1,74m",Spain,"Defender (Left), Midfielder (Left)",Left-Back,left,24(5),2196.0,-,1,3,-,83.4,0.7,-,6.55,"Jun 30, 2027",€3.50m
237,Aitor Paredes,Athletic Bilbao,Laliga,25 years old (29-04-2000),"1,85m",Spain,Defender (Centre),Centre-Back,right,18(2),1545.0,3,-,2,1,84.7,1.4,1,6.55,"Jun 30, 2029",€22.00m
