,Player,Club,League,Age,Height_all,National,Positions,Main_position,Foot,Apps,Mins,Goals,Assists,Yel,Red,PS%,AerialsWon,MotM,Rating,Contract,Market_Value
113,Maximilian Beier,Borussia Dortmund,Bundesliga,22 years old (17-10-2002),"1,85m",Germany,"Attacking Midfielder (Centre, Left, Right), Forward",Centre-Forward,right,17(12),1592.0,8,5,2,-,72.6,0.8,2,6.74,"Jun 30, 2029",€25.00m
114,Castello Lukeba,RB Leipzig,Bundesliga,22 years old (17-12-2002),"1,84m",France,Defender (Centre),Centre-Back,left,16(5),1397.0,-,-,2,-,86.6,1.1,1,6.73,"Jun 30, 2029",€50.00m
115,Kevin Trapp,Eintracht Frankfurt,Bundesliga,34 years old (08-07-1990),"1,89m",Germany,Goalkeeper,Goalkeeper,right,23,2026.0,-,-,-,-,70.6,0.2,-,6.73,"Jun 30, 2026",€3.00m
116,Keven Schlotterbeck,FC Augsburg,Bundesliga,28 years old (28-04-1997),"1,88m",Germany,Defender (Centre),Centre-Back,left,15(3),1298.0,3,1,2,1,85,2.2,1,6.73,"Jun 30, 2027",€7.00m
117,Marius Bülter,TSG 1899 Hoffenheim,Bundesliga,32 years old (29-03-1993),"1,88m",Germany,"Defender (Right), Midfielder (Centre, Left, Right), Forward",Left Winger,right,20(2),1517.0,5,1,4,-,73.8,0.7,1,6.73,"Jun 30, 2026",€2.50m
118,Marvin Pieringer,1.FC Heidenheim 1846,Bundesliga,25 years old (04-10-1999),"1,91m",Germany,"Attacking Midfielder (Centre), Forward",Centre-Forward,right,23(5),1971.0,7,2,7,-,68.1,2.5,1,6.73,"Jun 30, 2027",€5.50m
119,Andrej Kramaric,TSG 1899 Hoffenheim,Bundesliga,33 years old (19-06-1991),"1,77m",Croatia,"Attacking Midfielder (Centre, Left, Right), Forward",Attacking Midfield,right,29,2520.0,11,5,3,-,83.8,0.2,2,6.73,"Jun 30, 2026",€4.00m
120,Karol Mets,FC St. Pauli,Bundesliga,31 years old (16-05-1993),"1,91m",Estonia,"Defender (Centre), Defensive Midfielder (C)",Centre-Back,left,10,900.0,-,-,1,-,83.6,2.4,-,6.73,"Jun 30, 2026",€1.30m
121,Atakan Karazor,VfB Stuttgart,Bundesliga,28 years old (13-10-1996),"1,91m",Germany,"Defender (Centre), Defensive Midfielder (C)",Defensive Midfield,right,28(1),2357.0,1,4,8,1,87,1.7,-,6.73,"Jun 30, 2028",€12.00m
122,Julian Ryerson,Borussia Dortmund,Bundesliga,27 years old (17-11-1997),"1,83m",Norway,"Defender (Centre, Left, Right), Midfielder (Centre, Left, Right)",Right-Back,right,24(2),2005.0,1,3,4,1,89.5,0.4,-,6.73,"Jun 30, 2028",€20.00m
123,Pascal Groß,Borussia Dortmund,Bundesliga,33 years old (15-06-1991),"1,81m",Germany,"Defender (Left, Right), Midfielder (Centre, Right), Forward",Central Midfield,right,26(2),2175.0,-,8,4,1,86.2,0.8,-,6.72,"Jun 30, 2026",€7.00m
124,Christopher Trimmel,1.FC Union Berlin,Bundesliga,38 years old (24-02-1987),"1,89m",Austria,"Defender (Centre, Right), Midfielder (Right)",Right-Back,right,18(5),1582.0,-,2,5,-,66.6,1,-,6.72,"Jun 30, 2026",€600k
125,Ridle Baku,RB Leipzig,Bundesliga,27 years old (08-04-1998),"1,76m",Germany,"Defender (Right), Midfielder (Centre, Right)",Right-Back,right,14(2),1167.0,1,2,1,-,78.2,0.6,-,6.72,"Jun 30, 2027",€7.00m
126,Léo Scienza,1.FC Heidenheim 1846,Bundesliga,26 years old (13-09-1998),"1,75m",Brazil,Attacking Midfielder (Left),Left Winger,both,12(11),1084.0,3,2,-,-,74.1,0.1,2,6.72,"Jun 30, 2027",€3.00m
127,Deniz Undav,VfB Stuttgart,Bundesliga,28 years old (19-07-1996),"1,79m",Germany,"Attacking Midfielder (Centre), Forward",Centre-Forward,both,17(7),1459.0,8,2,3,-,72.8,0.8,-,6.72,"Jun 30, 2027",€22.00m
128,Ramy Bensebaini,Borussia Dortmund,Bundesliga,30 years old (16-04-1995),"1,87m",Algeria,"Defender (Centre, Left), Defensive Midfielder (C), Midfielder (Left)",Left-Back,left,20(8),1756.0,1,5,6,-,87.4,1.2,2,6.72,"Jun 30, 2027",€7.00m
129,Hiroki Ito,Bayern Munich,Bundesliga,25 years old (12-05-1999),"1,88m",Japan,"Defender (Centre, Left)",Centre-Back,left,3(3),249.0,1,-,1,-,86.5,0.8,-,6.72,"Jun 30, 2028",€30.00m
130,Nick Woltemade,VfB Stuttgart,Bundesliga,23 years old (14-02-2002),"1,98m",Germany,"Attacking Midfielder (Centre), Forward",Second Striker,right,14(11),1357.0,9,2,3,1,71,1.7,1,6.72,"Jun 30, 2028",€17.00m
131,Oliver Baumann,TSG 1899 Hoffenheim,Bundesliga,34 years old (02-06-1990),"1,87m",Germany,Goalkeeper,Goalkeeper,right,26,2340.0,-,-,1,-,67.1,0.3,2,6.71,"Jun 30, 2026",€3.00m
132,Matthias Ginter,SC Freiburg,Bundesliga,31 years old (19-01-1994),"1,89m",Germany,"Defender (Centre, Right), Defensive Midfielder (C)",Centre-Back,right,25(4),2290.0,2,-,5,-,83.7,3.1,-,6.71,"Jun 30, 2027",€8.00m
133,Konstantinos Koulierakis,VfL Wolfsburg,Bundesliga,21 years old (28-11-2003),"1,88m",Greece,Defender (Centre),Centre-Back,left,25(2),2200.0,-,2,4,-,83.6,2,-,6.71,"Jun 30, 2029",€20.00m
134,Jan Schöppner,1.FC Heidenheim 1846,Bundesliga,25 years old (12-06-1999),"1,90m",,Midfielder (Centre),Central Midfield,right,29(1),2475.0,3,3,8,-,74.7,1.7,2,6.71,"Jun 30, 2028",€4.50m
135,Kamil Grabara,VfL Wolfsburg,Bundesliga,26 years old (08-01-1999),"1,95m",Poland,Goalkeeper,Goalkeeper,right,26,2316.0,-,-,2,-,66.1,0.3,1,6.7,-,€14.00m
136,Danilho Doekhi,1.FC Union Berlin,Bundesliga,26 years old (30-06-1998),"1,90m",Netherlands,Defender (Centre),Centre-Back,right,31,2790.0,1,-,4,-,78.5,2.9,-,6.7,"Jun 30, 2026",€13.00m
137,Emre Can,Borussia Dortmund,Bundesliga,31 years old (12-01-1994),"1,86m",Germany,"Defender (Centre, Left, Right), Defensive Midfielder (C)",Defensive Midfield,right,23(5),2061.0,3,-,4,1,90.1,1.6,-,6.7,"Jun 30, 2026",€7.00m
138,Kevin Stöger,Borussia Mönchengladbach,Bundesliga,31 years old (27-08-1993),"1,75m",Austria,"Midfielder (Centre, Left)",Attacking Midfield,left,15(13),1428.0,3,4,3,-,81.7,0.1,-,6.7,"Jun 30, 2027",€4.50m
139,Jamie Leweling,VfB Stuttgart,Bundesliga,24 years old (26-02-2001),"1,85m",Germany,"Midfielder (Centre, Left, Right), Forward",Right Winger,both,19(5),1472.0,2,2,4,-,76.6,0.2,-,6.7,"Jun 30, 2029",€20.00m
140,Niklas Stark,SV Werder Bremen,Bundesliga,30 years old (14-04-1995),"1,90m",Germany,"Defender (Centre), Defensive Midfielder (C)",Centre-Back,right,22(1),1843.0,-,1,3,1,85.3,1.8,-,6.69,"Jun 30, 2026",€5.00m
141,Florian Grillitsch,Real Valladolid CF,Bundesliga,29 years old (07-08-1995),187cm,Austria,"Defender (Centre), Midfielder (Centre, Left)",,,8,605.0,-,-,1,-,86.9,1,-,6.69,,
142,Maximilian Eggestein,SC Freiburg,Bundesliga,28 years old (08-12-1996),"1,81m",Germany,"Midfielder (Centre, Right)",Central Midfield,right,30,2585.0,1,-,4,-,84.4,1.7,-,6.69,-,€10.00m
143,Frans Krätzig,1.FC Heidenheim 1846,Bundesliga,22 years old (14-01-2003),"1,77m",,Midfielder (Left),Left Midfield,left,13(1),1045.0,1,2,1,-,80.3,0.2,-,6.69,"Jun 30, 2025",€2.00m
144,Ivan Ordets,VfL Bochum,Bundesliga,32 years old (08-07-1992),"1,95m",Ukraine,Defender (Centre),Centre-Back,right,19(1),1638.0,-,-,5,-,81.3,3.5,1,6.68,"Jun 30, 2026",€1.80m
145,Leonidas Stergiou,VfB Stuttgart,Bundesliga,23 years old (03-03-2002),"1,81m",Switzerland,Defender (Right),Right-Back,right,11(1),857.0,1,2,-,1,83.3,0.5,-,6.68,"Jun 30, 2028",€5.00m
146,Mario Hermoso,Bayer 04 Leverkusen,Bundesliga,29 years old (18-06-1995),"1,84m",Spain,"Defender (Centre, Left)",Centre-Back,left,3(1),292.0,-,-,-,-,87.9,2.3,-,6.68,"Jun 30, 2025",€10.00m
147,Hennes Behrens,TSG 1899 Hoffenheim,Bundesliga,20 years old (19-01-2005),175cm,Germany,Midfielder,,,0(1),28.0,-,-,-,-,71.4,1,-,6.68,,
148,Jeremie Frimpong,Bayer 04 Leverkusen,Bundesliga,24 years old (10-12-2000),"1,72m",Netherlands,"Defender (Right), Midfielder (Right)",Right Midfield,right,23(8),2162.0,4,5,4,-,84.2,0.4,1,6.68,"Jun 30, 2028",€50.00m
149,Benjamin Henrichs,RB Leipzig,Bundesliga,28 years old (23-02-1997),"1,85m",Germany,"Defender (Left, Right), Defensive Midfielder (C), Midfielder (Left, Right)",Right-Back,right,10(5),935.0,-,2,3,-,76.7,0.6,1,6.68,"Jun 30, 2028",€17.00m
150,Aleix García,Bayer 04 Leverkusen,Bundesliga,27 years old (28-06-1997),"1,73m",Spain,Midfielder (Centre),Central Midfield,right,15(10),1295.0,3,3,2,-,91,0.1,1,6.68,"Jun 30, 2029",€20.00m
151,Julian Weigl,Borussia Mönchengladbach,Bundesliga,29 years old (08-09-1995),"1,86m",Germany,"Defender (Centre), Defensive Midfielder (C)",Defensive Midfield,right,30,2626.0,-,2,7,-,88.9,1.2,-,6.67,"Jun 30, 2028",€6.00m
152,Danny da Costa,1.FSV Mainz 05,Bundesliga,31 years old (13-07-1993),"1,87m",Germany,"Defender (Centre, Right), Midfielder (Right)",Centre-Back,right,22,1805.0,-,1,-,-,79.5,1.5,1,6.67,"Jun 30, 2026",€1.50m
153,Frank Onyeka,FC Augsburg,Bundesliga,27 years old (01-01-1998),"1,83m",Nigeria,Defensive Midfielder (C),Central Midfield,right,27(1),2356.0,-,1,8,-,84.2,0.6,2,6.67,"Jun 30, 2025",€7.00m
154,Felix Nmecha,Borussia Dortmund,Bundesliga,24 years old (10-10-2000),"1,90m",Germany,Midfielder (Centre),Central Midfield,right,16(7),1311.0,3,1,2,-,87.9,0.9,1,6.67,"Jun 30, 2028",€28.00m
155,Senne Lynen,SV Werder Bremen,Bundesliga,26 years old (19-02-1999),"1,85m",Belgium,Defensive Midfielder (C),Defensive Midfield,right,29,2483.0,-,-,9,-,82.4,0.9,-,6.67,-,€9.00m
156,Andrej Ilic,1.FC Union Berlin,Bundesliga,25 years old (03-04-2000),"1,89m",Serbia,Forward,Centre-Forward,right,9(4),799.0,5,-,1,-,56.2,3.7,1,6.67,"Jun 30, 2025",€2.50m
157,Robert Andrich,Bayer 04 Leverkusen,Bundesliga,30 years old (22-09-1994),"1,87m",Germany,"Defender (Centre), Midfielder (Centre)",Defensive Midfield,right,18(3),1495.0,2,1,7,-,90,0.9,2,6.66,"Jun 30, 2028",€15.00m
158,John Tolkin,Holstein Kiel,Bundesliga,22 years old (31-07-2002),"1,70m",USA,"Defender (Left), Midfielder (Left)",Left-Back,left,6(2),443.0,-,1,-,-,78.1,0.3,-,6.66,-,€3.00m
159,Hauke Wahl,FC St. Pauli,Bundesliga,31 years old (15-04-1994),"1,89m",Germany,Defender (Centre),Centre-Back,right,30,2700.0,-,-,1,-,86.9,1.6,-,6.66,-,€1.50m
160,Mario Götze,Eintracht Frankfurt,Bundesliga,32 years old (03-06-1992),"1,76m",Germany,"Midfielder (Centre, Left, Right), Forward",Attacking Midfield,right,18(6),1549.0,3,2,1,-,81.1,0.1,-,6.66,"Jun 30, 2026",€5.00m
161,Anthony Rouault,Stade Rennais FC,Bundesliga,23 years old (29-05-2001),186cm,France,Defender (Centre),,,14(4),1215.0,1,-,1,-,90.2,1.9,-,6.65,,
162,Manolis Saliakas,FC St. Pauli,Bundesliga,28 years old (12-09-1996),"1,77m",Greece,"Defender (Right), Midfielder (Right)",Right-Back,right,23(4),2080.0,1,1,4,-,76.1,0.5,-,6.65,-,€2.80m
163,Rani Khedira,1.FC Union Berlin,Bundesliga,31 years old (27-01-1994),"1,89m",Germany,"Defender (Centre), Defensive Midfielder (C)",Defensive Midfield,right,28(1),2457.0,1,-,7,-,74.4,1.4,1,6.65,"Jun 30, 2025",€3.00m
164,Steven Skrzybski,Holstein Kiel,Bundesliga,32 years old (18-11-1992),"1,74m",Germany,"Attacking Midfielder (Centre, Left, Right), Forward",Attacking Midfield,right,12(9),1118.0,5,2,-,-,73.9,0.3,-,6.65,"Jun 30, 2026",€1.00m
165,Edmond Tapsoba,Bayer 04 Leverkusen,Bundesliga,26 years old (02-02-1999),"1,94m",Burkina Faso,Defender (Centre),Centre-Back,right,26,2275.0,-,-,4,-,87.3,1.9,-,6.65,"Jun 30, 2028",€40.00m
166,Mathias Honsak,1.FC Heidenheim 1846,Bundesliga,28 years old (20-12-1996),"1,88m",Austria,"Attacking Midfielder (Centre, Left, Right), Forward",Left Winger,left,11(8),1078.0,5,1,1,-,72,1.2,-,6.64,"Jun 30, 2027",€1.50m
167,Leopold Querfeld,1.FC Union Berlin,Bundesliga,21 years old (20-12-2003),"1,90m",Austria,Defender (Centre),Centre-Back,right,14(10),1473.0,2,2,6,-,80.5,2.4,2,6.64,-,€7.00m
168,Nordi Mukiele,Bayer 04 Leverkusen,Bundesliga,27 years old (01-11-1997),"1,87m",France,"Defender (Centre, Right), Midfielder (Right)",Right-Back,right,10(5),897.0,1,-,4,-,81.4,1.3,-,6.64,"Jun 30, 2025",€10.00m
169,Carney Chukwuemeka,Borussia Dortmund,Bundesliga,21 years old (20-10-2003),"1,88m",England,Attacking Midfielder (Centre),Central Midfield,right,1(7),218.0,1,-,1,-,79.4,0.8,-,6.64,"Jun 30, 2025",€15.00m
170,Patrick Erras,Holstein Kiel,Bundesliga,30 years old (21-01-1995),"1,96m",Germany,"Defender (Centre), Defensive Midfielder (C)",Defensive Midfield,right,10,834.0,1,-,2,-,92,2.7,-,6.63,"Jun 30, 2026",€1.00m
171,Robert Skov,1.FC Union Berlin,Bundesliga,28 years old (20-05-1996),"1,85m",Denmark,"Defender (Left), Midfielder (Centre, Left, Right)",Left Midfield,left,11(4),858.0,2,2,1,-,70.5,0.6,1,6.63,-,€4.00m
172,Shuto Machino,Holstein Kiel,Bundesliga,25 years old (30-09-1999),"1,85m",Japan,"Attacking Midfielder (Centre, Left), Forward",Centre-Forward,right,20(8),1701.0,10,1,2,-,71.6,0.9,2,6.63,"Jun 30, 2027",€3.50m
173,Ermedin Demirovic,VfB Stuttgart,Bundesliga,27 years old (25-03-1998),"1,85m",Bosnia-Herzegovina,"Attacking Midfielder (Centre, Left), Forward",Centre-Forward,right,20(11),1792.0,13,-,2,-,71.2,1.1,2,6.63,"Jun 30, 2028",€22.00m
174,Mattias Svanberg,VfL Wolfsburg,Bundesliga,26 years old (05-01-1999),"1,85m",Sweden,"Midfielder (Centre, Left, Right)",Central Midfield,right,14(6),1223.0,3,1,4,-,73.8,0.7,1,6.63,"Jun 30, 2027",€12.00m
175,Tiago Tomás,VfL Wolfsburg,Bundesliga,22 years old (16-06-2002),"1,80m",Portugal,"Attacking Midfielder (Centre, Left, Right), Forward",Centre-Forward,right,22(8),1824.0,6,1,7,-,71.7,0.3,-,6.63,"Jun 30, 2027",€12.00m
176,Josip Stanisic,Bayern Munich,Bundesliga,25 years old (02-04-2000),"1,87m",Croatia,"Defender (Centre, Left, Right), Midfielder (Right)",Right-Back,both,6(5),631.0,-,2,-,-,91.8,0.8,-,6.63,"Jun 30, 2029",€28.00m
177,Noah Weißhaupt,FC St. Pauli,Bundesliga,23 years old (20-09-2001),"1,81m",Germany,Midfielder (Left),Left Winger,right,12(4),1047.0,1,-,-,-,68.5,0.9,-,6.63,"Jun 30, 2025",€5.00m
178,Enzo Millot,VfB Stuttgart,Bundesliga,22 years old (17-07-2002),"1,75m",France,"Midfielder (Centre, Right)",Attacking Midfield,left,21(6),1728.0,5,4,8,-,87,0.2,1,6.62,"Jun 30, 2028",€35.00m
179,James Sands,FC St. Pauli,Bundesliga,24 years old (06-07-2000),"1,86m",USA,"Defender (Centre), Defensive Midfielder (C)",Defensive Midfield,right,5(2),452.0,-,-,1,-,77.1,2.4,-,6.62,"Jun 30, 2025",€3.00m
180,Hugo Larsson,Eintracht Frankfurt,Bundesliga,20 years old (27-06-2004),"1,87m",Sweden,Midfielder (Centre),Central Midfield,right,25(5),2136.0,3,-,2,-,88.1,0.4,-,6.62,"Jun 30, 2029",€40.00m
181,Phillipp Mwene,1.FSV Mainz 05,Bundesliga,31 years old (29-01-1994),"1,70m",Austria,"Defender (Left, Right), Midfielder (Left, Right)",Left-Back,right,29,2391.0,-,4,7,-,77.3,0.6,-,6.62,"Jun 30, 2026",€1.80m
182,Philipp Lienhart,SC Freiburg,Bundesliga,28 years old (11-07-1996),"1,89m",Austria,Defender (Centre),Centre-Back,right,28(1),2502.0,1,-,4,-,87.9,1.7,-,6.62,-,€15.00m
183,Joakim Mæhle,VfL Wolfsburg,Bundesliga,27 years old (20-05-1997),"1,85m",Denmark,"Defender (Left, Right), Midfielder (Left, Right)",Left-Back,right,22(3),1920.0,3,4,6,-,82.1,0.5,-,6.62,"Jun 30, 2027",€14.00m
184,Konrad Laimer,Bayern Munich,Bundesliga,27 years old (27-05-1997),"1,80m",Austria,"Defender (Right), Midfielder (Centre, Right)",Central Midfield,right,16(10),1451.0,2,2,8,-,88.7,0.5,-,6.62,"Jun 30, 2027",€25.00m
185,Jean-Mattéo Bahoya,Eintracht Frankfurt,Bundesliga,19 years old (07-05-2005),"1,80m",France,Attacking Midfielder (Left),Left Winger,right,8(14),804.0,2,3,3,-,79,0.5,-,6.61,"Jun 30, 2029",€9.00m
186,Andreas Skov Olsen,VfL Wolfsburg,Bundesliga,25 years old (29-12-1999),"1,87m",Denmark,"Midfielder (Centre, Right)",Right Winger,left,3(6),370.0,1,1,-,-,88.3,0.1,-,6.61,"Jun 30, 2029",€16.00m
187,Benedict Hollerbach,1.FC Union Berlin,Bundesliga,23 years old (17-05-2001),"1,81m",Germany,"Attacking Midfielder (Centre, Left, Right), Forward",Centre-Forward,right,27(4),2286.0,9,-,3,-,72.9,0.8,3,6.61,-,€7.50m
188,Ellyes Skhiri,Eintracht Frankfurt,Bundesliga,29 years old (10-05-1995),"1,85m",Tunisia,Defensive Midfielder (C),Defensive Midfield,right,23(4),1994.0,-,1,6,-,89,0.6,-,6.61,"Jun 30, 2027",€9.00m
189,Nicolas Seiwald,RB Leipzig,Bundesliga,23 years old (04-05-2001),"1,80m",Austria,"Defender (Centre), Defensive Midfielder (C)",Central Midfield,right,17(10),1814.0,-,-,2,-,84.6,0.8,1,6.61,"Jun 30, 2028",€16.00m
190,Marius Wolf,FC Augsburg,Bundesliga,29 years old (27-05-1995),"1,88m",Germany,"Defender (Right), Midfielder (Centre, Left, Right)",Right-Back,right,26(4),2053.0,1,3,2,-,71.3,0.3,-,6.61,"Jun 30, 2027",€3.00m
191,Siebe Van der Heyden,FC St. Pauli,Bundesliga,26 years old (30-05-1998),"1,85m",Belgium,Defender (Centre),Centre-Back,left,9(2),786.0,1,-,2,-,81.7,2.6,-,6.6,"Jun 30, 2025",€2.00m
192,David Nemeth,FC St. Pauli,Bundesliga,24 years old (18-03-2001),"1,91m",Austria,Defender (Centre),Centre-Back,both,21,1872.0,-,1,3,-,88,1.7,-,6.6,"Jun 30, 2026",€2.50m
193,Frans Krätzig,1.FC Heidenheim 1846,Bundesliga,22 years old (14-01-2003),"1,77m",,Midfielder (Left),Left Midfield,left,1,57.0,-,-,-,-,91.7,1,-,6.6,"Jun 30, 2025",€2.00m
194,András Schäfer,1.FC Union Berlin,Bundesliga,26 years old (13-04-1999),"1,78m",Hungary,Attacking Midfielder (Centre),Central Midfield,right,15(8),1375.0,1,1,3,-,74.8,1.2,-,6.6,-,€5.00m
195,Phil Harres,Holstein Kiel,Bundesliga,23 years old (25-03-2002),"1,93m",,Forward,Centre-Forward,right,17(6),1408.0,8,1,3,-,58.2,2.1,2,6.6,-,€4.50m
196,Chris Führich,VfB Stuttgart,Bundesliga,27 years old (09-01-1998),"1,81m",Germany,"Midfielder (Centre, Left, Right), Forward",Left Winger,right,21(9),1805.0,2,2,1,-,84.7,0.1,2,6.59,"Jun 30, 2028",€18.00m
197,Nnamdi Collins,Eintracht Frankfurt,Bundesliga,21 years old (10-01-2004),"1,91m",Germany,"Defender (Centre, Right)",Centre-Back,right,14(8),1385.0,1,1,3,-,88.9,0.5,-,6.59,"Jun 30, 2030",€10.00m
198,Finn Becker,TSG 1899 Hoffenheim,Bundesliga,24 years old (08-06-2000),"1,77m",Germany,Midfielder (Centre),Central Midfield,left,7(3),654.0,-,1,1,-,84.3,0.7,-,6.59,"Jun 30, 2026",€2.00m
199,Tim Breithaupt,Kaiserslautern,Bundesliga,23 years old (07-02-2002),192cm,Germany,Defensive Midfielder (C),,,2,122.0,-,1,-,-,86.4,2,-,6.59,,
200,Luca Philipp,TSG 1899 Hoffenheim,Bundesliga,24 years old (28-11-2000),"1,92m",Germany,Goalkeeper,Goalkeeper,,5,450.0,-,-,-,-,59.9,-,-,6.58,"Jun 30, 2025",€750k
201,Arthur Chaves,TSG 1899 Hoffenheim,Bundesliga,24 years old (29-01-2001),"1,88m",Brazil,Defender (Centre),Centre-Back,right,21(2),1919.0,-,-,8,-,82.3,2.8,1,6.58,-,€3.00m
202,Josip Juranovic,1.FC Union Berlin,Bundesliga,29 years old (16-08-1995),"1,73m",Croatia,"Defender (Left, Right), Midfielder (Left, Right)",Right-Back,right,12(3),1071.0,-,-,4,-,71.1,0.3,-,6.58,"Jun 30, 2027",€4.00m
203,Kiliann Sildillia,SC Freiburg,Bundesliga,22 years old (16-05-2002),"1,86m",France,"Defender (Centre, Right), Midfielder (Right)",Right-Back,right,8(11),792.0,2,-,2,-,78.2,1.1,2,6.58,"Jun 30, 2026",€10.00m
204,Tom Krauß,VfL Bochum,Bundesliga,23 years old (22-06-2001),"1,82m",Germany,Defensive Midfielder (C),Central Midfield,right,11(1),910.0,-,-,1,-,81.3,0.6,-,6.58,"Jun 30, 2025",€4.00m
205,Ameen Al Dakhil,VfB Stuttgart,Bundesliga,23 years old (06-03-2002),"1,87m",Belgium,Defender (Centre),Centre-Back,right,6(1),436.0,-,-,-,1,92.3,1.3,-,6.57,"Jun 30, 2028",€7.50m
206,Kevin Kampl,RB Leipzig,Bundesliga,34 years old (09-10-1990),"1,78m",Slovenia,"Midfielder (Centre, Left, Right)",Central Midfield,right,16(8),1430.0,1,-,4,-,91.1,0.1,-,6.57,"Jun 30, 2026",€3.00m
207,Oladapo Afolayan,FC St. Pauli,Bundesliga,27 years old (11-09-1997),"1,80m",England,"Attacking Midfielder (Centre, Left, Right), Forward",Right Winger,right,15(14),1491.0,3,1,3,-,76.4,0.6,-,6.57,-,€4.00m
208,Amos Pieper,SV Werder Bremen,Bundesliga,27 years old (17-01-1998),"1,92m",Germany,Defender (Centre),Centre-Back,right,13(7),1237.0,-,-,1,-,83.6,1.7,-,6.57,"Jun 30, 2026",€3.00m
209,Mads Roerslev,VfL Wolfsburg,Bundesliga,25 years old (24-06-1999),"1,84m",Denmark,"Defender (Right), Midfielder (Right)",Right-Back,right,2(3),254.0,-,-,-,-,84.3,0.2,-,6.57,"Jun 30, 2025",€8.00m
210,Phillip Tietz,FC Augsburg,Bundesliga,27 years old (09-07-1997),"1,90m",Germany,Forward,Centre-Forward,right,18(13),1545.0,6,2,4,-,62.3,2.3,1,6.57,"Jun 30, 2027",€5.00m
211,Can Uzun,Eintracht Frankfurt,Bundesliga,19 years old (11-11-2005),"1,86m",,"Attacking Midfielder (Centre), Forward",Attacking Midfield,right,6(12),624.0,4,1,1,-,82.9,0.2,1,6.56,"Jun 30, 2029",€18.00m
212,Alexander Prass,TSG 1899 Hoffenheim,Bundesliga,23 years old (26-05-2001),"1,80m",Austria,"Defender (Left), Defensive Midfielder (C), Midfielder (Left)",Left-Back,left,18(4),1526.0,-,1,1,-,75.6,0.8,1,6.56,"Jun 30, 2028",€6.50m
213,Kristijan Jakic,FC Augsburg,Bundesliga,27 years old (14-05-1997),"1,84m",Croatia,"Defender (Centre, Right), Defensive Midfielder (C), Midfielder (Right)",Defensive Midfield,right,24(4),2040.0,-,-,2,-,82.5,1.3,1,6.56,"Jun 30, 2028",€6.50m
214,Nicolai Remberg,Holstein Kiel,Bundesliga,24 years old (19-06-2000),"1,88m",Germany,Midfielder (Centre),Central Midfield,right,24(6),2189.0,-,1,8,-,78.6,2.8,1,6.56,-,€2.80m
215,Philipp Treu,FC St. Pauli,Bundesliga,24 years old (03-12-2000),"1,73m",Germany,"Midfielder (Left, Right)",Left-Back,right,30,2646.0,-,2,2,-,82.4,0.6,1,6.56,-,€5.00m
216,Valentin Gendrey,TSG 1899 Hoffenheim,Bundesliga,24 years old (21-06-2000),"1,79m",France,"Defender (Right), Midfielder (Right)",Right-Back,right,14(8),1416.0,1,1,1,-,76,1.2,-,6.56,-,€8.50m
217,Finn Porath,Holstein Kiel,Bundesliga,28 years old (23-02-1997),"1,80m",Germany,"Midfielder (Centre, Left, Right)",Attacking Midfield,right,20(9),1929.0,2,2,3,-,71.5,0.9,-,6.55,"Jun 30, 2026",€2.00m
218,Bazoumana Touré,TSG 1899 Hoffenheim,Bundesliga,19 years old (02-03-2006),-,,Forward,Left Winger,left,5(5),427.0,-,3,1,-,71.7,1.1,-,6.55,"Jun 30, 2029",€9.00m
219,Benedikt Gimber,1.FC Heidenheim 1846,Bundesliga,28 years old (19-02-1997),"1,87m",Germany,"Defender (Centre), Defensive Midfielder (C)",Centre-Back,left,29,2454.0,-,-,9,-,83.2,2.1,-,6.55,"Jun 30, 2028",€3.00m
220,Adrian Beck,1.FC Heidenheim 1846,Bundesliga,27 years old (09-06-1997),"1,86m",Germany,"Attacking Midfielder (Centre, Right)",Attacking Midfield,right,15(14),1383.0,2,1,1,-,81.9,0.9,-,6.55,"Jun 30, 2028",€2.00m
221,Julián Malatini,SV Werder Bremen,Bundesliga,23 years old (31-05-2001),"1,91m",Argentina,"Defender (Centre, Right)",Centre-Back,right,5(5),453.0,1,1,1,-,86.9,1,-,6.55,-,€3.00m
222,Nathan Tella,Bayer 04 Leverkusen,Bundesliga,25 years old (05-07-1999),"1,73m",Nigeria,"Midfielder (Centre, Left, Right), Forward",Right Midfield,right,15(9),1245.0,2,3,1,-,82.2,0.5,-,6.55,"Jun 30, 2028",€18.00m
223,Philipp Sander,Borussia Mönchengladbach,Bundesliga,27 years old (21-02-1998),"1,86m",Germany,Defensive Midfielder (C),Central Midfield,both,14(10),1251.0,1,-,2,-,81.6,1.3,-,6.54,"Jun 30, 2028",€4.00m
224,Joe Scally,Borussia Mönchengladbach,Bundesliga,22 years old (31-12-2002),"1,84m",USA,"Defender (Centre, Left, Right), Midfielder (Left, Right)",Right-Back,right,29,2429.0,-,-,6,-,84.6,0.8,1,6.54,"Jun 30, 2027",€10.00m
225,Kevin Vogt,1.FC Union Berlin,Bundesliga,33 years old (23-09-1991),"1,94m",Germany,"Defender (Centre, Right), Midfielder (Centre)",Centre-Back,right,14(2),1226.0,1,-,5,-,87.5,0.8,-,6.54,-,€2.00m
226,Pavel Kaderábek,TSG 1899 Hoffenheim,Bundesliga,33 years old (25-04-1992),"1,82m",Czech Republic,"Defender (Right), Midfielder (Left, Right)",Right-Back,right,15(6),1306.0,1,-,6,-,73.7,2.2,-,6.54,"Jun 30, 2025",€2.50m
